* Generated by rew_pipeline.py (derived directly from its own WAV, phase referenced to its peak (sample 8192))
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.000000 0.000 0.0000
0.366211 0.000 0.1455
0.732422 0.000 0.2910
1.098633 0.000 0.4365
1.464844 0.000 0.5820
1.831055 0.000 0.7275
2.197266 -0.000 0.8730
2.563477 0.000 1.0185
2.929688 0.000 1.1639
3.295898 -0.000 1.3094
3.662109 -0.000 1.4549
4.028320 0.000 1.6002
4.394531 -0.000 1.7457
4.760742 -0.000 1.8911
5.126953 0.000 2.0364
5.493164 0.000 2.1818
5.859375 -0.000 2.3271
6.225586 -0.000 2.4724
6.591797 0.000 2.6177
6.958008 -0.000 2.7629
7.324219 -0.000 2.9082
7.690430 -0.000 3.0534
8.056641 0.000 3.1985
8.422852 -0.000 3.3437
8.789062 0.000 3.4888
9.155273 -0.000 3.6338
9.521484 0.000 3.7788
9.887695 -0.000 3.9238
10.253906 -0.000 4.0688
10.620117 0.000 4.2137
10.986328 -0.000 4.3585
11.352539 -0.000 4.5034
11.718750 -0.000 4.6481
12.084961 0.000 4.7928
12.451172 -0.000 4.9375
12.817383 -0.000 5.0821
13.183594 -0.000 5.2266
13.549805 0.000 5.3711
13.916016 0.000 5.5155
14.282227 -0.000 5.6599
14.648438 -0.000 5.8043
15.014648 0.000 5.9485
15.380859 0.000 6.0927
15.747070 0.000 6.2368
16.113281 -0.000 6.3809
16.479492 0.000 6.5248
16.845703 0.000 6.6688
17.211914 0.000 6.8125
17.578125 -0.000 6.9563
17.944336 0.000 7.0999
18.310547 0.000 7.2436
18.676758 0.000 7.3870
19.042969 -0.000 7.5305
19.409180 0.000 7.6737
19.775391 0.000 7.8170
20.141602 0.000 7.9601
20.507812 -0.000 8.1032
20.874023 0.000 8.2462
21.240234 0.000 8.3890
21.606445 0.000 8.5317
21.972656 0.000 8.6744
22.338867 0.000 8.8169
22.705078 0.000 8.9593
23.071289 0.000 9.1017
23.437500 0.000 9.2439
23.803711 0.000 9.3859
24.169922 -0.000 9.5279
24.536133 0.000 9.6697
24.902344 0.000 9.8115
25.268555 0.000 9.9530
25.634766 0.000 10.0945
26.000977 0.000 10.2357
26.367188 -0.000 10.3769
26.733398 0.000 10.5180
27.099609 -0.000 10.6589
27.465820 0.000 10.7996
27.832031 -0.000 10.9402
28.198242 0.000 11.0806
28.564453 -0.000 11.2209
28.930664 -0.000 11.3611
29.296875 -0.000 11.5010
29.663086 0.000 11.6407
30.029297 0.000 11.7804
30.395508 0.000 11.9198
30.761719 0.000 12.0591
31.127930 0.000 12.1981
31.494141 -0.000 12.3370
31.860352 0.000 12.4757
32.226562 -0.000 12.6142
32.592773 0.000 12.7524
32.958984 -0.000 12.8905
33.325195 0.000 13.0284
33.691406 -0.000 13.1661
34.057617 0.000 13.3035
34.423828 -0.000 13.4407
34.790039 0.000 13.5777
35.156250 -0.000 13.7144
35.522461 0.000 13.8510
35.888672 -0.000 13.9872
36.254883 0.000 14.1232
36.621094 -0.000 14.2589
36.987305 0.000 14.3944
37.353516 0.000 14.5296
37.719727 0.000 14.6646
38.085938 -0.000 14.7992
38.452148 0.000 14.9336
38.818359 -0.000 15.0677
39.184570 -0.000 15.2014
39.550781 -0.000 15.3349
39.916992 0.000 15.4680
40.283203 0.000 15.6008
40.649414 -0.000 15.7333
41.015625 -0.000 15.8654
41.381836 -0.000 15.9972
41.748047 -0.000 16.1286
42.114258 -0.000 16.2596
42.480469 -0.000 16.3903
42.846680 -0.000 16.5206
43.212891 0.000 16.6505
43.579102 -0.000 16.7800
43.945312 0.000 16.9090
44.311523 0.000 17.0376
44.677734 0.000 17.1658
45.043945 0.000 17.2935
45.410156 -0.000 17.4208
45.776367 -0.000 17.5476
46.142578 0.000 17.6739
46.508789 0.000 17.7997
46.875000 0.000 17.9249
47.241211 0.000 18.0497
47.607422 0.000 18.1739
47.973633 0.000 18.2974
48.339844 0.000 18.4205
48.706055 0.000 18.5429
49.072266 0.000 18.6648
49.438477 0.000 18.7859
49.804688 0.000 18.9064
50.170898 0.000 19.0263
50.537109 0.000 19.1454
50.903320 0.000 19.2638
51.269531 0.000 19.3815
51.635742 -0.000 19.4984
52.001953 0.000 19.6145
52.368164 0.000 19.7298
52.734375 0.000 19.8442
53.100586 0.000 19.9578
53.466797 0.000 20.0704
53.833008 0.000 20.1820
54.199219 0.000 20.2927
54.565430 0.000 20.4024
54.931641 0.000 20.5110
55.297852 0.000 20.6185
55.664062 0.000 20.7248
56.030273 0.000 20.8300
56.396484 0.000 20.9339
56.762695 0.000 21.0364
57.128906 0.000 21.1376
57.495117 0.000 21.2374
57.861328 0.000 21.3357
58.227539 0.000 21.4325
