* Measurement data measured by REW V5.40 beta 133
* Source: Trace Arithmetic result A / B
* Format: Trace Arithmetic result A / B
* Dated: Sep 12, 2026, 4:18:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A over B A = Target.harman.fuller B = LX-MP.clean-fdw6 Maximum gain 0.0 dB Lower frequency limit 80 Hz Upper frequency limit 225 Hz 
* Measurement: Fper_L.clean-fdw6
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 0.000 0.0000
2.563477 -0.000 -0.0000
2.929687 0.000 0.0000
3.295898 -0.000 -0.0000
3.662109 0.000 0.0000
4.028320 -0.000 -0.0000
4.394531 0.000 0.0000
4.760742 -0.000 -0.0000
5.126953 0.000 0.0000
5.493164 -0.000 -0.0000
5.859375 0.000 0.0000
6.225586 -0.000 -0.0000
6.591797 0.000 0.0000
6.958007 -0.000 -0.0000
7.324218 0.000 0.0000
7.690429 -0.000 -0.0000
8.056640 0.000 0.0000
8.422851 -0.000 -0.0000
8.789062 0.000 0.0000
9.155273 -0.000 -0.0000
9.521484 0.000 0.0000
9.887695 -0.000 -0.0000
10.253906 0.000 0.0000
10.620117 -0.000 -0.0000
10.986327 0.000 0.0000
11.352538 -0.000 -0.0000
11.718749 -0.000 0.0000
12.084960 -0.000 -0.0000
12.451171 -0.000 0.0000
12.817382 -0.000 -0.0000
13.183593 -0.000 0.0000
13.549804 0.000 -0.0000
13.916015 -0.000 0.0000
14.282226 0.000 -0.0000
14.648436 -0.000 0.0000
15.014647 0.000 -0.0000
15.380858 -0.000 0.0000
15.747069 0.000 -0.0000
16.113280 -0.000 0.0000
16.479491 0.000 -0.0000
16.845702 -0.000 0.0000
17.211913 0.000 -0.0000
17.578124 -0.000 0.0000
17.944335 0.000 -0.0000
18.310546 -0.000 0.0000
18.676756 0.000 -0.0000
19.042967 -0.000 0.0000
19.409178 0.000 -0.0000
19.775389 -0.000 0.0000
20.141600 0.000 -0.0000
20.507811 -0.000 0.0000
20.874022 0.000 -0.0001
21.240233 -0.000 0.0000
21.606444 0.000 -0.0001
21.972655 -0.000 0.0001
22.338866 0.000 -0.0001
22.705076 -0.000 0.0001
23.071287 0.000 -0.0001
23.437498 -0.000 0.0001
23.803709 0.000 -0.0001
24.169920 -0.000 0.0001
24.536131 0.000 -0.0001
24.902342 -0.000 0.0001
25.268553 0.000 -0.0001
25.634764 -0.000 0.0001
26.000975 0.000 -0.0001
26.367186 -0.000 0.0001
26.733396 0.000 -0.0001
27.099607 -0.000 0.0001
27.465818 0.000 -0.0001
27.832029 -0.000 0.0001
28.198240 0.000 -0.0001
28.564451 -0.000 0.0001
28.930662 0.000 -0.0001
29.296873 -0.000 0.0001
29.663084 0.000 -0.0001
30.029295 -0.000 0.0001
30.395506 0.000 -0.0001
30.761716 -0.000 0.0001
31.127927 0.000 -0.0001
31.494138 -0.000 0.0001
31.860349 0.000 -0.0001
32.226560 -0.000 0.0001
32.592771 0.000 -0.0001
32.958982 -0.000 0.0001
33.325193 0.000 -0.0001
33.691404 -0.000 0.0001
34.057615 0.000 -0.0001
34.423826 -0.000 0.0001
34.790036 0.000 -0.0001
35.156247 -0.000 0.0001
35.522458 0.000 -0.0001
35.888669 -0.000 0.0001
36.254880 0.000 -0.0001
36.621091 -0.000 0.0001
36.987302 0.000 -0.0001
37.353513 -0.000 0.0001
37.719724 0.000 -0.0001
38.085935 -0.000 0.0001
38.452145 0.000 -0.0001
38.818356 -0.000 0.0001
39.184567 0.000 -0.0001
39.550778 -0.000 0.0001
39.916989 0.000 -0.0001
40.283200 -0.000 0.0001
40.649411 0.000 -0.0002
41.015622 -0.000 0.0002
41.381833 0.000 -0.0002
41.748044 -0.000 0.0002
42.114255 0.000 -0.0002
42.480465 -0.000 0.0002
42.846676 0.000 -0.0002
43.212887 -0.000 0.0002
43.579098 0.000 -0.0002
43.945309 -0.000 0.0002
44.311520 0.000 -0.0002
44.677731 -0.000 0.0002
45.043942 0.000 -0.0002
45.410153 -0.000 0.0002
45.776364 0.000 -0.0002
46.142575 -0.000 0.0002
46.508785 0.000 -0.0002
46.874996 -0.000 0.0002
47.241207 0.000 -0.0002
47.607418 -0.000 0.0002
47.973629 0.000 -0.0002
48.339840 -0.000 0.0002
48.706051 0.000 -0.0002
49.072262 -0.000 0.0002
49.438473 0.000 -0.0002
49.804684 -0.000 0.0002
50.170895 0.000 -0.0002
50.537105 -0.000 0.0002
50.903316 0.000 -0.0002
51.269527 -0.000 0.0002
51.635738 0.000 -0.0002
52.001949 -0.000 0.0002
52.368160 0.000 -0.0002
52.734371 -0.000 0.0002
53.100582 0.000 -0.0002
53.466793 -0.000 0.0002
53.833004 0.000 -0.0002
54.199215 -0.000 0.0002
54.565425 0.000 -0.0002
54.931636 -0.000 0.0002
55.297847 0.000 -0.0002
55.664058 -0.000 0.0002
56.030269 0.000 -0.0003
56.396480 -0.000 0.0002
56.762691 0.000 0.1046
57.128902 -0.000 0.3242
57.495113 0.000 0.5668
57.861324 -0.000 0.8296
58.227535 0.000 1.1049
58.593745 -0.000 1.3886
58.959956 0.000 1.6711
59.326167 -0.000 1.9464
59.692378 0.000 2.2028
60.058589 -0.000 2.4315
60.424800 0.000 2.6175
60.791011 -0.000 2.7486
61.157222 0.000 2.8060
61.523433 -0.000 2.7736
61.889644 0.000 2.6290
62.255854 -0.000 2.3547
62.622065 0.000 1.9302
62.988276 -0.000 1.3467
63.354487 0.000 0.6010
63.720698 -0.000 -0.2902
64.086909 0.000 -1.3007
64.453120 -0.000 -2.3904
64.819331 0.000 -3.5228
65.185542 -0.000 -4.6627
65.551753 0.000 -5.7886
65.917964 -0.000 -6.8839
66.284174 0.000 -7.9429
66.650385 -0.000 -8.9607
67.016596 0.000 -9.9395
67.382807 -0.000 -10.8799
67.749018 0.000 -11.7870
68.115229 -0.000 -12.6640
68.481440 0.000 -13.5177
68.847651 -0.000 -14.3523
69.213862 0.000 -15.1747
69.580073 -0.000 -15.9887
69.946284 0.000 -16.8000
70.312494 -0.000 -17.6112
70.678705 0.000 -18.4263
71.044916 -0.000 -19.2458
71.411127 0.000 -20.0709
71.777338 -0.000 -20.8998
72.143549 0.000 -21.7308
72.509760 -0.000 -22.5595
72.875971 0.000 -23.3820
73.242182 -0.000 -24.1922
73.608393 0.000 -24.9847
73.974604 -0.000 -25.7529
74.340814 0.000 -26.4907
74.707025 -0.000 -27.1919
75.073236 0.000 -27.8510
75.439447 -0.000 -28.4629
75.805658 0.000 -29.0232
76.171869 -0.000 -29.5281
76.538080 0.000 -29.9747
76.904291 -0.000 -30.3608
77.270502 0.000 -30.6845
77.636713 -0.000 -30.9450
78.002924 0.000 -31.1415
78.369134 -0.000 -31.2745
78.735345 0.000 -31.3444
79.101556 -0.000 -31.3528
79.467767 0.000 -31.3009
79.833978 -0.032 -31.1911
80.200189 -0.171 -31.0252
80.566400 -0.307 -30.8063
80.932611 -0.439 -30.5367
81.298822 -0.566 -30.2197
81.665033 -0.689 -29.8581
82.031244 -0.807 -29.4553
82.397454 -0.919 -29.0144
82.763665 -1.026 -28.5388
83.129876 -1.126 -28.0319
83.496087 -1.221 -27.4971
83.862298 -1.308 -26.9377
84.228509 -1.390 -26.3573
84.594720 -1.465 -25.7590
84.960931 -1.534 -25.1460
85.327142 -1.596 -24.5215
85.693353 -1.652 -23.8883
86.059563 -1.701 -23.2498
86.425774 -1.744 -22.6084
86.791985 -1.780 -21.9677
87.158196 -1.811 -21.3299
87.524407 -1.835 -20.6982
87.890618 -1.853 -20.0746
88.256829 -1.865 -19.4623
88.623040 -1.872 -18.8630
88.989251 -1.872 -18.2802
89.355462 -1.869 -17.7151
89.721673 -1.860 -17.1711
90.087883 -1.847 -16.6492
90.454094 -1.828 -16.1527
90.820305 -1.807 -15.6825
91.186516 -1.780 -15.2420
91.552727 -1.751 -14.8320
91.918938 -1.718 -14.4558
92.285149 -1.683 -14.1136
92.651360 -1.645 -13.8083
93.017571 -1.606 -13.5398
93.383782 -1.565 -13.3105
93.749993 -1.524 -13.1200
94.116203 -1.482 -12.9703
94.482414 -1.440 -12.8605
94.848625 -1.399 -12.7918
95.214836 -1.361 -12.7622
95.581047 -1.324 -12.7720
95.947258 -1.290 -12.8184
96.313469 -1.258 -12.9012
96.679680 -1.231 -13.0170
97.045891 -1.207 -13.1645
97.412102 -1.189 -13.3395
97.778313 -1.175 -13.5397
98.144523 -1.167 -13.7599
98.510734 -1.165 -13.9972
98.876945 -1.169 -14.2463
99.243156 -1.178 -14.5044
99.609367 -1.193 -14.7665
99.975578 -1.214 -15.0296
100.341789 -1.242 -15.2888
100.708000 -1.275 -15.5413
101.074211 -1.313 -15.7823
101.440422 -1.356 -16.0097
101.806633 -1.405 -16.2199
102.172843 -1.457 -16.4114
102.539054 -1.513 -16.5817
102.905265 -1.572 -16.7299
103.271476 -1.636 -16.8540
103.637687 -1.701 -16.9536
104.003898 -1.769 -17.0272
104.370109 -1.839 -17.0752
104.736320 -1.910 -17.0970
105.102531 -1.982 -17.0939
105.468742 -2.055 -17.0657
105.834953 -2.129 -17.0141
106.201163 -2.203 -16.9392
106.567374 -2.276 -16.8425
106.933585 -2.350 -16.7240
107.299796 -2.423 -16.5854
107.666007 -2.496 -16.4272
108.032218 -2.568 -16.2510
108.398429 -2.639 -16.0573
108.764640 -2.709 -15.8481
109.130851 -2.779 -15.6236
109.497062 -2.847 -15.3855
109.863272 -2.914 -15.1338
110.229483 -2.980 -14.8701
110.595694 -3.045 -14.5944
110.961905 -3.108 -14.3081
111.328116 -3.170 -14.0111
111.694327 -3.231 -13.7049
112.060538 -3.291 -13.3893
112.426749 -3.349 -13.0659
112.792960 -3.406 -12.7343
113.159171 -3.460 -12.3927
113.525382 -3.499 -11.9919
113.891592 -3.535 -11.5894
114.257803 -3.569 -11.1848
114.624014 -3.602 -10.7793
114.990225 -3.634 -10.3726
115.356436 -3.664 -9.9660
115.722647 -3.693 -9.5591
116.088858 -3.719 -9.1534
116.455069 -3.745 -8.7483
116.821280 -3.769 -8.3453
117.187491 -3.792 -7.9437
117.553702 -3.814 -7.5449
117.919912 -3.834 -7.1482
118.286123 -3.853 -6.7550
118.652334 -3.871 -6.3643
119.018545 -3.888 -5.9775
119.384756 -3.904 -5.5937
119.750967 -3.918 -5.2142
120.117178 -3.932 -4.8379
120.483389 -3.945 -4.4661
120.849600 -3.957 -4.0978
121.215811 -3.967 -3.7344
121.582022 -3.978 -3.3748
121.948232 -3.987 -3.0202
122.314443 -3.996 -2.6698
122.680654 -4.003 -2.3247
123.046865 -4.011 -1.9836
123.413076 -4.017 -1.6477
123.779287 -4.024 -1.3157
124.145498 -4.029 -0.9887
124.511709 -4.035 -0.6656
124.877920 -4.039 -0.3478
125.244131 -4.044 -0.0341
125.610342 -4.047 0.2741
125.976552 -4.051 0.5781
126.342763 -4.054 0.8770
126.708974 -4.057 1.1719
127.075185 -4.060 1.4620
127.441396 -4.063 1.7483
127.807607 -4.065 2.0298
128.173818 -4.068 2.3076
128.540029 -4.070 2.5808
128.906240 -4.073 2.8506
129.272451 -4.075 3.1163
129.638662 -4.078 3.3788
130.004872 -4.080 3.6374
130.371083 -4.083 3.8933
130.737294 -4.085 4.1458
131.103505 -4.089 4.3963
131.469716 -4.092 4.6443
131.835927 -4.095 4.8908
132.202138 -4.099 5.1355
132.568349 -4.103 5.3792
132.934560 -4.107 5.6215
133.300771 -4.112 5.8634
133.666981 -4.116 6.1045
134.033192 -4.121 6.3458
134.399403 -4.126 6.5870
134.765614 -4.131 6.8289
135.131825 -4.136 7.0712
135.498036 -4.142 7.3146
135.864247 -4.148 7.5587
136.230458 -4.154 7.8045
136.596669 -4.159 8.0515
136.962880 -4.166 8.3004
137.329091 -4.172 8.5508
137.695301 -4.178 8.8033
138.061512 -4.183 9.0576
138.427723 -4.189 9.3142
138.793934 -4.195 9.5727
139.160145 -4.201 9.8338
139.526356 -4.206 10.0968
139.892567 -4.212 10.3624
140.258778 -4.217 10.6301
