* Measurement data measured by REW V5.40 beta 133
* Source: U18dB [plughw:3,0], Mic (Mic), R, Volume: 1.000. Timing signal peak level -25.2 dBFS, measurement signal peak level -14.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 10, 2026, 11:24:19 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 10 sept 2026  Position MLP+20cm TO THE LEFT 4.186m from front wall  2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY -0.0095 ms (-3.3 mm, -0.13 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -17.0 ppm
* Measurement: L 120.green.3
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 68.333 -157.1218
15.123451 68.501 -158.2057
15.233042 68.706 -159.2976
15.343426 68.915 -160.4148
15.454611 69.124 -161.5639
15.566602 69.333 -162.7329
15.679404 69.539 -163.9352
15.793023 69.740 -165.1827
15.907466 69.938 -166.4677
16.022738 70.131 -167.7943
16.138845 70.318 -169.1691
16.255794 70.500 -170.5933
16.373590 70.678 -172.0646
16.492240 70.849 -173.5800
16.611750 71.015 -175.1448
16.732125 71.176 -176.7568
16.853373 71.331 -178.4041
16.975500 71.483 179.9070
17.098511 71.630 178.1774
17.222414 71.773 176.4242
17.347215 71.913 174.6407
17.472920 72.050 172.8275
17.599536 72.183 171.0039
17.727069 72.313 169.1591
17.855527 72.440 167.2984
17.984915 72.564 165.4399
18.115241 72.685 163.5701
18.246512 72.804 161.6992
18.378734 72.920 159.8419
18.511914 73.034 157.9834
18.646058 73.144 156.1393
18.781175 73.252 154.3156
18.917272 73.357 152.5021
19.054354 73.460 150.7166
19.192430 73.559 148.9541
19.331506 73.655 147.2141
19.471590 73.748 145.5078
19.612689 73.838 143.8251
19.754811 73.924 142.1716
19.897962 74.007 140.5478
20.042151 74.087 138.9479
20.187385 74.165 137.3742
20.333671 74.240 135.8221
20.481017 74.311 134.2886
20.629431 74.381 132.7698
20.778920 74.448 131.2630
20.929493 74.514 129.7620
21.081157 74.578 128.2638
21.233919 74.640 126.7646
21.387789 74.700 125.2581
21.542774 74.757 123.7437
21.698882 74.813 122.2151
21.856121 74.867 120.6699
22.014499 74.918 119.1079
22.174025 74.966 117.5225
22.334708 75.010 115.9182
22.496554 75.051 114.2886
22.659573 75.087 112.6371
22.823774 75.118 110.9662
22.989164 75.144 109.2717
23.155753 75.164 107.5648
23.323549 75.177 105.8362
23.492562 75.183 104.1031
23.662798 75.182 102.3551
23.834269 75.172 100.6106
24.006982 75.153 98.8622
24.180946 75.125 97.1258
24.356171 75.086 95.3994
24.532666 75.036 93.6945
24.710440 74.975 92.0155
24.889502 74.903 90.3700
25.069862 74.818 88.7678
25.251528 74.721 87.2142
25.434511 74.612 85.7221
25.618820 74.490 84.2972
25.804465 74.356 82.9541
25.991454 74.211 81.7006
26.179799 74.055 80.5512
26.369509 73.890 79.5163
26.560593 73.717 78.6095
26.753062 73.540 77.8422
26.946926 73.360 77.2283
27.142194 73.181 76.7742
27.338878 73.007 76.4940
27.536987 72.843 76.3816
27.736531 72.693 76.4483
27.937521 72.563 76.6693
28.139968 72.458 77.0475
28.343882 72.382 77.5391
28.549273 72.341 78.1290
28.756153 72.335 78.7646
28.964532 72.368 79.4063
29.174421 72.439 80.0157
29.385831 72.546 80.5334
29.598773 72.685 80.9400
29.813258 72.852 81.1828
30.029297 73.042 81.2547
30.246902 73.249 81.1307
30.466083 73.467 80.8073
30.686853 73.693 80.2849
30.909222 73.919 79.5658
31.133203 74.143 78.6631
31.358807 74.362 77.5831
31.586046 74.571 76.3461
31.814932 74.768 74.9601
32.045476 74.952 73.4437
32.277691 75.121 71.8111
32.511588 75.275 70.0696
32.747180 75.410 68.2412
32.984480 75.528 66.3324
33.223499 75.628 64.3520
33.464250 75.708 62.3190
33.706746 75.769 60.2368
33.950999 75.811 58.1154
34.197022 75.833 55.9714
34.444828 75.834 53.8078
34.694429 75.815 51.6337
34.945839 75.776 49.4630
35.199071 75.716 47.3044
35.454138 75.634 45.1763
35.711054 75.533 43.0972
35.969831 75.413 41.0717
36.230483 75.273 39.1089
36.493024 75.115 37.2260
36.757467 74.940 35.4359
37.023827 74.747 33.7518
37.292117 74.538 32.1891
37.562351 74.314 30.7651
37.834543 74.077 29.4955
38.108708 73.829 28.3974
38.384859 73.572 27.4863
38.663012 73.310 26.7777
38.943180 73.045 26.2864
39.225378 72.781 26.0261
39.509622 72.524 26.0059
39.795925 72.278 26.2280
40.084302 72.049 26.6932
40.374770 71.844 27.3943
40.667342 71.668 28.3151
40.962034 71.527 29.4277
41.258862 71.427 30.6951
41.557841 71.372 32.0734
41.858986 71.365 33.5116
42.162313 71.406 34.9545
42.467839 71.496 36.3459
42.775578 71.631 37.6314
43.085548 71.807 38.7625
43.397763 72.021 39.6996
43.712242 72.265 40.4117
44.028998 72.534 40.8763
44.348051 72.822 41.0788
44.669415 73.124 41.0114
44.993108 73.434 40.6723
45.319147 73.747 40.0633
45.647548 74.059 39.1909
45.978329 74.365 38.0640
46.311507 74.663 36.6938
46.647099 74.948 35.0926
46.985123 75.219 33.2733
47.325597 75.474 31.2490
47.668537 75.708 29.0338
48.013963 75.921 26.6412
48.361892 76.111 24.0858
48.712342 76.276 21.3804
49.065332 76.416 18.5378
49.420880 76.529 15.5713
49.779004 76.613 12.4932
50.139723 76.669 9.3140
50.503056 76.695 6.0452
50.869022 76.691 2.6968
51.237640 76.657 -0.7212
51.608929 76.593 -4.2000
51.982909 76.499 -7.7317
52.359598 76.373 -11.3093
52.739018 76.217 -14.9267
53.121186 76.031 -18.5795
53.506124 75.814 -22.2637
53.893852 75.566 -25.9776
54.284389 75.287 -29.7209
54.677756 74.976 -33.4941
55.073973 74.633 -37.3007
55.473062 74.257 -41.1464
55.875043 73.846 -45.0388
56.279936 73.399 -48.9881
56.687764 72.913 -53.0072
57.098547 72.386 -57.1132
57.512306 71.815 -61.3274
57.929064 71.196 -65.6777
58.348842 70.523 -70.2004
58.771662 69.791 -74.9408
59.197546 68.996 -79.9600
59.626515 68.128 -85.3407
60.058594 67.181 -91.1967
60.493803 66.149 -97.6876
60.932166 65.029 -105.0404
61.373706 63.828 -113.5737
61.818445 62.572 -123.7185
62.266407 61.332 -135.9824
62.717615 60.242 -150.7490
63.172093 59.505 -167.7808
63.629864 59.293 174.2740
64.090952 59.616 157.4130
64.555381 60.303 142.9982
65.023176 61.151 131.2817
65.494361 62.022 121.8962
65.968960 62.844 114.3464
66.446998 63.590 108.2070
66.928501 64.254 103.1737
67.413492 64.842 99.0356
67.901998 65.364 95.6418
68.394044 65.833 92.8878
68.889655 66.263 90.6950
69.388858 66.665 88.9963
69.891679 67.055 87.7292
70.398142 67.442 86.8287
70.908276 67.840 86.2251
71.422107 68.257 85.8392
71.939661 68.698 85.5878
72.460965 69.167 85.3871
72.986047 69.665 85.1528
73.514934 70.188 84.8153
74.047654 70.733 84.3116
74.584234 71.292 83.6005
75.124702 71.860 82.6506
75.669086 72.428 81.4487
76.217416 72.990 79.9906
76.769719 73.542 78.2828
77.326024 74.077 76.3381
77.886360 74.591 74.1736
78.450757 75.082 71.8094
79.019243 75.547 69.2662
79.591849 75.983 66.5663
80.168605 76.390 63.7304
80.749539 76.765 60.7803
81.334684 77.110 57.7366
81.924068 77.422 54.6179
82.517724 77.704 51.4441
83.115681 77.954 48.2315
83.717972 78.173 44.9974
84.324627 78.361 41.7578
84.935678 78.520 38.5260
85.551157 78.651 35.3168
86.171096 78.753 32.1432
86.795527 78.829 29.0167
87.424483 78.879 25.9490
88.057997 78.905 22.9510
88.696102 78.908 20.0325
89.338830 78.890 17.2029
89.986216 78.852 14.4717
90.638293 78.795 11.8464
91.295096 78.723 9.3339
91.956658 78.636 6.9394
92.623013 78.537 4.6671
93.294198 78.429 2.5192
93.970246 78.313 0.4957
94.651193 78.191 -1.4056
95.337075 78.067 -3.1895
96.027927 77.942 -4.8625
96.723785 77.817 -6.4328
97.424685 77.694 -7.9113
98.130664 77.574 -9.3096
98.841760 77.459 -10.6393
99.558008 77.346 -11.9117
100.279446 77.237 -13.1367
101.006112 77.131 -14.3223
101.738044 77.026 -15.4749
102.475280 76.923 -16.5973
103.217858 76.821 -17.6901
103.965817 76.718 -18.7507
104.719197 76.614 -19.7758
105.478035 76.509 -20.7599
106.242372 76.404 -21.6978
107.012248 76.298 -22.5837
107.787703 76.193 -23.4134
108.568777 76.091 -24.1849
109.355511 75.992 -24.8975
110.147947 75.898 -25.5539
110.946124 75.811 -26.1595
111.750085 75.731 -26.7223
112.559873 75.661 -27.2518
113.375528 75.600 -27.7596
114.197094 75.548 -28.2582
115.024613 75.506 -28.7591
115.858129 75.473 -29.2731
116.697684 75.447 -29.8098
117.543324 75.429 -30.3766
118.395091 75.415 -30.9786
119.253031 75.405 -31.6178
120.117188 75.397 -32.2939
120.987606 75.390 -33.0040
121.864332 75.383 -33.7440
122.747411 75.374 -34.5079
123.636890 75.364 -35.2889
124.532814 75.353 -36.0801
125.435230 75.339 -36.8751
126.344185 75.324 -37.6688
127.259727 75.309 -38.4581
128.181904 75.293 -39.2416
129.110763 75.280 -40.0206
130.046352 75.268 -40.7986
130.988722 75.259 -41.5815
131.937920 75.253 -42.3762
132.893997 75.250 -43.1904
133.857001 75.250 -44.0317
134.826984 75.252 -44.9077
135.803996 75.255 -45.8239
136.788088 75.258 -46.7843
137.779311 75.260 -47.7902
138.777717 75.258 -48.8409
139.783357 75.253 -49.9335
140.796285 75.243 -51.0635
141.816553 75.227 -52.2246
142.844214 75.205 -53.4102
143.879322 75.176 -54.6133
144.921931 75.140 -55.8282
145.972095 75.098 -57.0494
147.029869 75.049 -58.2727
148.095308 74.993 -59.4949
149.168468 74.932 -60.7139
150.249404 74.864 -61.9290
151.338173 74.791 -63.1396
152.434832 74.712 -64.3456
153.539437 74.626 -65.5463
154.652047 74.532 -66.7404
155.772720 74.432 -67.9252
156.901513 74.323 -69.0960
158.038486 74.204 -70.2452
159.183698 74.074 -71.3627
160.337209 73.934 -72.4361
161.499079 73.783 -73.4498
162.669367 73.620 -74.3859
163.848137 73.448 -75.2239
165.035448 73.266 -75.9419
166.231363 73.078 -76.5181
167.435944 72.886 -76.9307
168.649254 72.696 -77.1611
169.871356 72.512 -77.1954
171.102314 72.340 -77.0279
172.342191 72.189 -76.6620
173.591054 72.064 -76.1138
174.848966 71.974 -75.4144
176.115994 71.924 -74.6078
177.392203 71.919 -73.7494
178.677660 71.960 -72.9031
179.972432 72.048 -72.1356
181.276587 72.179 -71.5107
182.590191 72.348 -71.0835
183.913315 72.548 -70.8964
185.246027 72.772 -70.9781
186.588396 73.011 -71.3445
187.940492 73.257 -71.9987
189.302387 73.504 -72.9344
190.674150 73.745 -74.1378
192.055853 73.976 -75.5900
193.447569 74.190 -77.2684
194.849370 74.386 -79.1492
196.261329 74.561 -81.2080
197.683519 74.712 -83.4201
199.116016 74.838 -85.7612
200.558892 74.938 -88.2071
202.012225 75.012 -90.7360
203.476089 75.060 -93.3269
204.950560 75.082 -95.9599
206.435716 75.078 -98.6167
207.931635 75.049 -101.2807
209.438393 74.996 -103.9367
210.956070 74.920 -106.5707
212.484745 74.822 -109.1704
214.024497 74.705 -111.7249
215.575406 74.568 -114.2247
217.137555 74.415 -116.6617
218.711023 74.245 -119.0289
220.295893 74.060 -121.3208
221.892248 73.863 -123.5336
223.500171 73.655 -125.6650
225.119745 73.437 -127.7142
226.751056 73.211 -129.6810
228.394187 72.978 -131.5665
230.049226 72.739 -133.3733
231.716257 72.494 -135.1040
233.395369 72.246 -136.7616
235.086648 71.993 -138.3494
236.790182 71.737 -139.8699
238.506062 71.478 -141.3237
240.234375 71.215 -142.7102
241.975212 70.949 -144.0275
243.728664 70.679 -145.2715
245.494823 70.408 -146.4365
247.273780 70.135 -147.5161
249.065627 69.861 -148.5035
