* Measurement data measured by REW V5.40 beta 133
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Sep 12, 2026, 4:19:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = L.nofdw.clean-fdw6 B = FLX-trimmed.clean-fdw6 
* Measurement: L.filtered.clean-fdw6
* Smoothing: None
* Frequency Step: 0.18310548 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 29.266 12.4836
2.380371 30.084 61.3599
2.563477 28.323 82.1753
2.746582 30.647 123.0706
2.929688 28.080 156.6230
3.112793 30.597 -176.0203
3.295899 28.884 -130.3677
3.479004 29.956 -113.3162
3.662109 30.050 -63.1222
3.845215 28.979 -46.0067
4.028320 30.896 -0.4788
4.211426 28.363 27.2709
4.394531 31.151 60.2571
4.577637 28.844 102.1099
4.760742 30.768 121.7043
4.943848 30.068 171.9164
5.126953 29.879 -173.3157
5.310059 31.188 -123.9933
5.493164 28.991 -102.1906
5.676270 31.770 -63.0219
5.859375 29.024 -26.5187
6.042481 31.694 -2.4565
6.225586 30.164 46.1967
6.408692 31.002 60.4564
6.591797 31.530 112.3810
6.774903 30.001 128.8318
6.958008 32.462 174.0767
7.141114 29.550 -156.1516
7.324219 32.740 -125.8134
7.507325 30.409 -80.6279
7.690430 32.336 -64.5715
7.873536 31.952 -11.5812
8.056641 31.402 0.9424
8.239747 33.253 51.4568
8.422852 30.564 73.7467
8.605958 33.931 111.5844
8.789063 30.937 151.1355
8.972169 33.898 171.6384
9.155274 32.522 -136.2034
9.338379 33.198 -125.4122
9.521485 34.201 -71.0156
9.704590 32.195 -55.8528
9.887696 35.336 -10.3035
10.070801 31.861 19.8551
10.253907 35.518 45.7673
10.437012 32.951 94.1315
10.620118 34.800 105.2566
10.803223 34.617 161.4250
10.986329 33.546 170.6517
11.169434 35.945 -137.0956
11.352540 32.544 -114.4536
11.535645 36.614 -77.9918
11.718751 33.248 -34.4518
11.901856 36.561 -18.3799
12.084962 35.376 38.5178
12.268067 35.825 45.0527
12.451173 37.500 103.0601
12.634278 34.844 117.2092
12.817384 39.047 163.3501
13.000489 35.203 -160.3784
13.183595 39.921 -137.1677
13.366700 37.879 -80.9968
13.549806 40.129 -75.1873
13.732911 41.291 -12.2886
13.916017 39.884 -5.2537
14.099122 44.514 50.3206
14.282228 40.711 80.8748
14.465333 47.644 111.6416
14.648439 46.022 174.5068
14.831544 51.415 176.3643
15.014649 57.672 -98.5461
15.197755 66.729 -124.3320
15.380860 68.217 -143.6311
15.563966 69.057 -143.3940
15.747071 70.088 -147.2529
15.930177 70.475 -147.4509
16.113282 71.239 -149.8223
16.296388 71.667 -153.2129
16.479493 72.282 -158.4827
16.662599 72.535 -164.9785
16.845704 72.803 -170.4500
17.028810 72.878 -175.3960
17.211915 72.999 -177.8687
17.395021 73.119 -179.9226
17.578126 73.256 179.5625
17.761232 73.438 178.7063
17.944337 73.625 178.3945
18.127443 73.951 176.9929
18.310548 74.271 174.7808
18.493654 74.647 171.1494
18.676759 74.886 166.9177
18.859865 75.107 162.8037
19.042970 75.235 159.2236
19.226076 75.428 156.5715
19.409181 75.622 154.0117
19.592287 75.838 151.6072
19.775392 75.982 148.5879
19.958498 76.031 145.5371
20.141603 75.989 142.0256
20.324709 75.832 138.6301
20.507814 75.606 135.1743
20.690919 75.265 132.4199
20.874025 74.935 130.7625
21.057130 74.670 130.5583
21.240236 74.669 131.2871
21.423341 74.863 131.7087
21.606447 75.180 131.2986
21.789552 75.426 129.9680
21.972658 75.600 128.6440
22.155763 75.727 127.3423
22.338869 75.895 126.2153
22.521974 76.107 124.3635
22.705080 76.292 121.8777
22.888185 76.409 118.6814
23.071291 76.426 115.5129
23.254396 76.424 112.4766
23.437502 76.407 109.6970
23.620607 76.421 106.9878
23.803713 76.392 104.4385
23.986818 76.361 102.4617
24.169924 76.350 101.0950
24.353029 76.461 100.1052
24.536135 76.655 98.4155
24.719240 76.829 95.7043
24.902346 76.844 91.9167
25.085451 76.645 88.0273
25.268557 76.302 84.5735
25.451662 75.934 82.0156
25.634768 75.689 79.7393
25.817873 75.536 77.1379
26.000978 75.421 73.9573
26.184084 75.220 70.6621
26.367189 74.965 67.9722
26.550295 74.668 65.9653
26.733400 74.371 64.5051
26.916506 73.978 63.0366
27.099611 73.403 62.1609
27.282717 72.646 62.5366
27.465822 71.905 65.1101
27.648928 71.468 68.3962
27.832033 71.314 70.1140
28.015139 71.138 68.5562
28.198244 70.563 64.8398
28.381350 69.482 60.8232
28.564455 67.883 59.2090
28.747561 66.156 62.4353
28.930666 64.799 71.0178
29.113772 64.332 82.3511
29.296877 64.557 93.6931
29.479983 65.489 104.3918
29.663088 66.975 112.6328
29.846194 68.776 116.9834
30.029299 70.433 117.7161
30.212405 71.815 116.4460
30.395510 72.870 114.1670
30.578616 73.677 111.7319
30.761721 74.280 109.1392
30.944827 74.729 106.6748
31.127932 75.060 104.1965
31.311038 75.307 101.9568
31.494143 75.527 99.7693
31.677248 75.723 97.6648
31.860354 75.915 95.4878
32.043459 76.066 93.3633
32.226565 76.203 91.3997
32.409670 76.317 89.5959
32.592776 76.440 87.8809
32.775881 76.539 86.0381
32.958987 76.611 84.2334
33.142092 76.657 82.5405
33.325198 76.733 81.2085
33.508303 76.887 79.8699
33.691409 77.114 78.2578
33.874514 77.357 76.0510
34.057620 77.536 73.6191
34.240725 77.656 71.3518
34.423831 77.761 69.5703
34.606936 77.937 67.9580
34.790042 78.172 65.9072
34.973147 78.411 63.0557
35.156253 78.555 59.5532
35.339358 78.595 56.0186
35.522464 78.571 52.7996
35.705569 78.567 49.9731
35.888675 78.604 46.9663
36.071780 78.628 43.4536
36.254886 78.556 39.3374
36.437991 78.333 35.1021
36.621097 77.991 31.1377
36.804202 77.587 27.6492
36.987308 77.197 24.3865
37.170413 76.798 20.9968
37.353518 76.346 17.5159
37.536624 75.776 14.3008
37.719729 75.105 12.0339
37.902835 74.386 10.8516
38.085940 73.675 10.6489
38.269046 72.958 10.8101
38.452151 72.181 11.4653
38.635257 71.376 12.8159
38.818362 70.660 15.1777
39.001468 70.194 17.5601
39.184573 69.920 18.9736
39.367679 69.698 19.1479
39.550784 69.367 19.2612
39.733890 69.009 20.5278
39.916995 68.729 23.2253
40.100101 68.633 26.4263
40.283206 68.559 29.0920
40.466312 68.390 31.4917
40.649417 68.093 34.1846
40.832523 67.848 37.4524
41.015628 67.730 40.1130
41.198734 67.683 41.6997
41.381839 67.567 42.5938
41.564945 67.423 44.7063
41.748050 67.480 48.5723
41.931156 67.912 53.3081
42.114261 68.571 56.7478
42.297367 69.097 58.9963
42.480472 69.334 61.1807
42.663578 69.354 64.8386
42.846683 69.454 69.6453
43.029788 69.763 73.8459
43.212894 70.190 75.5410
43.395999 70.505 74.7161
43.579105 70.684 72.3735
43.762210 70.783 69.6494
43.945316 70.967 67.2310
44.128421 71.274 65.0466
44.311527 71.676 62.9919
44.494632 72.040 60.8301
44.677738 72.270 58.8459
44.860843 72.302 57.0557
45.043949 72.121 55.7834
45.227054 71.753 55.0442
45.410160 71.237 55.2288
45.593265 70.676 56.5176
45.776371 70.156 59.3577
45.959476 69.834 63.9731
46.142582 69.848 70.4958
46.325687 70.406 77.9585
46.508793 71.482 84.3262
46.691898 72.835 87.8916
46.875004 74.107 88.5869
47.058109 75.127 87.4268
47.241215 75.856 85.4817
47.424320 76.405 83.4988
47.607426 76.892 81.4448
47.790531 77.399 78.9685
47.973637 77.900 75.6650
48.156742 78.324 71.8574
48.339848 78.634 68.1831
48.522953 78.863 65.4185
48.706058 79.113 63.6929
48.889164 79.450 62.4934
49.072269 79.862 60.9688
49.255375 80.249 58.7407
49.438480 80.558 56.0493
49.621586 80.808 53.3313
49.804691 81.098 50.7732
49.987797 81.502 47.9785
50.170902 82.011 44.4429
50.354008 82.532 39.8965
50.537113 82.968 34.6392
50.720219 83.266 29.1064
50.903324 83.424 23.7300
51.086430 83.478 18.6204
51.269535 83.455 13.6873
51.452641 83.374 8.7322
51.635746 83.223 3.6677
51.818852 83.005 -1.3987
52.001957 82.724 -6.2927
52.185063 82.406 -10.8044
52.368168 82.068 -14.8865
52.551274 81.718 -18.4832
52.734379 81.357 -21.6482
52.917485 80.987 -24.3823
53.100590 80.616 -26.8413
53.283696 80.232 -29.1704
53.466801 79.816 -31.4526
53.649907 79.338 -33.4761
53.833012 78.827 -34.8057
54.016117 78.363 -35.1707
54.199223 78.067 -34.8513
54.382328 77.959 -34.7930
54.565434 77.942 -35.6702
54.748539 77.867 -37.4714
54.931645 77.662 -39.4258
55.114750 77.373 -40.8904
55.297856 77.112 -41.6726
55.480961 76.964 -42.4551
55.664067 76.877 -43.9133
55.847172 76.743 -46.1772
56.030278 76.474 -48.5730
56.213383 76.112 -50.2915
56.396489 75.771 -51.0027
56.579594 75.580 -51.2263
56.762700 75.520 -51.9424
56.945805 75.487 -53.5217
57.128911 75.371 -55.6365
57.312016 75.173 -57.4639
57.495122 74.974 -58.6187
57.678227 74.877 -59.1699
57.861333 74.910 -59.8110
58.044438 75.012 -60.9153
58.227544 75.116 -62.5798
58.410649 75.174 -64.5117
58.593755 75.204 -66.5947
58.776860 75.212 -68.8079
58.959966 75.215 -71.2273
59.143071 75.198 -73.8438
59.326177 75.177 -76.5110
59.509282 75.158 -79.1746
59.692387 75.170 -81.7690
59.875493 75.211 -84.4370
60.058598 75.280 -87.1516
60.241704 75.376 -90.0156
60.424809 75.507 -93.0144
60.607915 75.688 -96.3728
60.791020 75.903 -100.2058
60.974126 76.134 -104.5872
61.157231 76.347 -109.3403
61.340337 76.551 -114.2234
61.523442 76.753 -119.1272
61.706548 76.983 -124.1182
61.889653 77.223 -129.5068
62.072759 77.437 -135.4302
62.255864 77.574 -141.9070
62.438970 77.607 -148.5977
62.622075 77.552 -155.1968
62.805181 77.450 -161.4209
62.988286 77.359 -167.3228
63.171392 77.288 -173.1377
63.354497 77.217 -179.1021
63.537603 77.087 174.7510
63.720708 76.873 168.7197
63.903814 76.592 163.1040
64.086919 76.319 158.1455
64.270025 76.134 153.5967
64.453130 76.062 149.0742
64.636236 76.063 144.2017
64.819341 76.048 139.1184
65.002447 75.975 134.2288
65.185552 75.846 129.9700
65.368657 75.731 126.4238
65.551763 75.679 123.1411
65.734868 75.704 119.5210
65.917974 75.747 115.1060
66.101079 75.762 110.0186
66.284185 75.732 104.5256
66.467290 75.678 99.0015
66.650396 75.626 93.4526
66.833501 75.553 87.8069
67.016607 75.407 81.9348
67.199712 75.111 75.9702
67.382818 74.632 70.2524
67.565923 73.975 65.1418
67.749029 73.217 60.9165
67.932134 72.433 57.4224
68.115240 71.662 54.4896
68.298345 70.879 51.9961
68.481451 70.044 50.5931
68.664556 69.211 51.0490
68.847662 68.548 53.8336
69.030767 68.259 57.6779
69.213873 68.283 60.5797
69.396978 68.387 61.3568
69.580084 68.325 60.4990
69.763189 68.070 59.0513
69.946295 67.694 57.9059
70.129400 67.388 57.3640
70.312506 67.255 56.9017
70.495611 67.316 55.9447
70.678717 67.443 54.0541
70.861822 67.516 51.5836
71.044927 67.438 48.8240
71.228033 67.175 46.3951
71.411138 66.760 44.4075
71.594244 66.251 42.9700
71.777349 65.739 41.5103
71.960455 65.226 39.5596
72.143560 64.700 36.7738
72.326666 64.079 33.5396
72.509771 63.399 30.6473
72.692877 62.703 28.5602
72.875982 62.120 27.0500
73.059088 61.597 24.5885
73.242193 60.973 20.1659
73.425299 60.011 12.8853
73.608404 58.609 2.9161
73.791510 56.938 -10.6838
73.974615 55.456 -28.6704
74.157721 55.052 -50.9574
74.340826 55.992 -74.1240
74.523932 57.771 -94.6548
74.707037 59.678 -112.7594
74.890143 61.366 -128.3756
75.073248 62.792 -141.6116
75.256354 63.954 -152.0322
75.439459 64.980 -159.5967
75.622565 65.930 -164.9341
75.805670 66.864 -168.8348
75.988776 67.745 -172.2970
76.171881 68.536 -175.6106
76.354987 69.219 -179.0389
76.538092 69.791 177.5933
76.721197 70.276 174.3165
76.904303 70.680 171.4889
