* Generated by rew_pipeline.py (source UUID 52b193c4-2b57-4908-a61b-75034b9edfea, calibrated to its own SPL at 100 Hz)
* Measurement: L.filtered.clean-fdw6
* Dated: 2026-Sep-12 16:19:00
* Note: ; Trace Arithmetic A times B A = L.nofdw.clean-fdw6 B = FLX-trimmed.clean-fdw6
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.000000 -62.190 180.0000
0.183105 -66.512 107.5600
0.366211 -63.249 6.9828
0.549316 -70.301 129.7115
0.732422 -70.445 120.4106
0.915527 -68.168 109.8681
1.098633 -66.174 134.9926
1.281738 -60.437 -24.4846
1.464844 -66.286 -140.2363
1.647949 -66.948 -24.7907
1.831055 -58.293 -157.6478
2.014160 -64.601 29.7077
2.197266 -63.431 168.2678
2.380371 -93.147 -139.6086
2.563477 -62.314 -56.6111
2.746582 -74.671 -71.8960
2.929688 -59.478 -122.2246
3.112793 -63.749 -65.5723
3.295898 -65.610 140.1160
3.479004 -61.874 46.5682
3.662109 -69.118 -119.5548
3.845215 -69.748 -60.7667
4.028320 -60.893 144.4356
4.211426 -59.654 43.8605
4.394531 -71.315 -150.7358
4.577637 -70.874 90.6027
4.760742 -65.148 -93.4786
4.943848 -64.107 1.5482
5.126953 -59.846 -179.0608
5.310059 -69.784 148.2230
5.493164 -66.003 -13.0499
5.676270 -66.521 93.0153
5.859375 -69.305 -24.6479
6.042480 -61.146 -68.4282
6.225586 -70.839 82.7092
6.408691 -68.719 -117.8435
6.591797 -68.473 -112.6366
6.774902 -63.716 -44.4990
6.958008 -61.905 -146.2096
7.141113 -69.180 79.5365
7.324219 -74.947 -104.3380
7.507324 -68.190 78.0892
7.690430 -55.539 -68.9663
7.873535 -79.491 112.5245
8.056641 -60.510 120.9860
8.239746 -68.460 88.5076
8.422852 -66.441 0.9411
8.605957 -58.508 -96.6430
8.789062 -69.886 -8.8507
8.972168 -64.367 120.1650
9.155273 -61.047 145.4139
9.338379 -72.680 -93.2079
9.521484 -66.430 66.9872
9.704590 -73.366 110.9177
9.887695 -58.422 -115.4715
10.070801 -62.674 121.8178
10.253906 -63.954 59.0141
10.437012 -70.117 120.6280
10.620117 -66.040 46.3927
10.803223 -63.258 -33.2947
10.986328 -66.256 127.0382
11.169434 -79.914 133.2605
11.352539 -58.660 -16.6848
11.535645 -67.800 5.0719
11.718750 -62.322 -82.1198
11.901855 -64.251 -81.4836
12.084961 -66.445 93.0430
12.268066 -67.326 -5.2469
12.451172 -72.899 -1.8034
12.634277 -66.448 135.5342
12.817383 -62.226 164.4396
13.000488 -63.456 84.0938
13.183594 -64.852 148.6398
13.366699 -66.414 164.1827
13.549805 -61.581 -68.8246
13.732910 -69.881 87.3629
13.916016 -70.201 -170.4643
14.099121 -68.166 177.4473
14.282227 -61.131 -0.8596
14.465332 -63.390 76.0521
14.648438 -81.598 129.4951
14.831543 -69.373 -1.9535
15.014648 -64.088 -118.3587
15.197754 68.743 172.2890
15.380859 69.331 105.3017
15.563965 69.883 36.7069
15.747070 70.351 -32.2748
15.930176 70.852 -101.1518
16.113281 71.486 -170.4983
16.296387 72.200 118.9177
16.479492 72.851 47.1113
16.662598 73.329 -25.1114
16.845703 73.611 -96.7286
17.028809 73.755 -167.0289
17.211914 73.851 124.1095
17.395020 73.959 56.3061
17.578125 74.095 -10.9205
17.761230 74.268 -77.8897
17.944336 74.511 -144.9111
18.127441 74.852 147.5130
18.310547 75.258 78.8957
18.493652 75.650 9.1875
18.676758 75.959 -61.1269
18.859863 76.171 -131.3340
19.042969 76.333 159.0829
19.226074 76.506 90.1593
19.409180 76.716 21.5081
19.592285 76.931 -47.3064
19.775391 77.094 -116.4625
19.958496 77.168 174.1011
20.141602 77.144 104.5056
20.324707 77.024 34.8618
20.507812 76.804 -34.6206
20.690918 76.492 -103.5074
20.874023 76.148 -171.2372
21.057129 75.902 122.4398
21.240234 75.881 56.9735
21.423340 76.091 -8.7525
21.606445 76.401 -75.4383
21.789551 76.668 -142.8884
21.972656 76.848 149.5281
22.155762 76.993 82.1855
22.338867 77.172 14.8639
22.521973 77.389 -52.9787
22.705078 77.581 -121.6205
22.888184 77.689 169.1609
23.071289 77.710 99.8276
23.254395 77.695 30.6891
23.437500 77.689 -38.2569
23.620605 77.694 -107.1172
23.803711 77.681 -175.7789
23.986816 77.647 116.1026
24.169922 77.650 48.7020
24.353027 77.757 -18.4065
24.536133 77.954 -86.0924
24.719238 78.122 -154.9290
24.902344 78.130 135.2662
25.085449 77.928 65.2247
25.268555 77.575 -4.2882
25.451660 77.213 -72.9974
25.634766 76.960 -141.3467
25.817871 76.820 149.9581
26.000977 76.697 80.7184
26.184082 76.505 11.4058
26.367188 76.238 -57.3479
26.550293 75.942 -125.3393
26.733398 75.632 167.0941
26.916504 75.234 99.6292
27.099609 74.649 32.5994
27.282715 73.886 -33.0316
27.465820 73.146 -96.6258
27.648926 72.704 -159.3237
27.832031 72.560 136.2679
28.015137 72.375 68.7611
28.198242 71.811 -1.0049
28.381348 70.709 -70.9699
28.564453 69.119 -138.5780
28.747559 67.356 158.6336
28.930664 66.011 101.2195
29.113770 65.503 46.4555
29.296875 65.747 -8.2414
29.479980 66.649 -63.6569
29.663086 68.158 -121.4443
29.846191 69.941 176.8280
30.029297 71.613 111.5911
30.212402 72.985 44.2760
30.395508 74.043 -23.9312
30.578613 74.840 -92.4045
30.761719 75.436 -160.9301
30.944824 75.875 130.5517
31.127930 76.195 62.1077
31.311035 76.437 -6.1958
31.494141 76.646 -74.3745
31.677246 76.843 -142.5222
31.860352 77.025 149.3073
32.043457 77.180 81.1851
32.226562 77.306 13.2332
32.409668 77.421 -54.5324
32.592773 77.531 -122.2467
32.775879 77.625 169.9560
32.958984 77.686 102.1258
33.142090 77.725 34.4697
33.325195 77.793 -32.9034
33.508301 77.942 -100.2065
33.691406 78.167 -167.8461
33.874512 78.402 123.9922
34.057617 78.580 55.5633
34.240723 78.691 -12.6550
34.423828 78.794 -80.4118
34.606934 78.958 -147.9905
34.790039 79.190 143.9882
34.973145 79.416 75.1482
35.156250 79.557 5.6811
35.339355 79.591 -63.8639
35.522461 79.566 -133.0420
35.705566 79.558 158.1211
35.888672 79.591 89.1653
36.071777 79.612 19.6565
36.254883 79.532 -50.4077
36.437988 79.304 -120.6322
36.621094 78.950 169.4360
36.804199 78.541 99.9578
36.987305 78.139 30.7012
37.170410 77.737 -38.6677
37.353516 77.276 -108.1531
37.536621 76.703 -177.3174
37.719727 76.025 114.4184
37.902832 75.300 47.3201
38.085938 74.580 -18.8748
38.269043 73.852 -84.6165
38.452148 73.066 -149.9620
38.635254 72.245 145.4739
38.818359 71.522 81.8193
39.001465 71.040 18.2675
39.184570 70.767 -46.3285
39.367676 70.530 -112.0938
39.550781 70.204 -177.9422
39.733887 69.831 117.3945
39.916992 69.556 54.1863
40.100098 69.442 -8.5427
40.283203 69.367 -71.7550
40.466309 69.178 -135.3120
40.649414 68.878 161.5057
40.832520 68.615 98.7746
41.015625 68.493 35.5532
41.198730 68.435 -28.8877
41.381836 68.317 -93.8653
41.564941 68.171 -157.7685
41.748047 68.226 140.2585
41.931152 68.660 79.0156
42.114258 69.311 16.6286
42.297363 69.839 -47.0761
42.480469 70.063 -110.7405
42.663574 70.083 -173.0360
42.846680 70.170 125.8865
43.029785 70.481 64.1228
43.212891 70.895 -0.1037
43.395996 71.215 -66.8866
43.579102 71.386 -135.1746
43.762207 71.494 156.1810
43.945312 71.673 87.8174
44.128418 71.985 19.7545
44.311523 72.381 -48.2475
44.494629 72.744 -116.2823
44.677734 72.968 175.7672
44.860840 72.995 108.0828
45.043945 72.812 40.8258
45.227051 72.438 -25.8276
45.410156 71.925 -91.6281
45.593262 71.358 -156.2583
45.776367 70.845 140.6198
45.959473 70.516 79.3247
46.142578 70.538 19.9123
46.325684 71.087 -38.5353
46.508789 72.166 -98.0948
46.691895 73.508 -160.4578
46.875000 74.781 134.3068
47.058105 75.792 67.1934
47.241211 76.522 -0.6837
47.424316 77.065 -68.6329
47.607422 77.552 -136.6118
47.790527 78.057 154.9507
47.973633 78.557 85.7339
48.156738 78.979 15.9781
48.339844 79.285 -53.6074
48.522949 79.512 -122.3141
48.706055 79.756 170.0374
48.889160 80.091 102.8954
49.072266 80.496 35.4335
49.255371 80.882 -32.7337
49.438477 81.186 -101.3690
49.621582 81.435 -170.0149
49.804688 81.721 121.4857
49.987793 82.123 52.7757
50.170898 82.628 -16.6969
50.354004 83.145 -87.1561
50.537109 83.577 -158.3509
50.720215 83.871 130.1965
50.903320 84.026 58.8822
51.086426 84.075 -12.1538
51.269531 84.050 -83.0179
51.452637 83.964 -153.8997
51.635742 83.812 135.1172
51.818848 83.589 64.1260
52.001953 83.306 -6.6767
52.185059 82.984 -77.1155
52.368164 82.642 -147.1062
52.551270 82.289 143.3643
52.734375 81.924 74.2859
52.917480 81.552 5.6188
53.100586 81.177 -62.7550
53.283691 80.793 -131.0069
53.466797 80.374 160.7983
53.649902 79.896 92.8661
53.833008 79.381 25.6226
54.016113 78.917 -40.6431
54.199219 78.616 -106.2471
54.382324 78.506 -172.0915
54.565430 78.486 121.0957
54.748535 78.409 53.3893
54.931641 78.204 -14.5043
55.114746 77.914 -81.8694
55.297852 77.654 -148.5824
55.480957 77.505 144.7410
55.664062 77.420 77.3642
55.847168 77.283 9.2025
56.030273 77.014 -59.1070
56.213379 76.648 -126.7402
56.396484 76.309 166.6327
56.579590 76.114 100.4753
56.762695 76.057 33.8455
56.945801 76.023 -33.6752
57.128906 75.910 -101.6908
57.312012 75.713 -169.4555
57.495117 75.516 123.5013
57.678223 75.420 57.0158
57.861328 75.452 -9.5164
58.044434 75.555 -76.5592
58.227539 75.656 -144.1333
58.410645 75.717 147.9911
58.593750 75.745 79.9806
58.776855 75.758 11.8306
58.959961 75.760 -56.5225
59.143066 75.748 -125.0572
59.326172 75.725 166.3421
59.509277 75.710 97.7754
59.692383 75.721 29.2414
59.875488 75.763 -39.3320
60.058594 75.831 -108.0000
60.241699 75.926 -176.7829
60.424805 76.059 114.2586
60.607910 76.239 44.9725
60.791016 76.458 -24.8083
60.974121 76.689 -95.1174
61.157227 76.907 -165.7982
61.340332 77.108 123.3872
61.523438 77.313 52.5641
61.706543 77.540 -18.3733
61.889648 77.781 -89.6868
62.072754 77.995 -161.5705
62.255859 78.132 126.0223
62.438965 78.167 53.3736
62.622070 78.112 -19.1538
62.805176 78.013 -91.3198
62.988281 77.920 -163.1501
63.171387 77.852 125.1042
63.354492 77.778 53.1975
63.537598 77.648 -18.8809
63.720703 77.432 -90.8728
63.903809 77.152 -162.4232
64.086914 76.879 126.6527
64.270020 76.695 56.1748
64.453125 76.625 -14.3018
64.636230 76.625 -85.0987
64.819336 76.612 -156.1234
65.002441 76.535 133.0516
65.185547 76.406 62.8523
65.368652 76.287 -6.6504
65.551758 76.237 -75.8753
65.734863 76.259 -145.4650
65.917969 76.304 144.1845
66.101074 76.319 73.1318
66.284180 76.289 1.7148
66.467285 76.235 -69.7642
66.650391 76.180 -141.2391
66.833496 76.106 147.1625
67.016602 75.956 75.3442
67.199707 75.659 3.4251
67.382812 75.175 -68.2596
67.565918 74.520 -139.3164
67.749023 73.760 150.4859
67.932129 72.976 81.0676
68.115234 72.204 12.1689
68.298340 71.418 -56.2316
68.481445 70.581 -123.5998
68.664551 69.740 170.9434
68.847656 69.076 107.7500
69.030762 68.777 45.6602
69.213867 68.803 -17.4241
69.396973 68.898 -82.5983
69.580078 68.840 -149.4250
69.763184 68.578 143.1739
69.946289 68.207 76.0986
70.129395 67.893 9.6081
70.312500 67.762 -56.7515
70.495605 67.812 -123.6694
70.678711 67.934 168.5421
70.861816 67.998 100.0816
71.044922 67.913 31.4059
71.228027 67.646 -37.0281
71.411133 67.225 -104.9369
71.594238 66.718 -172.3615
71.777344 66.199 120.2720
71.960449 65.691 52.3798
72.143555 65.153 -16.3046
72.326660 64.534 -85.4391
72.509766 63.835 -154.2668
72.692871 63.137 137.7513
72.875977 62.536 70.2329
73.059082 62.013 1.8702
73.242188 61.381 -68.6093
73.425293 60.420 -141.7584
73.608398 59.030 142.2471
73.791504 57.349 62.8729
73.974609 55.881 -20.9749
74.157715 55.428 -109.1678
74.340820 56.365 161.7641
74.523926 58.138 75.0696
74.707031 60.046 -8.8883
74.890137 61.748 -90.4607
75.073242 63.160 -169.5450
75.256348 64.325 114.1591
75.439453 65.333 40.6644
75.622559 66.279 -30.5637
75.805664 67.202 -100.4427
75.988770 68.080 -169.8048
76.171875 68.869 120.9102
76.354980 69.548 51.5929
76.538086 70.120 -17.7143
76.721191 70.599 -86.8713
76.904297 71.002 -155.6141
77.087402 71.367 136.3905
77.270508 71.765 69.3102
77.453613 72.268 2.8500
77.636719 72.886 -63.7023
77.819824 73.539 -130.9486
78.002930 74.120 161.0538
78.186035 74.564 92.7384
78.369141 74.884 24.7099
78.552246 75.161 -42.6040
78.735352 75.496 -109.1669
78.918457 75.958 -175.2728
79.101562 76.567 118.6917
79.284668 77.309 52.3930
79.467773 78.151 -14.4703
79.650879 79.042 -82.1797
79.833984 79.913 -150.8862
80.017090 80.696 139.4897
80.200195 81.353 69.2219
80.383301 81.885 -1.3520
80.566406 82.327 -72.0035
80.749512 82.716 -142.7102
80.932617 83.070 146.4313
81.115723 83.376 75.3514
81.298828 83.611 4.0986
81.481934 83.751 -67.1361
81.665039 83.800 -138.1102
81.848145 83.787 151.3178
82.031250 83.744 81.1137
82.214355 83.692 11.1130
82.397461 83.627 -58.8500
82.580566 83.528 -128.8114
82.763672 83.378 161.3459
82.946777 83.178 91.7978
83.129883 82.944 22.6531
83.312988 82.695 -46.1111
83.496094 82.436 -114.6112
83.679199 82.159 177.0509
83.862305 81.851 108.8725
84.045410 81.509 40.9459
84.228516 81.147 -26.6119
84.411621 80.790 -93.7309
84.594727 80.463 -160.4091
84.777832 80.182 133.3127
84.960938 79.957 67.3789
85.144043 79.793 1.7109
85.327148 79.692 -63.8104
85.510254 79.650 -129.3301
85.693359 79.656 165.0247
85.876465 79.704 99.1685
86.059570 79.791 33.0387
86.242676 79.915 -33.4334
86.425781 80.067 -100.3080
86.608887 80.224 -167.5779
86.791992 80.362 124.8686
86.975098 80.464 57.2146
87.158203 80.527 -10.3743
87.341309 80.560 -77.8376
87.524414 80.571 -145.2406
87.707520 80.558 147.2925
87.890625 80.512 79.6853
88.073730 80.428 11.9631
88.256836 80.322 -55.7918
88.439941 80.221 -123.5388
88.623047 80.152 168.6581
88.806152 80.118 100.6769
88.989258 80.090 32.4719
89.172363 80.025 -35.8233
89.355469 79.897 -103.9184
89.538574 79.710 -171.5048
89.721680 79.500 121.5709
89.904785 79.319 55.1915
90.087891 79.200 -10.9893
90.270996 79.144 -77.3537
90.454102 79.131 -144.1391
90.637207 79.143 148.5819
90.820312 79.168 80.8069
91.003418 79.193 12.5424
91.186523 79.195 -56.1661
91.369629 79.142 -125.1794
91.552734 79.013 165.7289
91.735840 78.809 96.7797
91.918945 78.549 28.0585
92.102051 78.253 -40.5579
92.285156 77.916 -109.3178
92.468262 77.500 -178.3804
92.651367 76.953 112.3678
92.834473 76.245 43.3394
93.017578 75.393 -24.8864
93.200684 74.472 -91.8211
93.383789 73.597 -157.3848
93.566895 72.851 137.9674
93.750000 72.236 73.5856
93.933105 71.685 9.1494
94.116211 71.141 -55.2246
94.299316 70.602 -119.3238
94.482422 70.087 176.8351
94.665527 69.592 113.0601
94.848633 69.078 49.3392
95.031738 68.526 -13.9690
95.214844 67.995 -76.4272
95.397949 67.604 -138.1213
95.581055 67.422 160.1263
95.764160 67.376 97.4901
95.947266 67.333 33.9840
96.130371 67.238 -29.6628
96.313477 67.164 -92.8414
96.496582 67.232 -155.8214
96.679688 67.446 140.4129
96.862793 67.652 75.2722
97.045898 67.666 9.2607
97.229004 67.412 -56.3025
97.412109 66.991 -120.0029
97.595215 66.666 178.6388
97.778320 66.672 118.3317
97.961426 66.961 57.1007
98.144531 67.292 -5.6350
98.327637 67.522 -69.0203
98.510742 67.701 -132.1166
98.693848 67.963 165.0907
98.876953 68.360 101.7779
99.060059 68.805 37.3203
99.243164 69.184 -28.0705
99.426270 69.472 -93.7319
99.609375 69.731 -159.2477
99.792480 70.028 135.2302
99.975586 70.353 69.3069
100.158691 70.637 2.9351
100.341797 70.828 -63.4252
100.524902 70.958 -129.1994
100.708008 71.119 165.7402
100.891113 71.377 100.8732
101.074219 71.695 35.5250
101.257324 71.972 -30.4579
101.440430 72.146 -96.6305
101.623535 72.245 -162.4218
101.806641 72.368 132.3322
101.989746 72.594 67.2180
102.172852 72.920 1.6578
102.355957 73.281 -64.5351
102.539062 73.633 -131.0976
102.722168 73.983 162.3019
102.905273 74.367 95.7106
103.088379 74.793 28.8851
103.271484 75.222 -38.4154
103.454590 75.597 -106.1884
103.637695 75.884 -174.2279
103.820801 76.086 117.6693
104.003906 76.226 49.5469
104.187012 76.320 -18.6998
104.370117 76.367 -87.1751
104.553223 76.352 -155.8476
104.736328 76.274 135.4553
104.919434 76.152 66.9317
105.102539 76.014 -1.3257
105.285645 75.884 -69.3658
105.468750 75.759 -137.2930
105.651855 75.617 154.8539
105.834961 75.437 87.1407
106.018066 75.208 19.6779
