* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 12, 2026, 4:18:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of FL.clean-fdw6 Cal file effects not included LF tail from 16 Hz at 0 dB/octave No HF tail
* Measurement: LFilter.clean-fdw6
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 0.000 -0.0316
0.732422 0.000 -0.0632
1.098633 0.000 -0.0948
1.464844 0.000 -0.1265
1.831055 -0.000 -0.1581
2.197266 -0.000 -0.1897
2.563477 0.000 -0.2213
2.929688 -0.000 -0.2530
3.295899 -0.000 -0.2847
3.662110 -0.000 -0.3163
4.028321 0.000 -0.3481
4.394532 -0.000 -0.3798
4.760743 -0.000 -0.4115
5.126954 -0.000 -0.4433
5.493164 0.000 -0.4751
5.859375 0.000 -0.5069
6.225586 -0.000 -0.5388
6.591797 0.000 -0.5707
6.958008 -0.000 -0.6025
7.324219 -0.000 -0.6345
7.690430 -0.000 -0.6665
8.056641 -0.000 -0.6985
8.422852 -0.000 -0.7306
8.789063 0.000 -0.7627
9.155274 -0.000 -0.7949
9.521485 -0.000 -0.8271
9.887696 -0.000 -0.8593
10.253907 -0.000 -0.8916
10.620118 -0.000 -0.9239
10.986329 -0.000 -0.9564
11.352540 -0.000 -0.9888
11.718751 -0.000 -1.0214
12.084962 -0.000 -1.0540
12.451173 -0.000 -1.0866
12.817384 -0.000 -1.1193
13.183595 -0.000 -1.1521
13.549806 0.000 -1.1849
13.916017 0.000 -1.2178
14.282228 -0.000 -1.2508
14.648439 0.000 -1.2839
15.014650 -0.000 -1.3170
15.380861 0.000 -1.3503
15.747072 0.000 -1.3836
16.113283 -0.000 -1.4169
16.479493 -0.000 -1.4505
16.845704 0.000 -1.4839
17.211915 0.000 -1.5177
17.578126 0.000 -1.5514
17.944337 -0.000 -1.5853
18.310548 0.000 -1.6192
18.676759 0.000 -1.6533
19.042970 0.000 -1.6874
19.409181 -0.000 -1.7217
19.775392 0.000 -1.7560
20.141603 0.000 -1.7905
20.507814 0.000 -1.8251
20.874025 0.000 -1.8598
21.240236 -0.000 -1.8946
21.606447 -0.000 -1.9296
21.972658 0.000 -1.9645
22.338869 0.000 -1.9998
22.705080 0.000 -2.0351
23.071291 0.000 -2.0706
23.437502 0.000 -2.1062
23.803713 -0.000 -2.1419
24.169924 -0.000 -2.1777
24.536135 0.000 -2.2138
24.902346 0.000 -2.2499
25.268557 -0.000 -2.2862
25.634768 0.000 -2.3227
26.000979 -0.000 -2.3593
26.367190 0.000 -2.3960
26.733401 0.000 -2.4330
27.099612 -0.000 -2.4701
27.465823 0.000 -2.5074
27.832033 -0.000 -2.5448
28.198244 0.000 -2.5824
28.564455 -0.000 -2.6202
28.930666 -0.000 -2.6582
29.296877 -0.000 -2.6964
29.663088 0.000 -2.7347
30.029299 -0.000 -2.7732
30.395510 -0.000 -2.8120
30.761721 0.000 -2.8509
31.127932 0.000 -2.8901
31.494143 -0.000 -2.9295
31.860354 0.000 -2.9690
32.226565 -0.000 -3.0088
32.592776 0.000 -3.0489
32.958987 -0.000 -3.0891
33.325198 0.000 -3.1296
33.691409 -0.000 -3.1703
34.057620 0.000 -3.2112
34.423831 -0.000 -3.2524
34.790042 0.000 -3.2939
35.156253 -0.000 -3.3356
35.522464 0.000 -3.3776
35.888675 -0.000 -3.4198
36.254886 0.000 -3.4623
36.621097 -0.000 -3.5051
36.987308 0.000 -3.5481
37.353519 -0.000 -3.5914
37.719730 -0.000 -3.6351
38.085941 -0.000 -3.6790
38.452152 -0.000 -3.7233
38.818363 0.000 -3.7678
39.184573 -0.000 -3.8126
39.550784 0.000 -3.8579
39.916995 -0.000 -3.9034
40.283206 -0.000 -3.9492
40.649417 -0.000 -3.9954
41.015628 0.000 -4.0420
41.381839 -0.000 -4.0889
41.748050 -0.000 -4.1362
42.114261 -0.000 -4.1838
42.480472 -0.000 -4.2318
42.846683 -0.000 -4.2803
43.212894 -0.000 -4.3290
43.579105 -0.000 -4.3782
43.945316 -0.000 -4.4279
44.311527 -0.000 -4.4779
44.677738 0.000 -4.5284
45.043949 -0.000 -4.5793
45.410160 -0.000 -4.6307
45.776371 0.000 -4.6826
46.142582 0.000 -4.7349
46.508793 -0.000 -4.7876
46.875004 0.000 -4.8409
47.241215 0.000 -4.8947
47.607426 0.000 -4.9490
47.973637 -0.000 -5.0039
48.339848 0.000 -5.0592
48.706059 -0.000 -5.1151
49.072270 0.000 -5.1716
49.438481 -0.000 -5.2288
49.804692 -0.000 -5.2864
50.170902 -0.000 -5.3447
50.537113 0.000 -5.4036
50.903324 0.000 -5.4631
51.269535 0.000 -5.5233
51.635746 -0.000 -5.5842
52.001957 0.000 -5.6457
52.368168 -0.000 -5.7080
52.734379 0.000 -5.7709
53.100590 -0.000 -5.8346
53.466801 0.000 -5.8991
53.833012 -0.000 -5.9644
54.199223 0.000 -6.0305
54.565434 -0.000 -6.0973
54.931645 0.000 -6.1651
55.297856 0.000 -6.2337
55.664067 -0.000 -6.3032
56.030278 -0.000 -6.3737
56.396489 0.000 -6.4451
56.762700 -0.000 -6.5174
57.128911 -0.000 -6.5908
57.495122 -0.000 -6.6652
57.861333 0.000 -6.7408
58.227544 -0.000 -6.8173
58.593755 -0.000 -6.8951
58.959966 -0.000 -6.9741
59.326177 -0.000 -7.0542
59.692388 -0.000 -7.1356
60.058599 0.000 -7.2183
60.424810 0.000 -7.3024
60.791021 0.000 -7.3878
61.157232 -0.000 -7.4747
61.523442 -0.000 -7.5631
61.889653 -0.000 -7.6531
62.255864 -0.000 -7.7447
62.622075 0.000 -7.8379
62.988286 0.000 -7.9328
63.354497 -0.000 -8.0296
63.720708 -0.000 -8.1283
64.086919 -0.000 -8.2289
64.453130 -0.000 -8.3316
64.819341 -0.000 -8.4365
65.185552 0.000 -8.5435
65.551763 -0.000 -8.6529
65.917974 0.000 -8.7648
66.284185 -0.000 -8.8792
66.650396 0.000 -8.9963
67.016607 -0.000 -9.1162
67.382818 0.000 -9.2391
67.749029 -0.000 -9.3652
68.115240 0.000 -9.4946
68.481451 -0.000 -9.6275
68.847662 -0.000 -9.7640
69.213873 0.000 -9.9046
69.580084 0.000 -10.0493
69.946295 0.000 -10.1985
70.312506 0.000 -10.3525
70.678717 -0.000 -10.5116
71.044928 0.000 -10.6761
71.411139 -0.000 -10.8466
71.777350 -0.000 -11.0235
72.143561 0.000 -11.2073
72.509771 -0.000 -11.3986
72.875982 0.000 -11.5982
73.242193 0.000 -11.8069
73.608404 -0.000 -12.0257
73.974615 0.000 -12.2556
74.340826 0.000 -12.4981
74.707037 0.000 -12.7549
75.073248 -0.000 -13.0281
75.439459 -0.000 -13.3205
75.805670 -0.000 -13.6357
76.171881 -0.000 -13.9791
76.538092 -0.001 -14.3579
76.904303 -0.003 -14.7798
77.270514 -0.008 -15.2603
77.636725 -0.019 -15.8000
78.002936 -0.040 -16.4024
78.369147 -0.073 -17.0530
78.735358 -0.122 -17.7302
79.101569 -0.188 -18.4183
79.467780 -0.273 -19.1010
79.833991 -0.380 -19.7384
80.200202 -0.506 -20.2829
80.566413 -0.650 -20.6827
80.932624 -0.800 -20.9293
81.298835 -0.951 -21.0132
81.665046 -1.097 -20.9716
82.031257 -1.235 -20.8169
82.397468 -1.365 -20.5742
82.763679 -1.485 -20.2595
83.129890 -1.595 -19.8856
83.496101 -1.696 -19.4642
83.862311 -1.787 -19.0045
84.228522 -1.868 -18.5146
84.594733 -1.940 -18.0012
84.960944 -2.004 -17.4705
85.327155 -2.058 -16.9285
85.693366 -2.103 -16.3800
86.059577 -2.140 -15.8307
86.425788 -2.170 -15.2845
86.791999 -2.191 -14.7463
87.158210 -2.205 -14.2190
87.524421 -2.212 -13.7065
87.890632 -2.212 -13.2124
88.256843 -2.206 -12.7388
88.623054 -2.195 -12.2899
88.989265 -2.178 -11.8665
89.355476 -2.156 -11.4724
89.721687 -2.129 -11.1081
90.087898 -2.099 -10.7758
90.454109 -2.065 -10.4775
90.820320 -2.028 -10.2136
91.186531 -1.988 -9.9872
91.552742 -1.946 -9.7973
91.918953 -1.902 -9.6469
92.285164 -1.857 -9.5345
92.651375 -1.812 -9.4618
93.017586 -1.766 -9.4281
93.383797 -1.721 -9.4334
93.750008 -1.677 -9.4779
94.116219 -1.634 -9.5597
94.482430 -1.593 -9.6794
94.848641 -1.555 -9.8332
95.214851 -1.519 -10.0218
95.581062 -1.488 -10.2406
95.947273 -1.460 -10.4897
96.313484 -1.436 -10.7642
96.679695 -1.417 -11.0636
97.045906 -1.403 -11.3827
97.412117 -1.394 -11.7198
97.778328 -1.391 -12.0697
98.144539 -1.393 -12.4299
98.510750 -1.401 -12.7956
98.876961 -1.414 -13.1637
99.243172 -1.434 -13.5301
99.609383 -1.459 -13.8916
99.975594 -1.489 -14.2441
100.341805 -1.524 -14.5848
100.708016 -1.565 -14.9099
101.074227 -1.609 -15.2172
101.440438 -1.658 -15.5036
101.806649 -1.711 -15.7678
102.172860 -1.767 -16.0075
102.539071 -1.826 -16.2218
102.905282 -1.888 -16.4094
103.271493 -1.951 -16.5699
103.637704 -2.017 -16.7028
104.003915 -2.083 -16.8077
104.370126 -2.150 -16.8855
104.736337 -2.218 -16.9359
105.102548 -2.286 -16.9607
105.468759 -2.353 -16.9597
105.834970 -2.421 -16.9354
106.201180 -2.487 -16.8874
106.567391 -2.552 -16.8184
106.933602 -2.617 -16.7284
107.299813 -2.680 -16.6200
107.666024 -2.741 -16.4933
108.032235 -2.801 -16.3510
108.398446 -2.859 -16.1936
108.764657 -2.915 -16.0231
109.130868 -2.970 -15.8403
109.497079 -3.023 -15.6467
109.863290 -3.074 -15.4435
110.229501 -3.123 -15.2316
110.595712 -3.170 -15.0126
110.961923 -3.216 -14.7871
111.328134 -3.260 -14.5565
111.694345 -3.302 -14.3219
112.060556 -3.343 -14.0838
112.426767 -3.382 -13.8434
112.792978 -3.420 -13.6000
113.159189 -3.457 -13.3538
113.525400 -3.493 -13.1045
113.891611 -3.528 -12.8508
114.257822 -3.562 -12.5929
114.624033 -3.595 -12.3308
114.990244 -3.626 -12.0645
115.356455 -3.656 -11.7949
115.722666 -3.685 -11.5223
116.088877 -3.712 -11.2476
116.455088 -3.738 -10.9713
116.821299 -3.762 -10.6939
117.187510 -3.785 -10.4161
117.553720 -3.807 -10.1382
117.919931 -3.827 -9.8608
118.286142 -3.847 -9.5842
118.652353 -3.865 -9.3087
119.018564 -3.882 -9.0347
119.384775 -3.898 -8.7623
119.750986 -3.913 -8.4919
120.117197 -3.927 -8.2236
120.483408 -3.940 -7.9576
120.849619 -3.952 -7.6942
121.215830 -3.963 -7.4332
121.582041 -3.973 -7.1753
121.948252 -3.983 -6.9201
122.314463 -3.992 -6.6680
122.680674 -4.000 -6.4190
123.046885 -4.007 -6.1732
123.413096 -4.014 -5.9307
123.779307 -4.021 -5.6914
124.145518 -4.026 -5.4554
124.511729 -4.032 -5.2228
124.877940 -4.037 -4.9935
125.244151 -4.041 -4.7678
125.610362 -4.045 -4.5451
125.976573 -4.049 -4.3261
126.342784 -4.053 -4.1103
126.708995 -4.056 -3.8978
127.075206 -4.059 -3.6886
127.441417 -4.062 -3.4825
127.807628 -4.065 -3.2795
128.173839 -4.067 -3.0796
128.540049 -4.070 -2.8824
128.906260 -4.073 -2.6881
129.272471 -4.075 -2.4961
129.638682 -4.078 -2.3067
130.004893 -4.081 -2.1194
130.371104 -4.084 -1.9340
130.737315 -4.087 -1.7505
131.103526 -4.090 -1.5684
131.469737 -4.093 -1.3874
131.835948 -4.097 -1.2074
132.202159 -4.101 -1.0280
132.568370 -4.105 -0.8489
132.934581 -4.109 -0.6699
133.300792 -4.113 -0.4907
133.667003 -4.118 -0.3111
134.033214 -4.122 -0.1308
134.399425 -4.127 0.0504
134.765636 -4.132 0.2326
135.131847 -4.138 0.4162
135.498058 -4.143 0.6014
135.864269 -4.149 0.7882
136.230480 -4.154 0.9770
136.596691 -4.160 1.1681
