* Measurement data measured by REW V5.40 beta 133
* Source: Vector average
* Format: Vector average
* Dated: Sep 12, 2026, 4:19:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Vector average of L.filtered.clean-fdw6, R.filtered.clean-fdw6
* Measurement: LR.filtered.clean-fdw6
* Smoothing: None
* Frequency Step: 0.18310547 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 30.657 12.9875
2.380371 31.312 58.0357
2.563477 29.975 81.8973
2.746582 31.768 120.6423
2.929688 29.823 154.0969
3.112793 31.730 -177.4307
3.295898 30.425 -134.6838
3.479004 31.226 -113.9605
3.662109 31.330 -67.6410
3.845215 30.492 -46.7830
4.028320 32.017 -4.2776
4.211426 30.067 24.7543
4.394531 32.234 57.4505
4.577637 30.445 97.3680
4.760742 31.929 119.7994
4.943848 31.398 166.4088
5.126953 31.236 -174.8723
5.310059 32.314 -129.0300
5.493164 30.586 -104.7697
5.676270 32.811 -67.1439
5.859375 30.642 -31.3762
6.042480 32.761 -5.6321
6.225586 31.538 39.9542
6.408691 32.206 57.9208
6.591797 32.661 106.2789
6.774902 31.436 125.9739
6.958008 33.466 168.7781
7.141113 31.122 -160.9106
7.324219 33.724 -130.1794
7.507324 31.809 -87.3062
7.690430 33.402 -68.1541
7.873535 33.082 -18.5526
8.056641 32.654 -2.4474
8.239746 34.215 45.1561
8.422852 32.016 69.1464
8.605957 34.835 106.1776
8.789062 32.330 144.3746
8.972168 34.836 167.0614
9.155273 33.642 -143.7948
9.338379 34.265 -129.5009
9.521484 35.112 -78.1189
9.704590 33.460 -60.4313
9.887695 36.154 -16.5509
10.070801 33.187 13.3453
10.253906 36.332 40.3510
10.437012 34.040 86.2333
10.620117 35.688 100.4663
10.803223 35.459 153.7678
10.986328 34.589 165.8927
11.169434 36.661 -143.9369
11.352539 33.717 -120.5162
11.535645 37.295 -84.0126
11.718750 34.266 -42.2571
11.901855 37.271 -23.7389
12.084961 36.119 30.6295
12.268066 36.628 40.0079
12.451172 38.086 95.9512
12.634277 35.774 111.5549
12.817383 39.571 157.0488
13.000488 36.067 -167.6770
13.183594 40.435 -142.8223
13.366699 38.461 -88.6685
13.549805 40.675 -80.4402
13.732910 41.690 -19.1802
13.916016 40.492 -10.6550
14.099121 44.829 44.2332
14.282227 41.270 74.3013
14.465332 47.909 106.1614
14.648438 46.273 167.8062
14.831543 51.634 171.3032
15.014648 57.737 -103.9456
15.197754 66.799 -128.8860
15.380859 68.285 -147.6875
15.563965 69.142 -147.1006
15.747070 70.176 -150.8438
15.930176 70.534 -151.0903
16.113281 71.204 -153.3743
16.296387 71.517 -156.1914
16.479492 72.056 -160.5747
16.662598 72.279 -166.0776
16.845703 72.577 -170.8032
17.028809 72.694 -175.3289
17.211914 72.873 -177.7485
17.395020 73.036 179.9314
17.578125 73.210 178.8503
17.761230 73.387 177.1187
17.944336 73.506 175.9082
18.127441 73.704 174.0073
18.310547 73.904 172.0703
18.493652 74.254 169.2734
18.676758 74.576 165.9158
18.859863 74.945 162.1155
19.042969 75.178 158.1489
19.226074 75.356 154.7273
19.409180 75.410 151.6875
19.592285 75.450 149.5503
19.775391 75.494 147.3889
19.958496 75.572 145.2434
20.141602 75.647 142.1504
20.324707 75.621 138.6992
20.507812 75.485 135.0220
20.690918 75.196 132.2917
20.874023 74.916 130.9353
21.057129 74.718 131.0249
21.240234 74.763 131.6401
21.423340 74.921 131.6514
21.606445 75.128 130.8896
21.789551 75.247 129.4922
21.972656 75.346 128.2620
22.155762 75.464 126.9377
22.338867 75.665 125.5486
22.521973 75.904 123.3547
22.705078 76.102 120.7825
22.888184 76.232 117.9050
23.071289 76.283 115.4080
23.254395 76.342 113.1350
23.437500 76.395 110.9978
23.620605 76.473 108.6663
23.803711 76.495 106.2329
23.986816 76.505 104.0906
24.169922 76.513 102.3726
24.353027 76.613 101.0796
24.536133 76.784 99.4912
24.719238 76.976 97.4382
24.902344 77.088 94.7000
25.085449 77.078 91.8699
25.268555 76.972 89.0703
25.451660 76.811 86.6206
25.634766 76.671 84.2139
25.817871 76.540 81.8284
26.000977 76.445 79.4290
26.184082 76.355 77.2312
26.367188 76.319 75.3716
26.550293 76.300 73.6533
26.733398 76.283 72.0457
26.916504 76.181 70.4475
27.099609 75.986 69.4170
27.282715 75.747 69.0652
27.465820 75.593 69.4282
27.648926 75.615 69.3301
27.832031 75.763 67.9099
28.015137 75.919 64.5435
28.198242 75.938 59.7756
28.381348 75.788 54.2544
28.564453 75.439 48.8049
28.747559 74.954 43.9783
28.930664 74.336 40.0054
29.113770 73.637 37.1550
29.296875 72.845 35.3977
29.479980 72.007 35.2412
29.663086 71.182 36.6619
29.846191 70.490 39.9587
30.029297 70.038 44.2288
30.212402 69.845 48.9453
30.395508 69.865 52.9856
30.578613 69.971 56.4089
30.761719 70.104 59.0205
30.944824 70.193 61.4553
31.127930 70.300 63.7732
31.311035 70.440 66.1685
31.494141 70.702 68.1357
31.677246 71.020 69.3181
31.860352 71.375 69.5525
32.043457 71.662 69.0745
32.226562 71.902 68.4058
32.409668 72.073 67.7476
32.592773 72.234 67.3960
32.775879 72.378 67.1023
32.958984 72.537 67.0132
33.142090 72.721 66.7534
33.325195 72.947 66.3445
33.508301 73.215 65.2793
33.691406 73.474 63.6741
33.874512 73.702 61.5576
34.057617 73.866 59.5247
34.240723 74.031 57.8308
34.423828 74.227 56.5208
34.606934 74.507 55.1465
34.790039 74.795 53.2224
34.973145 75.035 50.6985
35.156250 75.152 47.7668
35.339355 75.170 44.9500
35.522461 75.140 42.2659
35.705566 75.125 39.6868
35.888672 75.127 36.6716
36.071777 75.088 33.2124
36.254883 74.953 29.3845
36.437988 74.681 25.7800
36.621094 74.322 22.7334
36.804199 73.915 20.3826
36.987305 73.534 18.4177
37.170410 73.147 16.3906
37.353516 72.728 14.2471
37.536621 72.212 12.1357
37.719727 71.630 10.6895
37.902832 71.025 10.0139
38.085938 70.471 10.2625
38.269043 69.984 10.8232
38.452148 69.528 11.7104
38.635254 69.083 12.6860
38.818359 68.642 14.1257
39.001465 68.280 15.6362
39.184570 67.977 17.0115
39.367676 67.731 17.7908
39.550781 67.426 18.3503
39.733887 67.106 19.2927
39.916992 66.791 21.1934
40.100098 66.651 23.9497
40.283203 66.656 26.5728
40.466309 66.742 28.4946
40.649414 66.707 29.6431
40.832520 66.535 31.0903
41.015625 66.285 33.2693
41.198730 66.150 36.4294
41.381836 66.199 39.2595
41.564941 66.358 41.4348
41.748047 66.500 42.9543
41.931152 66.604 45.1833
42.114258 66.802 48.2324
42.297363 67.157 51.6855
42.480469 67.600 54.1672
42.663574 67.894 55.8450
42.846680 67.986 57.5413
43.029785 67.977 60.3850
43.212891 68.195 63.7292
43.395996 68.712 65.3965
43.579102 69.362 63.7329
43.762207 69.838 59.1523
43.945312 70.060 53.5095
44.128418 70.065 48.6169
44.311523 70.082 45.8684
44.494629 70.328 44.6099
44.677734 70.830 43.2441
44.860840 71.362 40.2607
45.043945 71.656 36.0564
45.227051 71.625 31.5867
45.410156 71.317 28.1235
45.593262 70.960 26.1045
45.776367 70.722 24.9861
45.959473 70.666 23.6179
46.142578 70.623 21.4448
46.325684 70.483 19.1099
46.508789 70.203 17.3599
46.691895 69.882 16.6721
46.875000 69.574 16.2129
47.058105 69.215 15.2847
47.241211 68.643 13.5552
47.424316 67.751 12.3337
47.607422 66.663 13.1660
47.790527 65.746 17.3630
47.973633 65.471 23.0115
48.156738 65.736 27.0718
48.339844 66.130 28.6489
48.522949 66.310 29.6245
48.706055 66.335 31.7961
48.889160 66.349 35.6782
49.072266 66.528 40.2124
49.255371 66.749 44.1089
49.438477 66.931 47.4575
49.621582 67.081 50.8008
49.804688 67.443 54.1619
49.987793 68.117 55.8630
50.170898 68.998 54.7495
50.354004 69.826 50.7832
50.537109 70.441 45.4766
50.720215 70.800 40.1726
50.903320 70.963 36.2136
51.086426 71.090 33.7983
51.269531 71.292 32.3206
51.452637 71.590 30.4199
51.635742 71.830 27.3743
51.818848 71.899 23.4028
52.001953 71.736 19.3655
52.185059 71.447 16.3152
52.368164 71.200 14.5706
52.551270 71.175 13.6633
52.734375 71.367 12.2383
52.917480 71.625 9.7681
53.100586 71.784 6.3679
53.283691 71.765 2.9448
53.466797 71.618 0.0461
53.649902 71.424 -2.0344
53.833008 71.298 -3.7402
54.016113 71.236 -5.6533
54.199219 71.214 -8.1733
54.382324 71.140 -11.3101
54.565430 70.991 -14.6865
54.748535 70.731 -18.0032
54.931641 70.396 -20.7678
55.114746 70.031 -22.9521
55.297852 69.712 -24.5549
55.480957 69.480 -26.3250
55.664062 69.283 -28.7073
55.847168 69.027 -31.9688
56.030273 68.604 -35.3398
56.213379 68.059 -37.8157
56.396484 67.539 -38.5686
56.579590 67.317 -38.2571
56.762695 67.397 -38.9050
56.945801 67.561 -41.7327
57.128906 67.486 -46.2979
57.312012 67.077 -50.6431
57.495117 66.454 -53.0073
57.678223 66.013 -52.4668
57.861328 66.107 -51.4431
58.044434 66.596 -52.8469
58.227539 67.069 -57.5920
58.410645 67.238 -63.9868
58.593750 67.119 -70.2527
58.776855 66.863 -74.9946
58.959961 66.768 -78.2285
59.143066 66.942 -81.3450
59.326172 67.309 -85.5027
59.509277 67.644 -90.8403
59.692383 67.861 -96.2532
59.875488 67.987 -101.0032
60.058594 68.147 -104.5862
60.241699 68.465 -107.6716
60.424805 68.949 -110.8943
60.607910 69.568 -114.8628
60.791016 70.241 -119.5098
60.974121 70.956 -124.6865
61.157227 71.669 -130.2041
61.340332 72.376 -135.8528
61.523438 73.045 -141.5449
61.706543 73.685 -147.1030
61.889648 74.303 -152.6919
62.072754 74.902 -158.4211
62.255859 75.467 -164.5728
62.438965 75.959 -171.0845
62.622070 76.366 -177.8120
62.805176 76.684 175.5566
62.988281 76.949 169.1826
63.171387 77.174 163.0161
63.354492 77.362 156.9268
63.537598 77.473 150.8057
63.720703 77.475 144.8989
63.903809 77.371 139.5415
64.086914 77.228 135.1357
64.270020 77.153 131.5674
64.453125 77.207 128.3235
64.636230 77.365 124.7002
64.819336 77.517 120.5134
65.002441 77.578 116.1362
65.185547 77.520 112.1997
65.368652 77.414 109.1753
65.551758 77.354 106.9158
65.734863 77.406 104.8179
65.917969 77.538 102.1047
66.101074 77.675 98.5432
66.284180 77.752 94.2429
66.467285 77.746 89.6223
66.650391 77.670 84.9380
66.833496 77.534 80.3823
67.016602 77.351 75.9780
67.199707 77.104 71.7500
67.382812 76.786 67.7445
67.565918 76.375 64.0032
67.749023 75.869 60.6831
67.932129 75.266 57.9396
68.115234 74.594 56.1465
68.298340 73.923 55.4926
68.481445 73.350 56.0114
68.664551 72.956 57.0718
68.847656 72.721 58.0237
69.030762 72.570 58.4055
69.213867 72.414 58.3933
69.396973 72.246 58.1890
69.580078 72.065 57.8927
69.763184 71.892 57.3530
69.946289 71.684 56.5190
70.129395 71.439 55.6522
70.312500 71.167 55.0410
70.495605 70.943 54.8158
70.678711 70.785 54.5284
70.861816 70.646 53.8956
71.044922 70.422 52.8850
71.228027 70.060 52.2043
71.411133 69.612 52.3159
71.594238 69.185 53.3085
71.777344 68.848 54.2758
71.960449 68.509 54.6067
72.143555 68.049 54.4215
72.326660 67.405 54.8691
72.509766 66.729 56.9570
72.692871 66.219 60.5900
72.875977 65.985 64.3541
73.059082 65.820 67.1948
73.242188 65.543 69.7759
73.425293 65.109 73.4207
73.608398 64.737 78.9373
73.791504 64.575 85.2544
73.974609 64.584 91.3096
74.157715 64.585 97.2129
74.340820 64.664 104.4766
74.523926 65.112 112.8628
74.707031 66.095 120.2490
74.890137 67.344 124.5085
75.073242 68.541 126.1646
75.256348 69.559 126.3774
75.439453 70.433 126.2559
75.622559 71.244 125.9204
75.805664 72.019 125.2881
75.988770 72.754 124.1086
76.171875 73.416 122.5249
76.354980 74.018 120.6917
76.538086 74.569 118.7583
76.721191 75.096 116.7129
76.904297 75.586 114.5103
77.087402 76.032 112.2305
77.270508 76.419 109.9832
77.453613 76.768 107.9355
77.636719 77.098 106.0210
