* Generated by rew_pipeline.py (source UUID 633417b2-a8a9-4810-837e-e85a53922a2f, calibrated to its own SPL at 100 Hz)
* Measurement: LR.filtered.clean-fdw6
* Dated: 2026-Sep-12 16:19:02
* Note: ; Vector average of L.filtered.clean-fdw6, R.filtered.clean-fdw6
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.000000 26.708 0.0000
0.183105 28.570 -34.8911
0.366211 27.072 -60.3111
0.549316 28.105 -103.5899
0.732422 27.841 -124.2402
0.915527 27.365 -169.1322
1.098633 28.486 168.0520
1.281738 26.807 129.4326
1.464844 28.713 98.4010
1.647949 26.929 69.7698
1.831055 28.448 28.9622
2.014160 27.657 7.5247
2.197266 27.798 -38.0787
2.380371 28.453 -58.8885
2.563477 27.111 -100.9999
2.746582 28.910 -128.1288
2.929688 26.957 -160.6107
3.112793 28.873 161.9422
3.295898 27.560 138.7983
3.479004 28.367 93.5617
3.662109 28.468 74.0157
3.845215 27.631 28.8944
4.028320 29.159 5.5350
4.211426 27.202 -31.3902
4.394531 29.376 -64.5847
4.577637 27.579 -90.5836
4.760742 29.071 -134.0910
4.943848 28.535 -153.3599
5.126953 28.376 159.3872
5.310059 29.454 139.3637
5.493164 27.723 97.6555
5.676270 29.953 69.4063
5.859375 27.777 39.2343
6.042480 29.904 -0.9303
6.225586 28.673 -21.2440
6.408691 29.348 -69.2303
6.591797 29.799 -86.7480
6.774902 28.575 -133.0228
6.958008 30.606 -156.0873
7.141113 28.257 168.2680
7.324219 30.866 133.1085
7.507324 28.943 110.0616
7.690430 30.544 63.2845
7.873535 30.219 46.9944
8.056641 29.795 -2.8582
8.239746 31.354 -21.1302
8.422852 29.153 -63.1028
8.605957 31.976 -91.9493
8.789062 29.465 -119.6935
8.972168 31.978 -162.9130
9.155273 30.777 -179.6772
9.338379 31.406 128.6785
9.521484 32.249 114.1719
9.704590 30.599 65.9023
9.887695 33.293 43.9021
10.070801 30.443 9.5204
10.253906 33.709 -27.7240
10.437012 31.615 -47.0400
10.620117 33.468 -98.0163
10.803223 33.418 -110.2485
10.986328 32.731 -163.7070
11.169434 34.967 -179.2648
11.352539 32.186 138.3641
11.535645 35.915 109.0026
11.718750 33.029 84.8477
11.901855 36.175 37.3867
12.084961 35.153 25.7714
12.268066 35.790 -30.9268
12.451172 37.368 -41.0269
12.634277 35.169 -91.5610
12.817383 39.077 -112.1575
13.000488 35.674 -143.0533
13.183594 40.146 175.6661
13.366699 38.263 163.6375
13.549805 40.571 105.6863
13.732910 41.669 100.7492
13.916016 40.557 43.0630
14.099121 44.970 31.7447
14.282227 41.487 -4.4110
14.465332 48.197 -38.7704
14.648438 46.629 -43.3519
14.831543 52.055 -106.0897
15.014648 58.221 -87.5679
15.197754 67.341 -178.7481
15.380859 68.884 96.2156
15.563965 69.794 30.5631
15.747070 70.881 -39.4158
15.930176 71.287 -105.9021
16.113281 72.004 -174.4221
16.296387 72.360 116.5233
16.479492 72.942 45.9053
16.662598 73.205 -25.8317
16.845703 73.543 -96.7888
17.028809 73.695 -167.5443
17.211914 73.909 123.8091
17.395020 74.104 55.2634
17.578125 74.309 -12.0403
17.761230 74.515 -79.9915
17.944336 74.663 -147.4181
18.127441 74.886 144.4679
18.310547 75.112 76.3209
18.493652 75.486 7.3165
18.676758 75.832 -62.2453
18.859863 76.221 -132.2459
19.042969 76.475 157.5907
19.226074 76.671 87.9755
19.409180 76.743 18.7449
19.592285 76.799 -49.5783
19.775391 76.859 -117.9231
19.958496 76.951 173.7529
20.141602 77.040 104.4839
20.324707 77.027 34.8610
20.507812 76.904 -34.9858
20.690918 76.626 -103.8803
20.874023 76.357 -171.3996
21.057129 76.167 122.5335
21.240234 76.221 56.9940
21.423340 76.387 -9.1446
21.606445 76.603 -76.0545
21.789551 76.728 -143.5944
21.972656 76.833 149.0344
22.155762 76.956 81.5744
22.338867 77.162 14.0512
22.521973 77.406 -54.2712
22.705078 77.608 -122.9702
22.888184 77.742 168.0303
23.071289 77.796 99.4126
23.254395 77.856 31.0239
23.437500 77.912 -37.2271
23.620605 77.992 -105.6677
23.803711 78.015 -174.2081
23.986816 78.025 117.5469
24.169922 78.033 49.7278
24.353027 78.134 -17.6617
24.536133 78.305 -85.3448
24.719238 78.495 -153.4879
24.902344 78.607 137.6851
25.085449 78.595 68.7707
25.268555 78.487 -0.1118
25.451660 78.324 -68.6399
25.634766 78.183 -137.1241
25.817871 78.048 154.4180
26.000977 77.952 85.9465
26.184082 77.859 17.6814
26.367188 77.820 -50.2446
26.550293 77.798 -118.0246
26.733398 77.778 174.3067
26.916504 77.672 106.6521
27.099609 77.473 39.5656
27.282715 77.230 -26.8382
27.465820 77.071 -92.5259
27.648926 77.089 -158.6712
27.832031 77.232 133.8625
28.015137 77.383 64.4540
28.198242 77.397 -6.3547
28.381348 77.242 -77.9142
28.564453 76.888 -149.4002
28.747559 76.398 139.7397
28.930664 75.775 69.7345
29.113770 75.071 0.8553
29.296875 74.273 -66.9299
29.479980 73.430 -133.1115
29.663086 72.599 162.2852
29.846191 71.901 99.5614
30.029297 71.444 37.8117
30.212402 71.245 -23.4886
30.395508 71.260 -85.4650
30.578613 71.359 -148.0546
30.761719 71.487 148.5445
30.944824 71.570 84.9700
31.127930 71.671 21.2784
31.311035 71.804 -42.3320
31.494141 72.060 -106.3702
31.677246 72.371 -171.1902
31.860352 72.720 123.0414
32.043457 73.001 56.5645
32.226562 73.235 -10.1034
32.409668 73.400 -76.7578
32.592773 73.554 -143.1054
32.775879 73.693 150.6076
32.958984 73.846 84.5252
33.142090 74.023 18.2753
33.325195 74.243 -48.1239
33.508301 74.504 -115.1768
33.691406 74.757 177.2308
33.874512 74.979 109.1291
34.057617 75.136 41.1114
34.240723 75.295 -26.5650
34.423828 75.485 -93.8569
34.606934 75.759 -161.2109
34.790039 76.041 130.8864
34.973145 76.275 62.3896
35.156250 76.386 -6.5141
35.339355 76.401 -75.3089
35.522461 76.366 -143.9705
35.705566 76.346 147.4663
35.888672 76.344 78.4680
36.071777 76.299 9.0245
36.254883 76.158 -60.7875
36.437988 75.880 -130.3748
36.621094 75.514 160.5956
36.804199 75.100 92.2636
36.987305 74.713 24.3175
37.170410 74.318 -43.6874
37.353516 73.891 -111.8091
37.536621 73.368 -179.8944
37.719727 72.778 112.6850
37.902832 72.165 46.0396
38.085938 71.602 -19.6818
38.269043 71.107 -85.0858
38.452148 70.642 -150.1636
38.635254 70.188 144.8522
38.818359 69.738 80.3326
39.001465 69.368 15.8887
39.184570 69.057 -48.6893
39.367676 68.801 -113.8585
39.550781 68.488 -179.2463
39.733887 68.158 115.7532
39.916992 67.835 51.7126
40.100098 67.688 -11.4687
40.283203 67.685 -74.7820
40.466309 67.762 -138.7922
40.649414 67.720 156.4248
40.832520 67.542 91.9441
41.015625 67.284 28.1962
41.198730 67.143 -34.5688
41.381836 67.185 -97.6630
41.564941 67.338 -161.4102
41.748047 67.475 134.1866
41.931152 67.575 70.4941
42.114258 67.769 7.6214
42.297363 68.120 -54.8472
42.480469 68.559 -118.2878
42.663574 68.849 177.4673
42.846680 68.938 113.2398
43.029785 68.925 50.1593
43.212891 69.140 -12.4217
43.395996 69.654 -76.6808
43.579102 70.302 -144.2721
43.762207 70.776 145.2189
43.945312 70.996 73.6466
44.128418 71.000 2.8231
44.311523 71.014 -65.8564
44.494629 71.258 -133.0475
44.677734 71.759 159.6538
44.860840 72.288 90.7359
45.043945 72.581 20.5971
45.227051 72.547 -49.8090
45.410156 72.238 -119.2077
45.593262 71.878 172.8361
45.776367 71.638 105.7812
45.959473 71.579 38.4749
46.142578 71.534 -29.6352
46.325684 71.393 -97.9090
46.508789 71.110 -165.5970
46.691895 70.787 127.7762
46.875000 70.476 61.3783
47.058105 70.114 -5.4893
47.241211 69.540 -73.1577
47.424316 68.645 -140.3180
47.607422 67.555 154.5750
47.790527 66.634 92.8339
47.973633 66.358 32.5432
48.156738 66.620 -29.3343
48.339844 67.010 -93.6957
48.522949 67.187 -158.6574
48.706055 67.210 137.5760
48.889160 67.220 75.5221
49.072266 67.395 14.1189
49.255371 67.613 -47.9199
49.438477 67.792 -110.5072
49.621582 67.937 -173.0979
49.804688 68.296 124.3279
49.987793 68.967 60.0969
50.170898 69.845 -6.9498
50.354004 70.669 -76.8470
50.537109 71.280 -148.0848
50.720215 71.636 140.6817
50.903320 71.796 70.7932
51.086426 71.919 2.4500
51.269531 72.117 -64.9552
51.452637 72.412 -132.7824
51.635742 72.648 158.2461
51.818848 72.714 88.3499
52.001953 72.547 18.3884
52.185059 72.256 -50.5852
52.368164 72.006 -118.2520
52.551270 71.977 174.9191
52.734375 72.166 107.5726
52.917480 72.421 39.1826
53.100586 72.577 -30.1374
53.283691 72.556 -99.4794
53.466797 72.406 -168.2971
53.649902 72.211 123.7048
53.833008 72.082 56.0809
54.016113 72.018 -11.7484
54.199219 71.994 -80.1858
54.382324 71.919 -149.2388
54.565430 71.767 141.4681
54.748535 71.506 72.2354
54.931641 71.170 3.5540
55.114746 70.804 -64.5464
55.297852 70.483 -132.0658
55.480957 70.251 160.2476
55.664062 70.053 91.9493
55.847168 69.797 22.7705
56.030273 69.373 -46.5170
56.213379 68.828 -114.9108
56.396484 68.307 178.4191
56.579590 68.085 112.8109
56.762695 68.166 46.2449
56.945801 68.330 -22.5036
57.128906 68.255 -92.9885
57.312012 67.847 -163.2556
57.495117 67.224 128.4585
57.678223 66.783 63.0756
57.861328 66.878 -1.8236
58.044434 67.368 -69.1520
58.227539 67.842 -139.8222
58.410645 68.012 147.8571
58.593750 67.895 75.6641
58.776855 67.639 4.9944
58.959961 67.546 -64.1685
59.143066 67.720 -133.2141
59.326172 68.088 156.6978
59.509277 68.424 85.4289
59.692383 68.641 14.0846
59.875488 68.768 -56.5985
60.058594 68.930 -126.1144
60.241699 69.248 164.8657
60.424805 69.734 95.7092
60.607910 70.353 25.8049
60.791016 71.027 -44.7775
60.974121 71.743 -115.8912
61.157227 72.456 172.6548
61.340332 73.164 101.0681
61.523438 73.833 29.4385
61.706543 74.474 -42.0587
61.889648 75.092 -113.5862
62.072754 75.692 174.7451
62.255859 76.258 102.6539
62.438965 76.750 30.2016
62.622070 77.158 -42.4664
62.805176 77.475 -115.0390
62.988281 77.740 172.6456
63.171387 77.966 100.5373
63.354492 78.155 28.5058
63.537598 78.265 -43.5583
63.720703 78.267 -115.4079
63.903809 78.164 173.2911
64.086914 78.020 102.9414
64.270020 77.945 33.4283
64.453125 77.998 -35.7602
64.636230 78.157 -105.3290
64.819336 78.308 -175.4612
65.002441 78.369 114.2150
65.185547 78.310 44.3321
65.368652 78.204 -24.6396
65.551758 78.144 -92.8462
65.734863 78.194 -160.8925
65.917969 78.326 130.4462
66.101074 78.463 60.9354
66.284180 78.539 -9.3140
66.467285 78.531 -79.8845
66.650391 78.453 -150.5188
66.833496 78.316 138.9750
67.016602 78.133 68.6198
67.199707 77.883 -1.5594
67.382812 77.563 -71.5161
67.565918 77.151 -141.2089
67.749023 76.644 149.5195
67.932129 76.038 80.8244
68.115234 75.364 13.0795
68.298340 74.689 -53.5262
68.481445 74.114 -118.9590
68.664551 73.717 176.1496
68.847656 73.480 111.1503
69.030762 73.326 45.5808
69.213867 73.166 -20.3824
69.396973 72.995 -86.5374
69.580078 72.810 -152.7835
69.763184 72.633 140.7271
69.946289 72.421 73.9443
70.129395 72.172 7.1292
70.312500 71.896 -59.4296
70.495605 71.668 -125.6014
70.678711 71.505 168.1651
70.861816 71.362 101.5874
71.044922 71.133 34.6322
71.228027 70.766 -31.9913
71.411133 70.313 -97.8227
71.594238 69.881 -162.7707
71.777344 69.539 132.2554
71.960449 69.195 66.6479
72.143555 68.730 0.5236
72.326660 68.080 -64.9650
72.509766 67.399 -128.8144
72.692871 66.884 168.8847
72.875977 66.645 106.7134
73.059082 66.474 43.6223
73.242188 66.192 -19.7300
73.425293 65.753 -82.0151
73.608398 65.376 -142.4297
73.791504 65.208 157.9595
73.974609 65.212 98.0856
74.157715 65.207 38.0628
74.340820 65.280 -20.6006
74.523926 65.724 -78.1389
74.707031 66.702 -136.6780
74.890137 67.945 161.6584
75.073242 69.137 97.3911
75.256348 70.150 31.6822
75.439453 71.019 -34.3612
75.622559 71.824 -100.6173
75.805664 72.594 -167.1699
75.988770 73.325 125.7310
76.171875 73.982 58.2284
76.354980 74.579 -9.5229
76.538086 75.125 -77.3738
76.721191 75.648 -145.3364
76.904297 76.133 146.5445
77.087402 76.575 78.3484
77.270508 76.958 10.1855
77.453613 77.303 -57.7771
77.636719 77.628 -125.6067
77.819824 77.955 166.6083
78.002930 78.283 98.6475
78.186035 78.601 30.4579
78.369141 78.902 -38.0237
78.552246 79.173 -106.7288
78.735352 79.412 -175.6356
78.918457 79.601 115.3444
79.101562 79.736 46.3369
79.284668 79.810 -22.4828
79.467773 79.850 -90.9756
79.650879 79.878 -159.1801
79.833984 79.918 132.7839
80.017090 79.965 64.6865
80.200195 80.001 -3.5338
80.383301 80.006 -71.8463
80.566406 79.977 -140.0398
80.749512 79.941 151.9594
80.932617 79.916 84.1376
81.115723 79.917 16.3205
81.298828 79.923 -51.6207
81.481934 79.914 -119.7290
81.665039 79.863 172.0969
81.848145 79.777 104.0109
82.031250 79.666 36.0693
82.214355 79.553 -31.7234
82.397461 79.438 -99.4781
82.580566 79.317 -167.2025
82.763672 79.176 125.1041
82.946777 79.015 57.5806
83.129883 78.850 -9.7620
83.312988 78.695 -76.9593
83.496094 78.556 -144.2233
83.679199 78.409 148.3112
83.862305 78.226 80.6182
84.045410 77.973 12.8782
84.228516 77.655 -54.6380
84.411621 77.287 -121.7233
84.594727 76.905 171.7379
84.777832 76.521 105.7107
84.960938 76.150 40.2698
85.144043 75.807 -24.5351
85.327148 75.543 -88.6191
85.510254 75.417 -152.3219
85.693359 75.450 143.8414
85.876465 75.599 79.2959
86.059570 75.789 13.9697
86.242676 75.979 -52.0110
86.425781 76.153 -118.4026
86.608887 76.321 174.8229
86.791992 76.461 107.6797
86.975098 76.553 40.2428
87.158203 76.573 -27.2577
87.341309 76.544 -94.5682
87.524414 76.494 -161.6582
87.707520 76.456 131.3384
87.890625 76.416 64.1777
88.073730 76.354 -3.1012
88.256836 76.262 -70.3902
88.439941 76.172 -137.5603
88.623047 76.115 155.1136
88.806152 76.068 87.2998
88.989258 75.963 18.7949
89.172363 75.717 -50.0709
89.355469 75.320 -118.7092
89.538574 74.823 173.4300
89.721680 74.334 106.3993
89.904785 73.899 39.6923
90.087891 73.472 -27.1013
90.270996 72.942 -93.7505
90.454102 72.288 -159.1714
90.637207 71.653 137.5520
90.820312 71.303 76.1548
91.003418 71.338 14.5340
91.186523 71.547 -48.8668
91.369629 71.650 -113.9422
91.552734 71.530 -179.3443
91.735840 71.267 115.9260
91.918945 71.010 52.1154
92.102051 70.862 -11.5499
92.285156 70.766 -75.6968
92.468262 70.643 -140.2871
92.651367 70.457 155.3390
92.834473 70.303 91.6428
93.017578 70.270 28.4570
93.200684 70.409 -34.8335
93.383789 70.655 -98.7745
93.566895 70.945 -163.3931
93.750000 71.223 131.4433
93.933105 71.488 66.0172
94.116211 71.741 0.3645
94.299316 71.997 -65.4318
94.482422 72.255 -131.5505
94.665527 72.496 161.9798
94.848633 72.686 95.0748
95.031738 72.784 27.9945
95.214844 72.790 -38.9915
95.397949 72.730 -105.5682
95.581055 72.665 -171.7615
