* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 12, 2026, 4:18:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of LX.clean-fdw6 Cal file effects included LF tail from 16 Hz at 12 dB/octave No HF tail
* Measurement: LX-MP.clean-fdw6
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 2.333 173.4237
0.732422 14.591 173.8187
1.098633 21.553 173.2802
1.464844 26.470 172.8602
1.831055 30.323 172.4382
2.197265 33.512 171.7689
2.563476 36.220 170.7949
2.929687 38.552 169.6462
3.295898 40.590 168.4908
3.662109 42.407 167.4076
4.028320 44.058 166.3634
4.394531 45.572 165.2925
4.760742 46.965 164.1762
5.126953 48.252 163.0479
5.493164 49.449 161.9365
5.859375 50.575 160.8246
6.225585 51.635 159.6698
6.591796 52.630 158.4654
6.958007 53.561 157.2668
7.324218 54.438 156.1422
7.690429 55.280 155.0967
8.056640 56.099 154.0475
8.422851 56.891 152.8941
8.789062 57.642 151.6227
9.155273 58.340 150.3387
9.521484 58.995 149.1833
9.887695 59.632 148.1999
10.253905 60.273 147.2729
10.620116 60.915 146.2180
10.986327 61.531 144.9586
11.352538 62.096 143.6174
11.718749 62.609 142.4299
12.084960 63.105 141.5430
12.451171 63.622 140.8588
12.817382 64.170 140.0924
13.183593 64.712 139.0410
13.549804 65.198 137.8197
13.916015 65.609 136.8472
14.282225 65.992 136.5757
14.648436 66.448 137.0965
15.014647 67.069 137.8974
15.380858 67.857 138.1301
15.747069 68.724 137.2296
16.113280 69.562 135.2157
16.479491 70.308 132.4933
16.845702 70.957 129.5090
17.211913 71.544 126.5162
17.578124 72.106 123.5085
17.944335 72.655 120.3191
18.310545 73.178 116.8030
18.676756 73.644 112.9621
19.042967 74.034 108.9395
19.409178 74.349 104.9247
19.775389 74.604 101.0490
20.141600 74.820 97.3342
20.507811 75.012 93.7147
20.874022 75.177 90.1123
21.240233 75.307 86.5038
21.606444 75.395 82.9333
21.972654 75.441 79.4718
22.338865 75.452 76.1646
22.705076 75.437 73.0055
23.071287 75.400 69.9559
23.437498 75.336 66.9894
23.803709 75.238 64.1237
24.169920 75.103 61.4168
24.536131 74.933 58.9345
24.902342 74.738 56.7183
25.268553 74.523 54.7776
25.634764 74.293 53.1092
26.000974 74.050 51.7267
26.367185 73.796 50.6701
26.733396 73.540 49.9893
27.099607 73.295 49.7130
27.465818 73.077 49.8291
27.832029 72.900 50.2870
28.198240 72.775 51.0148
28.564451 72.710 51.9297
28.930662 72.711 52.9353
29.296873 72.781 53.9160
29.663084 72.916 54.7479
30.029294 73.105 55.3230
30.395505 73.333 55.5709
30.761716 73.584 55.4626
31.127927 73.844 55.0004
31.494138 74.102 54.2048
31.860349 74.349 53.1056
32.226560 74.576 51.7378
32.592771 74.780 50.1395
32.958982 74.955 48.3484
33.325193 75.098 46.4001
33.691404 75.208 44.3281
34.057614 75.282 42.1658
34.423825 75.319 39.9474
34.790036 75.317 37.7087
35.156247 75.278 35.4849
35.522458 75.200 33.3095
35.888669 75.086 31.2147
36.254880 74.937 29.2320
36.621091 74.753 27.3940
36.987302 74.538 25.7338
37.353513 74.295 24.2843
37.719724 74.027 23.0771
38.085934 73.739 22.1412
38.452145 73.437 21.5036
38.818356 73.127 21.1880
39.184567 72.817 21.2126
39.550778 72.516 21.5875
39.916989 72.233 22.3109
40.283200 71.978 23.3673
40.649411 71.762 24.7263
41.015622 71.592 26.3411
41.381833 71.478 28.1505
41.748044 71.424 30.0807
42.114254 71.432 32.0520
42.480465 71.501 33.9846
42.846676 71.629 35.8049
43.212887 71.810 37.4487
43.579098 72.036 38.8635
43.945309 72.301 40.0099
44.311520 72.594 40.8624
44.677731 72.909 41.4079
45.043942 73.237 41.6436
45.410153 73.571 41.5741
45.776363 73.905 41.2091
46.142574 74.233 40.5629
46.508785 74.551 39.6527
46.874996 74.855 38.4984
47.241207 75.141 37.1207
47.607418 75.406 35.5411
47.973629 75.649 33.7803
48.339840 75.867 31.8587
48.706051 76.060 29.7961
49.072262 76.225 27.6115
49.438473 76.363 25.3233
49.804683 76.472 22.9491
50.170894 76.553 20.5057
50.537105 76.605 18.0091
50.903316 76.628 15.4744
51.269527 76.623 12.9152
51.635738 76.589 10.3442
52.001949 76.527 7.7731
52.368160 76.437 5.2130
52.734371 76.320 2.6745
53.100582 76.176 0.1679
53.466793 76.005 -2.2972
53.833003 75.808 -4.7123
54.199214 75.585 -7.0692
54.565425 75.336 -9.3597
54.931636 75.061 -11.5755
55.297847 74.761 -13.7079
55.664058 74.436 -15.7475
56.030269 74.084 -17.6848
56.396480 73.708 -19.5098
56.762691 73.305 -21.2115
57.128902 72.877 -22.7772
57.495113 72.423 -24.1926
57.861323 71.942 -25.4408
58.227534 71.435 -26.5028
58.593745 70.901 -27.3572
58.959956 70.342 -27.9793
59.326167 69.757 -28.3408
59.692378 69.148 -28.4095
60.058589 68.517 -28.1481
60.424800 67.865 -27.5147
60.791011 67.198 -26.4624
61.157222 66.521 -24.9400
61.523433 65.842 -22.8940
61.889643 65.174 -20.2727
62.255854 64.532 -17.0347
62.622065 63.936 -13.1624
62.988276 63.412 -8.6814
63.354487 62.983 -3.6786
63.720698 62.671 1.6914
64.086909 62.485 7.2234
64.453120 62.426 12.6996
64.819331 62.478 17.9332
65.185542 62.623 22.7960
65.551753 62.836 27.2223
65.917963 63.099 31.1964
66.284174 63.393 34.7349
66.650385 63.707 37.8717
67.016596 64.029 40.6487
67.382807 64.354 43.1098
67.749018 64.676 45.2989
68.115229 64.991 47.2583
68.481440 65.297 49.0275
68.847651 65.594 50.6426
69.213862 65.882 52.1353
69.580072 66.162 53.5328
69.946283 66.435 54.8572
70.312494 66.703 56.1263
70.678705 66.968 57.3531
71.044916 67.233 58.5459
71.411127 67.500 59.7082
71.777338 67.771 60.8390
72.143549 68.048 61.9338
72.509760 68.332 62.9848
72.875971 68.625 63.9824
73.242182 68.927 64.9152
73.608392 69.238 65.7716
73.974603 69.558 66.5398
74.340814 69.886 67.2088
74.707025 70.222 67.7690
75.073236 70.563 68.2124
75.439447 70.908 68.5326
75.805658 71.256 68.7255
76.171869 71.605 68.7886
76.538080 71.952 68.7213
76.904291 72.297 68.5245
77.270502 72.638 68.2003
77.636712 72.973 67.7519
78.002923 73.301 67.1837
78.369134 73.620 66.5010
78.735345 73.930 65.7101
79.101556 74.228 64.8177
79.467767 74.515 63.8313
79.833978 74.789 62.7582
80.200189 75.050 61.6063
80.566400 75.297 60.3833
80.932611 75.530 59.0971
81.298822 75.748 57.7554
81.665032 75.952 56.3659
82.031243 76.141 54.9360
82.397454 76.315 53.4729
82.763665 76.474 51.9835
83.129876 76.618 50.4745
83.496087 76.748 48.9525
83.862298 76.864 47.4237
84.228509 76.966 45.8939
84.594720 77.054 44.3686
84.960931 77.128 42.8528
85.327142 77.190 41.3512
85.693352 77.240 39.8682
86.059563 77.278 38.4080
86.425774 77.304 36.9745
86.791985 77.319 35.5716
87.158196 77.323 34.2026
87.524407 77.318 32.8706
87.890618 77.303 31.5784
88.256829 77.279 30.3287
88.623040 77.246 29.1241
88.989251 77.206 27.9669
89.355462 77.158 26.8593
89.721672 77.104 25.8033
90.087883 77.043 24.8004
90.454094 76.977 23.8525
90.820305 76.905 22.9609
91.186516 76.829 22.1274
91.552727 76.749 21.3535
91.918938 76.665 20.6402
92.285149 76.579 19.9884
92.651360 76.491 19.3986
93.017571 76.401 18.8709
93.383781 76.311 18.4054
93.749992 76.221 18.0019
94.116203 76.132 17.6598
94.482414 76.044 17.3782
94.848625 75.959 17.1555
95.214836 75.876 16.9896
95.581047 75.798 16.8777
95.947258 75.724 16.8170
96.313469 75.654 16.8040
96.679680 75.591 16.8351
97.045891 75.533 16.9062
97.412101 75.482 17.0127
97.778312 75.439 17.1492
98.144523 75.402 17.3103
98.510734 75.373 17.4902
98.876945 75.351 17.6835
99.243156 75.337 17.8852
99.609367 75.330 18.0901
99.975578 75.330 18.2935
100.341789 75.337 18.4906
100.708000 75.351 18.6769
101.074211 75.371 18.8482
101.440421 75.396 19.0012
101.806632 75.427 19.1328
102.172843 75.462 19.2409
102.539054 75.501 19.3238
102.905265 75.543 19.3801
103.271476 75.589 19.4089
103.637687 75.637 19.4092
104.003898 75.687 19.3808
104.370109 75.738 19.3237
104.736320 75.790 19.2386
105.102531 75.843 19.1264
105.468741 75.896 18.9885
105.834952 75.949 18.8262
106.201163 76.001 18.6407
106.567374 76.053 18.4333
106.933585 76.103 18.2052
107.299796 76.153 17.9578
107.666007 76.201 17.6924
108.032218 76.248 17.4106
108.398429 76.294 17.1138
108.764640 76.337 16.8035
109.130851 76.380 16.4809
109.497061 76.420 16.1472
109.863272 76.459 15.8034
110.229483 76.496 15.4504
110.595694 76.532 15.0891
110.961905 76.566 14.7203
111.328116 76.598 14.3447
111.694327 76.628 13.9633
112.060538 76.657 13.5767
112.426749 76.684 13.1855
112.792960 76.709 12.7906
113.159171 76.733 12.3926
113.525381 76.755 11.9920
113.891592 76.776 11.5893
114.257803 76.794 11.1849
114.624014 76.812 10.7792
114.990225 76.828 10.3727
115.356436 76.842 9.9659
115.722647 76.855 9.5592
116.088858 76.866 9.1532
116.455069 76.876 8.7484
116.821280 76.885 8.3452
117.187490 76.892 7.9438
117.553701 76.898 7.5448
117.919912 76.903 7.1484
118.286123 76.907 6.7548
118.652334 76.909 6.3644
119.018545 76.911 5.9774
119.384756 76.911 5.5939
119.750967 76.911 5.2140
120.117178 76.909 4.8380
120.483389 76.907 4.4659
120.849600 76.903 4.0979
121.215810 76.899 3.7342
121.582021 76.894 3.3749
121.948232 76.889 3.0201
122.314443 76.882 2.6700
122.680654 76.876 2.3245
123.046865 76.868 1.9837
123.413076 76.860 1.6475
123.779287 76.852 1.3158
124.145498 76.843 0.9885
124.511709 76.833 0.6657
124.877920 76.824 0.3476
125.244130 76.813 0.0343
125.610341 76.803 -0.2742
125.976552 76.792 -0.5780
126.342763 76.781 -0.8771
126.708974 76.770 -1.1718
127.075185 76.759 -1.4622
127.441396 76.748 -1.7482
127.807607 76.736 -2.0299
128.173818 76.725 -2.3075
128.540029 76.713 -2.5810
128.906240 76.702 -2.8505
129.272450 76.691 -3.1164
129.638661 76.679 -3.3786
130.004872 76.668 -3.6375
130.371083 76.657 -3.8931
130.737294 76.647 -4.1459
131.103505 76.636 -4.3962
131.469716 76.626 -4.6444
131.835927 76.616 -4.8907
132.202138 76.607 -5.1356
132.568349 76.597 -5.3791
132.934560 76.588 -5.6216
133.300770 76.580 -5.8633
133.666981 76.571 -6.1046
134.033192 76.563 -6.3458
134.399403 76.555 -6.5871
134.765614 76.548 -6.8289
135.131825 76.540 -7.0712
135.498036 76.533 -7.3145
135.864247 76.526 -7.5588
136.230458 76.519 -7.8044
136.596669 76.513 -8.0515
136.962880 76.506 -8.3003
137.329090 76.500 -8.5508
137.695301 76.493 -8.8032
138.061512 76.487 -9.0576
138.427723 76.480 -9.3141
138.793934 76.474 -9.5728
139.160145 76.467 -9.8337
139.526356 76.461 -10.0969
139.892567 76.454 -10.3623
140.258778 76.447 -10.6301
140.624989 76.440 -10.9002
140.991199 76.433 -11.1727
141.357410 76.425 -11.4475
141.723621 76.418 -11.7245
142.089832 76.410 -12.0039
142.456043 76.401 -12.2855
142.822254 76.393 -12.5694
143.188465 76.384 -12.8555
143.554676 76.374 -13.1437
143.920887 76.365 -13.4340
144.287098 76.354 -13.7264
144.653309 76.344 -14.0208
145.019519 76.333 -14.3173
145.385730 76.322 -14.6160
145.751941 76.310 -14.9171
146.118152 76.298 -15.2205
146.484363 76.285 -15.5260
146.850574 76.272 -15.8335
147.216785 76.258 -16.1426
147.582996 76.243 -16.4533
147.949207 76.228 -16.7655
148.315418 76.212 -17.0793
148.681629 76.196 -17.3948
149.047839 76.179 -17.7121
149.414050 76.162 -18.0313
149.780261 76.144 -18.3523
150.146472 76.125 -18.6750
150.512683 76.106 -18.9994
150.878894 76.085 -19.3255
