* Measurement data measured by REW V5.40 beta 133
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Sep 12, 2026, 4:18:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = L-SP.clean-fdw6 B = X801 
* Measurement: LX.clean-fdw6
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 37.441 -102.1087
2.563477 37.570 -89.1611
2.929687 37.661 -76.3946
3.295898 37.742 -63.2904
3.662109 37.898 -50.0535
4.028320 38.091 -37.3724
4.394531 38.180 -25.0152
4.760742 38.172 -11.6889
5.126953 38.328 2.9725
5.493164 38.793 16.8959
5.859375 39.244 28.3686
6.225586 39.285 39.0568
6.591797 39.004 52.6755
6.958007 39.145 70.1700
7.324218 40.076 85.7131
7.690429 40.947 95.6551
8.056640 40.989 103.8032
8.422851 40.310 117.1094
8.789062 40.327 138.5992
9.155273 41.882 156.5648
9.521484 43.285 164.8081
9.887695 43.397 170.1638
10.253906 42.304 -177.2643
10.620117 42.163 -150.8035
10.986327 44.524 -130.1865
11.352538 46.503 -123.7843
11.718749 46.736 -120.8187
12.084960 45.288 -108.3571
12.451171 45.240 -75.1939
12.817382 48.770 -52.9317
13.183593 51.382 -48.8278
13.549804 51.752 -47.4458
13.916015 49.852 -30.7410
14.282226 51.732 18.0223
14.648436 58.244 35.8885
15.014647 63.003 33.7665
15.380858 66.201 26.7341
15.747069 68.317 18.9470
16.113280 69.654 12.1531
16.479491 70.459 7.3704
16.845702 70.980 5.0536
17.211913 71.456 4.8433
17.578124 72.022 5.6124
17.944335 72.652 6.2342
18.310546 73.236 6.3234
18.676756 73.698 6.1731
19.042967 74.039 6.2449
19.409178 74.310 6.7608
19.775389 74.564 7.5913
20.141600 74.814 8.4357
20.507811 75.038 9.1005
20.874022 75.207 9.6140
21.240233 75.314 10.1240
21.606444 75.378 10.7283
21.972655 75.419 11.3885
22.338866 75.445 11.9780
22.705076 75.448 12.3947
23.071287 75.416 12.6273
23.437498 75.342 12.7311
23.803709 75.231 12.7595
24.169920 75.091 12.7205
24.536131 74.928 12.5881
24.902342 74.742 12.3441
25.268553 74.531 12.0060
25.634764 74.297 11.6218
26.000975 74.048 11.2452
26.367186 73.791 10.9189
26.733396 73.538 10.6780
27.099607 73.297 10.5609
27.465818 73.080 10.6089
27.832029 72.901 10.8512
28.198240 72.773 11.2876
28.564451 72.708 11.8848
28.930662 72.711 12.5874
29.296873 72.782 13.3323
29.663084 72.917 14.0571
30.029295 73.104 14.7050
30.395506 73.332 15.2339
30.761716 73.584 15.6266
31.127927 73.845 15.8924
31.494138 74.103 16.0581
31.860349 74.348 16.1533
32.226560 74.576 16.2006
32.592771 74.779 16.2147
32.958982 74.955 16.2074
33.325193 75.099 16.1901
33.691404 75.208 16.1733
34.057615 75.282 16.1643
34.423826 75.318 16.1660
34.790036 75.317 16.1801
35.156247 75.278 16.2090
35.522458 75.201 16.2567
35.888669 75.086 16.3257
36.254880 74.937 16.4165
36.621091 74.753 16.5275
36.987302 74.539 16.6580
37.353513 74.295 16.8095
37.719724 74.027 16.9850
38.085935 73.739 17.1863
38.452145 73.437 17.4136
38.818356 73.127 17.6664
39.184567 72.817 17.9448
39.550778 72.516 18.2504
39.916989 72.233 18.5825
40.283200 71.978 18.9361
40.649411 71.761 19.3009
41.015622 71.593 19.6635
41.381833 71.478 20.0096
41.748044 71.424 20.3263
42.114255 71.432 20.6021
42.480465 71.501 20.8286
42.846676 71.629 21.0027
43.212887 71.810 21.1274
43.579098 72.036 21.2114
43.945309 72.301 21.2660
44.311520 72.594 21.3030
44.677731 72.909 21.3331
45.043942 73.237 21.3661
45.410153 73.571 21.4099
45.776364 73.905 21.4697
46.142575 74.233 21.5480
46.508785 74.551 21.6449
46.874996 74.855 21.7595
47.241207 75.141 21.8907
47.607418 75.406 22.0376
47.973629 75.649 22.1986
48.339840 75.867 22.3717
48.706051 76.060 22.5541
49.072262 76.225 22.7438
49.438473 76.363 22.9397
49.804684 76.472 23.1412
50.170895 76.553 23.3481
50.537105 76.605 23.5603
50.903316 76.628 23.7773
51.269527 76.623 23.9987
51.635738 76.589 24.2239
52.001949 76.527 24.4527
52.368160 76.437 24.6841
52.734371 76.320 24.9175
53.100582 76.176 25.1524
53.466793 76.005 25.3878
53.833004 75.808 25.6224
54.199215 75.585 25.8541
54.565425 75.336 26.0801
54.931636 75.061 26.2978
55.297847 74.761 26.5050
55.664058 74.436 26.6993
56.030269 74.084 26.8783
56.396480 73.708 27.0381
56.762691 73.305 27.1750
57.128902 72.877 27.2854
57.495113 72.423 27.3667
57.861324 71.942 27.4171
58.227535 71.435 27.4353
58.593745 70.901 27.4208
58.959956 70.342 27.3738
59.326167 69.757 27.2974
59.692378 69.148 27.1980
60.058589 68.517 27.0866
60.424800 67.865 26.9791
60.791011 67.198 26.8978
61.157222 66.521 26.8726
61.523433 65.842 26.9414
61.889644 65.174 27.1489
62.255854 64.532 27.5409
62.622065 63.936 28.1520
62.988276 63.412 28.9889
63.354487 62.983 30.0137
63.720698 62.670 31.1378
64.086909 62.485 32.2352
64.453120 62.426 33.1762
64.819331 62.478 33.8646
65.185542 62.623 34.2594
65.551753 62.836 34.3738
65.917964 63.099 34.2576
66.284174 63.393 33.9760
66.650385 63.707 33.5938
67.016596 64.029 33.1675
67.382807 64.354 32.7424
67.749018 64.676 32.3533
68.115229 64.991 32.0242
68.481440 65.297 31.7711
68.847651 65.594 31.6028
69.213862 65.882 31.5231
69.580073 66.162 31.5311
69.946284 66.435 31.6229
70.312494 66.703 31.7915
70.678705 66.968 32.0280
71.044916 67.233 32.3215
71.411127 67.500 32.6609
71.777338 67.771 33.0334
72.143549 68.048 33.4264
72.509760 68.332 33.8270
72.875971 68.625 34.2234
73.242182 68.927 34.6055
73.608393 69.238 34.9650
73.974604 69.558 35.2961
74.340814 69.886 35.5945
74.707025 70.222 35.8585
75.073236 70.563 36.0883
75.439447 70.908 36.2859
75.805658 71.256 36.4552
76.171869 71.605 36.6006
76.538080 71.952 36.7271
76.904291 72.297 36.8396
77.270502 72.638 36.9432
77.636713 72.973 37.0424
78.002924 73.301 37.1407
78.369134 73.620 37.2418
78.735345 73.930 37.3481
79.101556 74.228 37.4620
79.467767 74.515 37.5851
79.833978 74.789 37.7186
80.200189 75.050 37.8628
80.566400 75.297 38.0176
80.932611 75.530 38.1825
81.298822 75.748 38.3568
81.665033 75.952 38.5398
82.031244 76.141 38.7303
82.397454 76.315 38.9271
82.763665 76.474 39.1287
83.129876 76.618 39.3338
83.496087 76.748 39.5413
83.862298 76.864 39.7501
84.228509 76.966 39.9592
84.594720 77.054 40.1675
84.960931 77.128 40.3740
85.327142 77.190 40.5776
85.693353 77.240 40.7778
86.059563 77.278 40.9740
86.425774 77.304 41.1661
86.791985 77.319 41.3539
87.158196 77.323 41.5374
87.524407 77.318 41.7167
87.890618 77.303 41.8920
88.256829 77.279 42.0636
88.623040 77.246 42.2321
88.989251 77.206 42.3980
89.355462 77.158 42.5620
89.721673 77.104 42.7247
90.087883 77.043 42.8867
90.454094 76.977 43.0483
90.820305 76.905 43.2104
91.186516 76.829 43.3737
91.552727 76.749 43.5389
91.918938 76.665 43.7067
92.285149 76.579 43.8773
92.651360 76.491 44.0509
93.017571 76.401 44.2274
93.383782 76.311 44.4069
93.749993 76.221 44.5892
94.116203 76.132 44.7747
94.482414 76.044 44.9630
94.848625 75.959 45.1536
95.214836 75.876 45.3459
95.581047 75.798 45.5394
95.947258 75.724 45.7335
96.313469 75.654 45.9277
96.679680 75.591 46.1218
97.045891 75.533 46.3155
97.412102 75.482 46.5082
97.778313 75.439 46.6994
98.144523 75.402 46.8884
98.510734 75.373 47.0748
98.876945 75.351 47.2585
99.243156 75.337 47.4396
99.609367 75.330 47.6186
99.975578 75.330 47.7959
100.341789 75.337 47.9717
100.708000 75.351 48.1461
101.074211 75.371 48.3195
101.440422 75.396 48.4921
101.806633 75.427 48.6644
102.172843 75.462 48.8372
102.539054 75.501 49.0109
102.905265 75.543 49.1859
103.271476 75.589 49.3625
103.637687 75.637 49.5405
104.003898 75.687 49.7197
104.370109 75.738 49.9001
104.736320 75.790 50.0818
105.102531 75.843 50.2649
105.468742 75.896 50.4493
105.834953 75.949 50.6351
106.201163 76.001 50.8223
106.567374 76.053 51.0101
106.933585 76.103 51.1982
107.299796 76.153 51.3865
107.666007 76.201 51.5745
108.032218 76.248 51.7621
108.398429 76.294 51.9492
108.764640 76.337 52.1360
109.130851 76.380 52.3223
109.497062 76.420 52.5079
109.863272 76.459 52.6931
110.229483 76.496 52.8776
110.595694 76.532 53.0613
110.961905 76.566 53.2443
111.328116 76.598 53.4268
111.694327 76.628 53.6086
112.060538 76.657 53.7904
112.426749 76.684 53.9720
112.792960 76.709 54.1537
113.159171 76.733 54.3356
113.525382 76.755 54.5178
113.891592 76.776 54.7005
114.257803 76.794 54.8835
114.624014 76.812 55.0669
114.990225 76.828 55.2505
115.356436 76.842 55.4346
115.722647 76.855 55.6189
116.088858 76.866 55.8036
116.455069 76.876 55.9889
116.821280 76.885 56.1745
117.187491 76.892 56.3605
117.553702 76.898 56.5466
117.919912 76.903 56.7332
118.286123 76.907 56.9197
118.652334 76.909 57.1064
119.018545 76.911 57.2931
119.384756 76.911 57.4796
119.750967 76.911 57.6659
120.117178 76.909 57.8520
120.483389 76.907 58.0379
120.849600 76.903 58.2236
121.215811 76.899 58.4092
121.582022 76.894 58.5947
121.948232 76.889 58.7804
122.314443 76.882 58.9661
122.680654 76.876 59.1519
123.046865 76.868 59.3380
123.413076 76.860 59.5241
123.779287 76.852 59.7102
124.145498 76.843 59.8962
124.511709 76.833 60.0823
124.877920 76.824 60.2684
125.244131 76.813 60.4550
125.610342 76.803 60.6420
125.976552 76.792 60.8292
126.342763 76.781 61.0166
126.708974 76.770 61.2041
127.075185 76.759 61.3915
127.441396 76.748 61.5790
127.807607 76.736 61.7666
128.173818 76.725 61.9542
128.540029 76.713 62.1420
128.906240 76.702 62.3298
129.272451 76.691 62.5175
129.638662 76.679 62.7054
130.004872 76.668 62.8934
130.371083 76.657 63.0815
130.737294 76.647 63.2698
131.103505 76.636 63.4579
131.469716 76.626 63.6460
131.835927 76.616 63.8339
132.202138 76.607 64.0217
132.568349 76.597 64.2097
132.934560 76.588 64.3977
133.300771 76.580 64.5858
133.666981 76.571 64.7740
134.033192 76.563 64.9623
134.399403 76.555 65.1507
134.765614 76.548 65.3392
135.131825 76.540 65.5279
135.498036 76.533 65.7167
135.864247 76.526 65.9057
136.230458 76.519 66.0948
136.596669 76.513 66.2841
136.962880 76.506 66.4734
137.329091 76.500 66.6628
137.695301 76.493 66.8524
138.061512 76.487 67.0421
138.427723 76.480 67.2318
138.793934 76.474 67.4216
139.160145 76.467 67.6116
139.526356 76.461 67.8015
139.892567 76.454 67.9916
140.258778 76.447 68.1817
140.624989 76.440 68.3718
140.991200 76.433 68.5621
141.357411 76.425 68.7524
141.723621 76.418 68.9427
142.089832 76.410 69.1332
142.456043 76.401 69.3238
142.822254 76.393 69.5144
143.188465 76.384 69.7051
143.554676 76.374 69.8959
143.920887 76.365 70.0868
144.287098 76.354 70.2780
144.653309 76.344 70.4692
145.019520 76.333 70.6605
145.385731 76.322 70.8517
145.751941 76.310 71.0425
146.118152 76.298 71.2332
146.484363 76.285 71.4236
146.850574 76.272 71.6141
147.216785 76.258 71.8048
147.582996 76.243 71.9960
147.949207 76.228 72.1876
148.315418 76.212 72.3794
148.681629 76.196 72.5714
149.047840 76.179 72.7634
149.414051 76.162 72.9553
149.780261 76.144 73.1473
150.146472 76.125 73.3394
150.512683 76.106 73.5314
150.878894 76.085 73.7236
151.245105 76.064 73.9158
151.611316 76.042 74.1080
151.977527 76.020 74.3004
152.343738 75.996 74.4927
152.709949 75.972 74.6852
153.076160 75.947 74.8778
153.442371 75.920 75.0706
153.808581 75.893 75.2634
154.174792 75.865 75.4567
154.541003 75.835 75.6502
154.907214 75.805 75.8440
