* Measurement data measured by REW V5.40 beta 133
* Source: U18dB [plughw:3,0], Mic (Mic), R, Volume: 1.000. Timing signal peak level -27.2 dBFS, measurement signal peak level -15.4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 10, 2026, 11:28:58 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 10 sept 2026  Position MLP+20cm TO THE RIGHT 4.180m from front wall  2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY -0.4548 ms (-156 mm, -6.14 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -14.6 ppm
* Measurement: R 120.green.4
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 68.461 -160.1987
15.123451 68.604 -161.2081
15.233042 68.778 -162.2504
15.343426 68.958 -163.3425
15.454611 69.139 -164.4906
15.566602 69.322 -165.6820
15.679404 69.505 -166.9242
15.793023 69.686 -168.2243
15.907466 69.868 -169.5771
16.022738 70.047 -170.9797
16.138845 70.222 -172.4305
16.255794 70.395 -173.9341
16.373590 70.565 -175.4836
16.492240 70.730 -177.0668
16.611750 70.891 -178.6916
16.732125 71.047 179.6455
16.853373 71.198 177.9639
16.975500 71.344 176.2560
17.098511 71.486 174.5215
17.222414 71.623 172.7813
17.347215 71.756 171.0284
17.472920 71.885 169.2609
17.599536 72.010 167.4966
17.727069 72.130 165.7262
17.855527 72.247 163.9504
17.984915 72.360 162.1817
18.115241 72.471 160.4098
18.246512 72.579 158.6379
18.378734 72.684 156.8733
18.511914 72.787 155.1060
18.646058 72.888 153.3422
18.781175 72.988 151.5828
18.917272 73.086 149.8217
19.054354 73.183 148.0677
19.192430 73.279 146.3160
19.331506 73.373 144.5674
19.471590 73.466 142.8286
19.612689 73.558 141.0918
19.754811 73.649 139.3643
19.897962 73.739 137.6460
20.042151 73.828 135.9338
20.187385 73.916 134.2347
20.333671 74.002 132.5428
20.481017 74.087 130.8612
20.629431 74.171 129.1896
20.778920 74.253 127.5248
20.929493 74.334 125.8691
21.081157 74.413 124.2174
21.233919 74.491 122.5717
21.387789 74.567 120.9282
21.542774 74.642 119.2860
21.698882 74.715 117.6438
21.856121 74.786 115.9979
22.014499 74.856 114.3495
22.174025 74.923 112.6931
22.334708 74.989 111.0309
22.496554 75.052 109.3573
22.659573 75.114 107.6734
22.823774 75.173 105.9780
22.989164 75.230 104.2682
23.155753 75.284 102.5460
23.323549 75.336 100.8062
23.492562 75.386 99.0540
23.662798 75.433 97.2828
23.834269 75.478 95.4994
24.006982 75.520 93.6976
24.180946 75.559 91.8839
24.356171 75.596 90.0534
24.532666 75.629 88.2111
24.710440 75.658 86.3539
24.889502 75.684 84.4848
25.069862 75.705 82.6022
25.251528 75.722 80.7068
25.434511 75.733 78.7973
25.618820 75.738 76.8735
25.804465 75.737 74.9333
25.991454 75.728 72.9767
26.179799 75.712 71.0002
26.369509 75.688 69.0050
26.560593 75.654 66.9856
26.753062 75.611 64.9463
26.946926 75.559 62.8803
27.142194 75.496 60.7953
27.338878 75.422 58.6835
27.536987 75.336 56.5569
27.736531 75.240 54.4067
27.937521 75.131 52.2494
28.139968 75.011 50.0778
28.343882 74.878 47.9099
28.549273 74.733 45.7440
28.756153 74.576 43.5929
28.964532 74.407 41.4652
29.174421 74.226 39.3672
29.385831 74.033 37.3148
29.598773 73.830 35.3116
29.813258 73.616 33.3733
30.029297 73.393 31.5056
30.246902 73.161 29.7198
30.466083 72.921 28.0221
30.686853 72.674 26.4218
30.909222 72.422 24.9204
31.133203 72.167 23.5251
31.358807 71.909 22.2363
31.586046 71.650 21.0507
31.814932 71.392 19.9734
32.045476 71.135 18.9907
32.277691 70.882 18.1007
32.511588 70.633 17.2981
32.747180 70.389 16.5647
32.984480 70.150 15.8971
33.223499 69.917 15.2820
33.464250 69.689 14.7045
33.706746 69.466 14.1595
33.950999 69.248 13.6345
34.197022 69.032 13.1212
34.444828 68.819 12.6164
34.694429 68.607 12.1132
34.945839 68.395 11.6084
35.199071 68.181 11.1068
35.454138 67.965 10.6191
35.711054 67.746 10.1512
35.969831 67.525 9.7053
36.230483 67.302 9.2861
36.493024 67.078 8.9012
36.757467 66.853 8.5575
37.023827 66.627 8.2620
37.292117 66.402 8.0195
37.562351 66.179 7.8337
37.834543 65.960 7.7068
38.108708 65.747 7.6383
38.384859 65.541 7.6222
38.663012 65.344 7.6490
38.943180 65.156 7.7075
39.225378 64.979 7.7825
39.509622 64.813 7.8533
39.795925 64.658 7.8943
40.084302 64.512 7.8817
40.374770 64.373 7.7891
40.667342 64.238 7.5881
40.962034 64.103 7.2485
41.258862 63.964 6.7429
41.557841 63.814 6.0452
41.858986 63.647 5.1292
42.162313 63.457 3.9686
42.467839 63.234 2.5353
42.775578 62.972 0.8005
43.085548 62.660 -1.2693
43.397763 62.288 -3.7160
43.712242 61.845 -6.5952
44.028998 61.318 -9.9836
44.348051 60.694 -13.9912
44.669415 59.956 -18.7799
44.993108 59.090 -24.5909
45.319147 58.086 -31.8055
45.647548 56.951 -41.0225
45.978329 55.742 -53.1351
46.311507 54.633 -69.2108
46.647099 53.977 -89.5786
46.985123 54.148 -112.0825
47.325597 55.137 -132.7178
47.668537 56.563 -149.3096
48.013963 58.078 -162.1752
48.361892 59.513 -172.3766
48.712342 60.811 179.1965
49.065332 61.965 171.9509
49.420880 62.984 165.5142
49.779004 63.882 159.6530
50.139723 64.672 154.2199
50.503056 65.368 149.1231
50.869022 65.978 144.3061
51.237640 66.514 139.7359
51.608929 66.981 135.3954
51.982909 67.388 131.2783
52.359598 67.740 127.3861
52.739018 68.042 123.7254
53.121186 68.301 120.3057
53.506124 68.522 117.1392
53.893852 68.709 114.2374
54.284389 68.870 111.6111
54.677756 69.009 109.2697
55.073973 69.132 107.2173
55.473062 69.246 105.4524
55.875043 69.358 103.9667
56.279936 69.475 102.7437
56.687764 69.603 101.7577
57.098547 69.746 100.9737
57.512306 69.910 100.3488
57.929064 70.099 99.8342
58.348842 70.311 99.3774
58.771662 70.549 98.9271
59.197546 70.809 98.4350
59.626515 71.089 97.8596
60.058594 71.382 97.1682
60.493803 71.685 96.3389
60.932166 71.993 95.3591
61.373706 72.299 94.2244
61.818445 72.601 92.9379
62.266407 72.892 91.5096
62.717615 73.170 89.9545
63.172093 73.433 88.2897
63.629864 73.678 86.5357
64.090952 73.905 84.7152
64.555381 74.111 82.8507
65.023176 74.298 80.9631
65.494361 74.465 79.0746
65.968960 74.613 77.2067
66.446998 74.746 75.3764
66.928501 74.863 73.5995
67.413492 74.968 71.8893
67.901998 75.063 70.2540
68.394044 75.151 68.6988
68.889655 75.236 67.2242
69.388858 75.320 65.8256
69.891679 75.406 64.4933
70.398142 75.496 63.2130
70.908276 75.592 61.9677
71.422107 75.696 60.7366
71.939661 75.807 59.4966
72.460965 75.926 58.2269
72.986047 76.050 56.9047
73.514934 76.179 55.5124
74.047654 76.308 54.0344
74.584234 76.436 52.4606
75.124702 76.558 50.7859
75.669086 76.671 49.0094
76.217416 76.771 47.1366
76.769719 76.856 45.1757
77.326024 76.921 43.1420
77.886360 76.965 41.0518
78.450757 76.985 38.9276
79.019243 76.979 36.7917
79.591849 76.945 34.6718
80.168605 76.884 32.5946
80.749539 76.794 30.5913
81.334684 76.678 28.6927
81.924068 76.536 26.9305
82.517724 76.370 25.3376
83.115681 76.185 23.9446
83.717972 75.983 22.7814
84.324627 75.771 21.8743
84.935678 75.555 21.2437
85.551157 75.344 20.9022
86.171096 75.145 20.8511
86.795527 74.966 21.0793
87.424483 74.819 21.5592
88.057997 74.709 22.2465
88.696102 74.643 23.0840
89.338830 74.625 24.0048
89.986216 74.656 24.9367
90.638293 74.734 25.8114
91.295096 74.853 26.5698
91.956658 75.009 27.1661
92.623013 75.193 27.5698
93.294198 75.398 27.7650
93.970246 75.618 27.7480
94.651193 75.846 27.5251
95.337075 76.077 27.1085
96.027927 76.309 26.5145
96.723785 76.536 25.7607
97.424685 76.759 24.8638
98.130664 76.976 23.8386
98.841760 77.186 22.6983
99.558008 77.388 21.4535
100.279446 77.583 20.1123
101.006112 77.771 18.6802
101.738044 77.951 17.1603
102.475280 78.124 15.5548
103.217858 78.289 13.8649
103.965817 78.446 12.0914
104.719197 78.594 10.2343
105.478035 78.733 8.2943
106.242372 78.861 6.2726
107.012248 78.979 4.1716
107.787703 79.084 1.9940
108.568777 79.176 -0.2561
109.355511 79.253 -2.5727
110.147947 79.315 -4.9493
110.946124 79.361 -7.3784
111.750085 79.389 -9.8512
112.559873 79.399 -12.3579
113.375528 79.389 -14.8881
114.197094 79.360 -17.4309
115.024613 79.312 -19.9740
115.858129 79.242 -22.5052
116.697684 79.152 -25.0120
117.543324 79.042 -27.4818
118.395091 78.912 -29.9018
119.253031 78.762 -32.2595
120.117188 78.595 -34.5424
120.987606 78.410 -36.7385
121.864332 78.209 -38.8377
122.747411 77.993 -40.8298
123.636890 77.766 -42.7063
124.532814 77.528 -44.4600
125.435230 77.282 -46.0858
126.344185 77.031 -47.5803
127.259727 76.778 -48.9427
128.181904 76.524 -50.1744
129.110763 76.273 -51.2800
130.046352 76.027 -52.2668
130.988722 75.789 -53.1454
131.937920 75.561 -53.9290
132.893997 75.346 -54.6331
133.857001 75.143 -55.2756
134.826984 74.955 -55.8763
135.803996 74.782 -56.4554
136.788088 74.623 -57.0336
137.779311 74.478 -57.6299
138.777717 74.345 -58.2621
139.783357 74.224 -58.9460
140.796285 74.111 -59.6947
141.816553 74.005 -60.5186
142.844214 73.904 -61.4259
143.879322 73.804 -62.4221
144.921931 73.705 -63.5115
145.972095 73.603 -64.6968
147.029869 73.496 -65.9786
148.095308 73.382 -67.3569
149.168468 73.258 -68.8301
150.249404 73.122 -70.3967
151.338173 72.972 -72.0538
152.434832 72.806 -73.7979
153.539437 72.620 -75.6248
154.652047 72.413 -77.5303
155.772720 72.181 -79.5089
156.901513 71.923 -81.5551
158.038486 71.634 -83.6614
159.183698 71.311 -85.8202
160.337209 70.950 -88.0231
161.499079 70.546 -90.2603
162.669367 70.095 -92.5198
163.848137 69.589 -94.7875
165.035448 69.022 -97.0453
166.231363 68.384 -99.2697
167.435944 67.662 -101.4281
168.649254 66.842 -103.4742
169.871356 65.903 -105.3392
171.102314 64.817 -106.9147
172.342191 63.548 -108.0207
173.591054 62.040 -108.3344
174.848966 60.222 -107.2272
176.115994 58.003 -103.3244
177.392203 55.374 -93.2776
178.677660 52.963 -69.7167
179.972432 52.880 -33.3041
181.276587 55.233 -8.8664
182.590191 57.879 1.5196
183.913315 60.121 5.3971
185.246027 61.954 6.2874
186.588396 63.466 5.6339
187.940492 64.731 4.0964
189.302387 65.804 2.0138
190.674150 66.721 -0.4225
192.055853 67.511 -3.0948
193.447569 68.193 -5.9258
194.849370 68.782 -8.8627
196.261329 69.291 -11.8666
197.683519 69.729 -14.9081
199.116016 70.103 -17.9634
200.558892 70.420 -21.0124
202.012225 70.685 -24.0389
203.476089 70.902 -27.0286
204.950560 71.075 -29.9680
206.435716 71.207 -32.8448
207.931635 71.302 -35.6478
209.438393 71.361 -38.3656
210.956070 71.389 -40.9868
212.484745 71.386 -43.5001
214.024497 71.356 -45.8942
215.575406 71.301 -48.1575
217.137555 71.225 -50.2784
218.711023 71.129 -52.2454
220.295893 71.017 -54.0480
221.892248 70.894 -55.6774
223.500171 70.763 -57.1278
225.119745 70.629 -58.3971
226.751056 70.496 -59.4873
228.394187 70.371 -60.4072
230.049226 70.257 -61.1733
231.716257 70.160 -61.8090
233.395369 70.083 -62.3453
235.086648 70.030 -62.8196
236.790182 70.000 -63.2731
238.506062 69.995 -63.7468
240.234375 70.011 -64.2803
241.975212 70.047 -64.9079
243.728664 70.098 -65.6567
245.494823 70.160 -66.5455
247.273780 70.226 -67.5844
249.065627 70.293 -68.7758
250.870459 70.356 -70.1148
252.688370 70.410 -71.5914
254.519454 70.452 -73.1915
