* Measurement data measured by REW V5.40 beta 133
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Sep 12, 2026, 4:19:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = R.nofdw.clean-fdw6 B = FRX-trimmed.clean-fdw6 
* Measurement: R.filtered.clean-fdw6
* Smoothing: None
* Frequency Step: 0.18310548 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 31.862 13.3489
2.380371 32.414 55.5866
2.563477 31.360 81.6974
2.746582 32.780 118.8225
2.929688 31.279 152.3982
3.112793 32.746 -178.4789
3.295899 31.759 -137.6871
3.479004 32.341 -114.4200
3.662109 32.482 -70.9335
3.845215 31.783 -47.3283
4.028320 33.043 -7.1260
4.211426 31.497 23.0457
4.394531 33.220 55.3353
4.577637 31.826 94.1056
4.760742 32.968 118.3922
4.943848 32.601 162.4349
5.126953 32.418 -175.9845
5.310059 33.361 -132.8007
5.493164 31.943 -106.5484
5.676270 33.780 -70.2741
5.859375 32.038 -34.7142
6.042481 33.739 -8.0223
6.225586 32.785 35.4876
6.408692 33.284 56.0637
6.591797 33.729 101.7142
6.774903 32.684 123.9549
6.958008 34.422 164.7227
7.141114 32.484 -164.2014
7.324219 34.650 -133.5225
7.507325 33.083 -92.0579
7.690430 34.383 -70.8441
7.873536 34.167 -23.7615
8.056641 33.773 -4.9087
8.239747 35.158 40.2975
8.422852 33.293 65.9014
8.605958 35.715 101.9741
8.789063 33.601 139.5554
8.972169 35.729 163.5380
9.155274 34.732 -149.4760
9.338379 35.252 -132.5608
9.521485 36.031 -83.6466
9.704590 34.603 -63.7478
9.887696 36.981 -21.4910
10.070801 34.406 8.6581
10.253907 37.138 36.0793
10.437012 35.115 80.2927
10.620118 36.543 96.7555
10.803223 36.338 147.7334
10.986329 35.565 162.3151
11.169434 37.418 -149.4536
11.352540 34.815 -124.9894
11.535645 38.002 -88.8876
11.718751 35.285 -48.2034
11.901856 37.988 -28.0343
12.084962 36.924 24.2936
12.268067 37.416 36.0457
12.451173 38.740 90.0688
12.634278 36.674 107.2065
12.817384 40.150 151.7837
13.000489 36.953 -173.3936
13.183595 40.990 -147.5374
13.366700 39.127 -95.0291
13.549806 41.249 -84.7751
13.732911 42.175 -25.1011
13.916017 41.122 -15.0591
14.099122 45.215 38.9302
14.282228 41.884 68.8474
14.465333 48.236 101.3604
14.648439 46.618 161.8701
14.831544 51.908 166.8450
15.014649 57.871 -108.8867
15.197755 66.918 -133.0042
15.380860 68.390 -151.3218
15.563966 69.257 -150.3760
15.747071 70.294 -153.9998
15.930177 70.624 -154.3123
16.113282 71.198 -156.5796
16.296388 71.385 -158.8950
16.479493 71.833 -162.3977
16.662599 72.018 -166.8572
16.845704 72.345 -170.7866
17.028810 72.507 -174.8667
17.211915 72.746 -177.2317
17.395021 72.951 -179.8220
17.578126 73.164 178.5283
17.761232 73.340 175.9146
17.944337 73.399 173.7651
18.127443 73.471 171.2715
18.310548 73.540 169.5520
18.493654 73.850 167.6531
18.676759 74.257 165.2749
18.859865 74.780 161.8328
19.042970 75.123 157.4917
19.226076 75.292 153.2898
19.409181 75.205 149.6965
19.592287 75.055 147.7610
19.775392 74.979 146.5154
19.958498 75.087 145.3906
20.141603 75.291 142.7578
20.324709 75.404 139.2407
20.507814 75.363 135.3328
20.690919 75.127 132.6313
20.874025 74.898 131.5793
21.057130 74.767 131.9578
21.240236 74.856 132.4587
21.423341 74.978 132.0740
21.606447 75.076 130.9648
21.789552 75.065 129.4971
21.972658 75.084 128.3657
22.155763 75.193 127.0220
22.338869 75.428 125.3613
22.521974 75.698 122.8162
22.705080 75.909 120.1604
22.888185 76.052 117.6223
23.071291 76.139 115.8279
23.254396 76.261 114.3340
23.437502 76.390 112.8291
23.620607 76.535 110.8503
23.803713 76.609 108.5125
23.986818 76.656 106.1958
24.169924 76.678 104.1370
24.353029 76.767 102.5581
24.536135 76.917 101.0786
24.719240 77.131 99.6594
24.902346 77.349 97.8704
25.085451 77.529 95.8767
25.268557 77.642 93.4514
25.451662 77.655 90.9175
25.634768 77.597 88.3237
25.817873 77.486 86.0967
26.000978 77.424 84.2949
26.184084 77.445 82.8328
26.367189 77.592 81.3472
26.550295 77.775 79.5276
26.733400 77.940 77.5364
26.916506 78.018 75.5864
27.099611 78.046 74.1436
27.282717 78.079 73.0227
27.465822 78.194 71.9785
27.648928 78.411 70.2009
27.832033 78.693 67.4146
28.015139 78.995 63.3628
28.198244 79.248 58.3484
28.381350 79.425 52.5876
28.564455 79.462 46.4810
28.747561 79.349 40.3945
28.930666 79.054 34.6558
29.113772 78.615 29.6519
29.296877 78.071 25.4233
29.479983 77.497 22.0413
29.663088 76.943 19.0886
29.846194 76.420 16.4919
30.029299 75.929 14.0142
30.212405 75.440 11.9001
30.395510 74.975 10.0659
30.578616 74.489 8.5220
30.761721 73.974 7.0996
30.944827 73.338 5.9104
31.127932 72.598 5.3994
31.311038 71.774 5.9612
31.494143 71.034 7.9219
31.677248 70.481 10.5601
31.860354 70.179 13.2380
32.043459 70.026 15.0476
32.226565 69.925 16.3303
32.409670 69.780 17.0972
32.592776 69.544 18.2175
32.775881 69.233 19.8811
32.958987 68.930 22.8130
33.142092 68.833 26.2629
33.325198 68.996 29.1548
33.508303 69.356 29.8975
33.691409 69.662 28.6943
33.874514 69.843 26.5481
34.057620 69.873 24.9678
34.240725 69.954 24.7368
34.423831 70.183 25.2739
34.606936 70.581 25.4189
34.790042 70.930 24.2634
34.973147 71.097 22.3308
35.156253 71.032 20.1538
35.339358 70.847 18.4888
35.522464 70.684 16.7991
35.705569 70.593 14.6274
35.888675 70.525 11.2659
36.071780 70.342 7.2961
36.254886 70.004 3.4421
36.437991 69.474 0.7500
36.621097 68.860 -0.2976
36.804202 68.197 0.2046
36.987308 67.595 1.8389
37.170413 67.026 3.8098
37.353518 66.548 5.8333
37.536624 66.114 7.2517
37.719729 65.759 8.4133
37.902835 65.472 9.2930
38.085940 65.340 10.8005
38.269046 65.430 12.3103
38.452151 65.692 13.5740
38.635257 65.959 13.6887
38.818362 66.011 13.5122
39.001468 65.834 13.6201
39.184573 65.484 14.9167
39.367679 65.189 16.6963
39.550784 64.925 18.0188
39.733890 64.668 18.4392
39.916995 64.308 19.0095
40.100101 64.103 20.9863
40.283206 64.242 23.6292
40.466312 64.738 25.0781
40.649417 65.131 24.3528
40.832523 65.138 23.4727
41.015628 64.736 24.7043
41.198734 64.398 29.8674
41.381839 64.612 35.6924
41.564945 65.174 38.2690
41.748050 65.495 36.9487
41.931156 65.313 35.3071
42.114261 64.916 36.4033
42.297367 64.921 41.0645
42.480472 65.653 44.6306
42.663578 66.466 44.4119
42.846683 66.810 42.1714
43.029788 66.555 41.9119
43.212894 66.313 46.3440
43.395999 66.856 52.3713
43.579105 68.086 53.1995
43.762210 69.138 47.5244
43.945316 69.649 38.5601
44.128421 69.609 29.6909
44.311527 69.316 24.3152
44.494632 69.324 23.3711
44.677738 70.048 24.0869
44.860843 71.200 22.1965
45.043949 72.181 17.4812
45.227054 72.737 11.7205
45.410160 72.894 6.9253
45.593265 72.948 4.0525
45.776371 73.192 2.3730
45.959476 73.751 0.0498
46.142582 74.450 -4.2114
46.325687 75.109 -10.0574
46.508793 75.631 -16.7632
46.691898 76.027 -23.6104
46.875004 76.331 -30.6101
47.058109 76.546 -37.8840
47.241215 76.661 -45.6667
47.424320 76.639 -53.8054
47.607426 76.496 -61.9202
47.790531 76.250 -69.5457
47.973637 75.971 -76.2192
48.156742 75.710 -81.8708
48.339848 75.517 -86.5388
48.522953 75.418 -90.7224
48.706058 75.412 -94.8411
48.889164 75.494 -99.5171
49.072269 75.625 -105.0061
49.255375 75.796 -111.3735
49.438480 75.981 -118.2905
49.621586 76.205 -125.2891
49.804691 76.464 -132.0210
49.987797 76.767 -138.2524
50.170902 77.086 -144.1060
50.354008 77.399 -149.6626
50.537113 77.690 -155.2458
50.720219 77.950 -161.0955
50.903324 78.178 -167.6255
51.086430 78.336 -175.0161
51.269535 78.396 176.8013
51.452641 78.315 168.2808
51.635746 78.110 160.1406
51.818852 77.832 152.9429
52.001957 77.583 146.8931
52.185063 77.429 141.3545
52.368168 77.340 135.5186
52.551274 77.201 128.8027
52.734379 76.884 121.4919
52.917485 76.362 114.2627
53.100590 75.683 107.8958
53.283696 74.998 102.6670
53.466801 74.397 98.0337
53.649907 73.862 93.2495
53.833012 73.233 88.0146
54.016117 72.380 83.1956
54.199223 71.301 79.9534
54.382328 70.177 79.3882
54.565434 69.293 80.8091
54.748539 68.712 82.4692
54.931645 68.269 83.0654
55.114750 67.756 83.3027
55.297856 67.228 84.1196
55.480961 66.776 85.6335
55.664067 66.456 87.0193
55.847172 66.103 88.0049
56.030278 65.709 89.4568
56.213383 65.395 91.6538
56.396489 65.348 93.4053
56.579594 65.363 92.6794
56.762700 65.097 90.0171
56.945805 64.320 87.7861
57.128911 63.275 90.1060
57.312016 62.844 97.5071
57.495122 63.517 103.5793
57.678227 64.409 102.9019
57.861333 64.599 98.2920
58.044438 63.802 94.3569
58.227544 62.189 97.2449
58.410649 61.140 110.7114
58.593755 61.918 124.3831
58.776860 63.166 128.3345
58.959966 63.581 127.3577
59.143071 63.154 127.7603
59.326177 62.478 133.8208
59.509282 62.630 143.6299
59.692387 63.550 149.8904
59.875493 64.418 151.2461
60.058598 64.783 151.0007
60.241704 64.830 152.5522
60.424809 64.936 156.8372
60.607915 65.459 162.6372
60.791020 66.352 167.6709
60.974126 67.459 171.5305
61.157231 68.681 174.0100
61.340337 69.964 175.1143
61.523442 71.200 174.5935
61.706548 72.298 173.0156
61.889653 73.259 170.8643
62.072759 74.132 168.5654
62.255864 74.992 165.8926
62.438970 75.833 162.5400
62.622075 76.620 158.3467
62.805181 77.296 153.5261
62.988286 77.858 148.4419
63.171392 78.312 143.2886
63.354497 78.676 138.1387
63.537603 78.931 132.9207
63.720708 79.051 127.8359
63.903814 79.032 123.2141
64.086919 78.924 119.5381
64.270025 78.846 116.8701
64.453130 78.892 114.7349
64.636236 79.071 112.2700
64.819341 79.273 109.0181
65.002447 79.387 105.2446
65.185552 79.356 101.6543
65.368657 79.231 98.9604
65.551763 79.119 97.3000
65.734868 79.122 96.1877
65.917974 79.245 94.6860
66.101079 79.409 92.2588
66.284185 79.519 88.8384
66.467290 79.519 84.8354
66.650396 79.408 80.6729
66.833501 79.211 76.7610
67.016607 78.978 73.2852
67.199712 78.741 70.2258
67.382818 78.515 67.3834
67.565923 78.253 64.5320
67.749029 77.899 61.7535
67.932134 77.400 59.4271
68.115240 76.789 58.2552
68.298345 76.192 58.5729
68.481451 75.778 59.9751
68.664556 75.608 61.0919
68.847662 75.550 61.0134
69.030767 75.440 59.8400
69.213873 75.204 58.5375
69.396978 74.913 57.8436
69.580084 74.674 57.7980
69.763189 74.537 57.7037
69.946295 74.408 57.0292
70.129400 74.191 56.0193
70.312506 73.855 55.3319
70.495611 73.494 55.4438
70.678717 73.194 55.9785
70.861822 72.952 56.3551
71.044927 72.665 56.3448
71.228033 72.272 56.6761
71.411138 71.842 57.9589
71.594244 71.513 60.1675
71.777349 71.329 62.1661
71.960455 71.141 63.3650
72.143560 70.796 64.2625
72.326666 70.280 66.3203
72.509771 69.821 70.3447
72.692877 69.650 75.5173
72.875982 69.777 79.9878
73.059088 69.956 83.2422
73.242193 70.082 86.2698
73.425299 70.219 89.9683
73.608404 70.529 94.0576
73.791510 70.978 97.4590
73.974615 71.432 99.9868
74.157721 71.791 102.3462
74.340826 72.153 105.4004
74.523932 72.668 108.7986
74.707037 73.383 111.4954
74.890143 74.170 112.6543
75.073248 74.892 112.6353
75.256354 75.512 112.1025
75.439459 76.082 111.6299
75.622565 76.674 111.1260
75.805670 77.298 110.3174
75.988776 77.921 108.9749
76.171881 78.494 107.2439
76.354987 79.014 105.3672
76.538092 79.495 103.5137
76.721197 79.968 101.6743
76.904303 80.437 99.7139
77.087408 80.898 97.5623
77.270514 81.334 95.1873
77.453619 81.739 92.6724
