* Generated by rew_pipeline.py (source UUID 7d856d07-f568-4c89-a086-d78dd62d4f33, calibrated to its own SPL at 100 Hz)
* Measurement: R.filtered.clean-fdw6
* Dated: 2026-Sep-12 16:19:01
* Note: ; Trace Arithmetic A times B A = R.nofdw.clean-fdw6 B = FRX-trimmed.clean-fdw6
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.000000 -63.830 180.0000
0.183105 -60.190 84.7427
0.366211 -63.369 145.7571
0.549316 -67.219 -51.5148
0.732422 -58.515 -29.2859
0.915527 -65.176 -107.9222
1.098633 -54.836 122.7212
1.281738 -62.958 -169.9300
1.464844 -71.285 174.5261
1.647949 -56.549 -90.0642
1.831055 -57.525 -145.9789
2.014160 -57.434 94.8831
2.197266 -58.664 -119.0249
2.380371 -61.861 126.6292
2.563477 -57.403 -99.9947
2.746582 -62.398 -57.2460
2.929688 -78.224 -92.3468
3.112793 -59.931 82.7490
3.295898 -64.727 153.1778
3.479004 -61.795 57.7191
3.662109 -63.749 -98.1802
3.845215 -63.640 -147.4522
4.028320 -66.988 -122.0809
4.211426 -57.698 128.1428
4.394531 -66.739 -39.9044
4.577637 -64.754 -93.4556
4.760742 -58.141 -114.4365
4.943848 -60.539 67.5342
5.126953 -62.580 -51.5335
5.310059 -60.532 115.0431
5.493164 -61.083 -98.2818
5.676270 -75.935 58.8297
5.859375 -62.699 -168.8072
6.042480 -60.498 110.5460
6.225586 -63.996 4.6992
6.408691 -70.562 -103.1982
6.591797 -67.046 -0.3761
6.774902 -59.837 -94.8100
6.958008 -57.015 163.9624
7.141113 -62.678 -31.9604
7.324219 -68.490 38.7495
7.507324 -67.926 34.2304
7.690430 -57.877 -116.4493
7.873535 -64.928 170.5767
8.056641 -58.193 87.8877
8.239746 -54.527 36.9920
8.422852 -56.847 -68.4251
8.605957 -61.245 -82.3541
8.789062 -68.188 -100.0237
8.972168 -72.982 -0.6651
9.155273 -58.434 149.6986
9.338379 -57.382 63.4624
9.521484 -63.985 -114.7746
9.704590 -73.414 114.5647
9.887695 -65.943 -127.6483
10.070801 -62.378 142.8616
10.253906 -58.362 6.7405
10.437012 -64.855 -27.1096
10.620117 -69.309 -10.9178
10.803223 -65.220 -12.1018
10.986328 -67.687 -151.3002
11.169434 -58.060 38.4140
11.352539 -57.631 -48.5274
11.535645 -56.315 -30.7459
11.718750 -63.576 175.2847
11.901855 -63.978 -124.1863
12.084961 -62.790 171.4627
12.268066 -79.735 -76.0063
12.451172 -72.059 -178.9293
12.634277 -60.275 -79.6758
12.817383 -63.454 -144.8192
13.000488 -62.120 169.6347
13.183594 -58.700 -126.9161
13.366699 -66.485 -107.4559
13.549805 -59.584 -68.4457
13.732910 -71.101 -130.6057
13.916016 -59.463 -128.4879
14.099121 -74.450 -168.7987
14.282227 -63.077 17.5353
14.465332 -57.550 29.0753
14.648438 -59.806 -61.4621
14.831543 -65.359 146.7263
15.014648 -78.296 -81.5280
15.197754 69.339 163.1135
15.380859 70.006 96.6818
15.563965 70.623 28.9776
15.747070 71.126 -39.4777
15.930176 71.550 -108.2774
16.113281 71.967 -177.3794
16.296387 72.416 113.0400
16.479492 72.877 42.9285
16.662598 73.297 -27.4448
16.845703 73.637 -97.5906
17.028809 73.897 -167.0760
17.211914 74.114 124.2060
17.395020 74.324 55.9476
17.578125 74.529 -12.3562
17.761230 74.695 -81.0055
17.944336 74.799 -149.8680
18.127441 74.876 141.4736
18.310547 75.027 73.2865
18.493652 75.348 5.2850
18.676758 75.830 -63.2464
18.859863 76.346 -132.7913
19.042969 76.731 156.8441
19.226074 76.884 86.3974
19.409180 76.817 16.7493
19.592285 76.663 -51.5737
19.775391 76.604 -118.9162
19.958496 76.729 173.5505
20.141602 76.949 104.8372
20.324707 77.096 35.0159
20.507812 77.060 -34.9374
20.690918 76.857 -103.8228
20.874023 76.619 -170.9452
21.057129 76.512 123.2989
21.240234 76.583 57.6458
21.423340 76.725 -8.8700
21.606445 76.810 -76.2184
21.789551 76.819 -143.7977
21.972656 76.836 148.8023
22.155762 76.962 81.4000
22.338867 77.205 13.5044
22.521973 77.482 -55.0516
22.705078 77.703 -123.8951
22.888184 77.842 167.5486
23.071289 77.937 99.5864
23.254395 78.047 32.0239
23.437500 78.186 -35.6373
23.620605 78.319 -103.7376
23.803711 78.406 -172.2002
23.986816 78.445 119.3372
24.169922 78.480 51.2082
24.353027 78.564 -16.5135
24.536133 78.721 -84.0168
24.719238 78.931 -151.5729
24.902344 79.148 140.6248
25.085449 79.326 72.4922
25.268555 79.431 4.0351
25.451660 79.446 -64.6355
25.634766 79.379 -133.2855
25.817871 79.274 158.3731
26.000977 79.202 90.5023
26.184082 79.231 22.9682
26.367188 79.368 -44.5903
26.550293 79.556 -112.4409
26.733398 79.712 179.4857
26.916504 79.789 111.5244
27.099609 79.808 43.9838
27.282715 79.838 -23.1477
27.465820 79.948 -90.2990
27.648926 80.159 -158.0920
27.832031 80.439 133.0257
28.015137 80.734 62.9569
28.198242 80.988 -8.1217
28.381348 81.156 -79.9044
28.564453 81.194 -152.0414
28.747559 81.070 135.8345
28.930664 80.773 64.0866
29.113770 80.324 -6.9793
29.296875 79.775 -77.2076
29.479980 79.195 -146.6681
29.663086 78.635 144.3883
29.846191 78.110 75.7192
30.029297 77.610 7.2613
30.212402 77.123 -60.9001
30.395508 76.646 -128.7151
30.578613 76.162 163.7221
30.761719 75.631 96.2972
30.944824 74.996 29.1095
31.127930 74.238 -37.4423
31.311035 73.415 -102.8604
31.494141 72.660 -166.9772
31.677246 72.110 129.7082
31.860352 71.798 66.2949
32.043457 71.646 2.1870
32.226562 71.539 -62.6119
32.409668 71.389 -127.7354
32.592773 71.149 167.3147
32.775879 70.826 103.0892
32.958984 70.522 39.9501
33.142090 70.405 -22.5122
33.325195 70.571 -85.6933
33.508301 70.911 -150.9027
33.691406 71.225 141.8468
33.874512 71.387 73.7147
34.057617 71.427 6.1432
34.240723 71.492 -60.0876
34.423828 71.728 -125.4870
34.606934 72.111 168.6488
34.790039 72.461 101.5829
34.973145 72.614 33.6236
35.156250 72.543 -34.4587
35.339355 72.352 -102.1838
35.522461 72.182 -169.7978
35.705566 72.091 121.9593
35.888672 72.013 52.6565
36.071777 71.836 -17.3484
36.254883 71.485 -87.1509
36.437988 70.962 -155.8221
36.621094 70.328 137.1601
36.804199 69.670 71.7223
36.987305 69.045 7.3413
37.170410 68.478 -56.6105
37.353516 67.977 -120.6581
37.536621 67.544 174.8501
37.719727 67.175 109.9017
37.902832 66.887 44.9029
38.085938 66.749 -19.6913
38.269043 66.833 -84.0172
38.452148 67.094 -148.8121
38.635254 67.345 145.4754
38.818359 67.397 79.2744
39.001465 67.195 13.5204
39.184570 66.847 -51.1962
39.367676 66.521 -115.3346
39.550781 66.264 179.9847
39.733887 65.979 114.4314
39.916992 65.633 49.0455
40.100098 65.406 -14.9754
40.283203 65.560 -78.2070
40.466309 66.037 -142.7447
40.649414 66.436 150.7173
40.832520 66.426 83.8415
41.015625 66.020 19.2819
41.198730 65.668 -41.5908
41.381836 65.873 -101.5757
41.564941 66.426 -165.0638
41.748047 66.737 127.7671
41.931152 66.558 60.0682
42.114258 66.150 -4.6928
42.297363 66.168 -66.0449
42.480469 66.887 -128.3221
42.663574 67.712 165.5106
42.846680 68.040 97.4020
43.029785 67.794 31.2359
43.212891 67.531 -30.2505
43.395996 68.082 -90.1345
43.579102 69.294 -155.2760
43.762207 70.352 133.1307
43.945312 70.856 58.1589
44.128418 70.820 -16.6017
44.311523 70.528 -87.9766
44.494629 70.535 -154.7811
44.677734 71.261 139.9633
44.860840 72.405 72.1990
45.043945 73.388 1.5276
45.227051 73.933 -70.1536
45.410156 74.093 -140.8996
45.593262 74.137 150.2676
45.776367 74.384 82.6510
45.959473 74.938 14.3566
46.142578 75.641 -55.8167
46.325684 76.297 -127.6251
46.508789 76.819 159.7711
46.691895 77.212 86.9663
46.875000 77.510 14.0547
47.058105 77.724 -59.1798
47.241211 77.832 -132.9023
47.424316 77.811 153.0051
47.607422 77.662 78.9331
47.790527 77.418 5.3802
47.973633 77.136 -67.2504
48.156738 76.874 -138.8051
48.339844 76.677 150.5699
48.522949 76.572 80.4813
48.706055 76.564 10.3974
48.889160 76.638 -60.2050
49.072266 76.769 -131.6585
49.255371 76.933 156.0312
49.438477 77.121 83.1745
49.621582 77.339 10.2322
49.804688 77.598 -62.4096
49.987793 77.895 -134.5855
50.170898 78.211 153.6559
50.354004 78.520 82.1449
50.537109 78.805 10.6432
50.720215 79.063 -61.1635
50.903320 79.285 -133.6226
51.086426 79.443 153.0462
51.269531 79.498 78.9346
51.452637 79.417 4.5000
51.635742 79.207 -69.5714
51.818848 78.926 -142.6705
52.001953 78.671 145.3354
52.185059 78.513 73.8881
52.368164 78.422 2.0984
52.551270 78.278 -70.5346
52.734375 77.962 -143.7871
52.917480 77.435 143.0672
53.100586 76.758 70.7881
53.283691 76.067 -0.3587
53.466797 75.466 -70.8836
53.649902 74.925 -141.6051
53.833008 74.293 147.2671
54.016113 73.436 76.4820
54.199219 72.353 7.3403
54.382324 71.232 -59.2011
54.565430 70.344 -123.6696
54.748535 69.770 172.0358
54.931641 69.322 106.7602
55.114746 68.817 41.0790
55.297852 68.278 -23.9813
55.480957 67.833 -88.3693
55.664062 67.498 -152.9028
55.847168 67.150 142.1748
56.030273 66.743 77.6512
56.213379 66.436 13.9417
