* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 12, 2026, 4:19:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Copy of R.0 10 sept 2026  Position MLP 4.18m from front wall 3.32m from RLand L speaker  1.20m speakers to front wall marker: green 2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY -0.0108 ms (-3.7 mm, -0.15 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.2 ppm
* Measurement: R.nofdw.clean-fdw6
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 68.041 -153.8722
15.380859 69.140 -153.1411
15.747070 70.154 -156.9652
16.113281 70.900 -162.5312
16.479492 71.723 -169.8912
16.845703 72.404 -178.0844
17.211914 72.810 176.0295
17.578125 73.163 171.7759
17.944336 73.374 166.5601
18.310547 73.552 161.9984
18.676758 74.308 157.7379
19.042968 75.168 150.0861
19.409179 75.218 142.2365
19.775390 74.971 138.8011
20.141601 75.288 134.7702
20.507812 75.375 127.1978
20.874023 74.911 123.3781
21.240234 74.858 124.1420
21.606445 75.069 122.4370
21.972656 75.082 119.6025
22.338867 75.440 116.4362
22.705077 75.930 111.1537
23.071288 76.158 106.7399
23.437499 76.402 103.6075
23.803710 76.619 99.1229
24.169921 76.692 94.5970
24.536132 76.933 91.4256
24.902343 77.362 88.1083
25.268554 77.648 83.5484
25.634765 77.600 78.2460
26.000976 77.429 74.0414
26.367187 77.601 70.9456
26.733397 77.950 67.0074
27.099608 78.055 63.4811
27.465819 78.202 61.1647
27.832030 78.703 56.4460
28.198241 79.262 47.2455
28.564452 79.477 35.2646
28.930663 79.067 23.3219
29.296874 78.080 13.9489
29.663085 76.951 7.4580
30.029296 75.938 2.2358
30.395507 74.984 -1.8425
30.761717 73.981 -4.9397
31.127928 72.601 -6.7955
31.494139 71.036 -4.4541
31.860350 70.185 0.6885
32.226561 69.939 3.6455
32.592772 69.561 5.4302
32.958983 68.946 9.9181
33.325194 69.008 16.1216
33.691405 69.674 15.5031
34.057616 69.889 11.6360
34.423827 70.203 11.8374
34.790037 70.947 10.7327
35.156248 71.042 6.5034
35.522459 70.688 2.9873
35.888670 70.530 -2.7233
36.254881 70.012 -10.6943
36.621092 68.869 -14.5490
36.987303 67.599 -12.5369
37.353514 66.546 -8.7115
37.719725 65.759 -6.3342
38.085936 65.350 -4.1179
38.452147 65.713 -1.4390
38.818357 66.034 -1.5634
39.184568 65.500 -0.2559
39.550779 64.936 2.6915
39.916990 64.321 3.5078
40.283201 64.264 8.0002
40.649412 65.156 8.6599
41.015623 64.754 8.9514
41.381834 64.619 19.8152
41.748045 65.494 20.8757
42.114256 64.916 20.1323
42.480467 65.661 28.2205
42.846677 66.821 25.6647
43.212888 66.319 29.7359
43.579099 68.087 36.4388
43.945310 69.652 21.6071
44.311521 69.329 7.2090
44.677732 70.065 6.8904
45.043943 72.196 0.2004
45.410154 72.905 -10.4783
45.776365 73.201 -15.1766
46.142576 74.462 -21.8912
46.508786 75.644 -34.5482
46.874997 76.341 -48.5080
47.241208 76.667 -63.7077
47.607419 76.503 -80.1144
47.973630 75.982 -94.5403
48.339841 75.530 -104.9623
48.706052 75.422 -113.3777
49.072263 75.635 -123.6779
49.438474 75.993 -137.0907
49.804685 76.478 -150.9222
50.170896 77.098 -163.1068
50.537106 77.698 -174.3723
50.903317 78.185 173.1068
51.269528 78.405 157.4059
51.635739 78.122 140.6393
52.001950 77.593 127.2831
52.368161 77.349 115.7808
52.734372 76.896 101.6276
53.100583 75.698 87.9330
53.466794 74.411 77.9905
53.833005 73.241 67.8692
54.199216 71.306 59.6695
54.565426 69.300 60.3871
54.931637 68.281 62.5452
55.297848 67.240 63.5330
55.664059 66.461 66.3423
56.030270 65.706 68.6290
56.396481 65.347 72.4009
56.762692 65.109 68.8813
57.128903 63.298 68.9131
57.495114 63.537 82.3537
57.861325 64.609 76.9872
58.227536 62.193 75.7843
58.593746 61.925 102.7666
58.959957 63.601 105.6578
59.326168 62.509 112.0951
59.692379 63.577 128.1451
60.058590 64.796 129.2003
60.424801 64.940 134.9150
60.791012 66.357 145.6094
61.157223 68.693 151.8524
61.523434 71.214 152.3826
61.889645 73.270 148.6016
62.255856 74.999 143.5498
62.622066 76.626 135.9070
62.988277 77.867 125.9214
63.354488 78.688 115.5654
63.720699 79.063 105.2197
64.086910 78.934 96.8676
64.453121 78.902 92.0032
64.819332 79.284 86.2392
65.185543 79.369 78.8510
65.551754 79.131 74.4808
65.917965 79.254 71.8421
66.284176 79.527 65.9644
66.650386 79.418 57.7844
67.016597 78.989 50.4126
67.382808 78.526 44.5479
67.749019 77.908 38.9621
68.115230 76.802 35.5179
68.481441 75.800 37.3271
68.847652 75.587 38.4991
69.213863 75.261 36.1743
69.580074 74.753 35.5608
69.946285 74.515 34.8710
70.312495 73.996 33.2273
70.678706 73.374 33.9331
71.044917 72.883 34.3691
71.411128 72.096 36.0363
71.777339 71.618 40.2501
72.143550 71.127 42.3097
72.509761 70.200 48.3474
72.875972 70.208 57.9659
73.242183 70.564 64.2297
73.608394 71.058 71.9675
73.974605 72.008 77.7909
74.340815 72.782 83.0582
74.707026 74.069 88.9983
75.073237 75.636 89.9885
75.439448 76.879 88.8229
75.805659 78.146 87.3148
76.171870 79.391 84.0063
76.538081 80.443 80.0245
76.904292 81.435 75.9777
77.270503 82.381 71.2166
77.636714 83.204 65.8356
78.002925 83.905 60.3323
78.369135 84.601 54.8362
78.735346 85.384 48.2671
79.101557 86.099 39.7294
79.467768 86.595 29.9752
79.833979 86.879 19.7667
80.200190 86.922 9.2291
80.566401 86.672 -1.1665
80.932612 86.173 -10.9673
81.298823 85.467 -20.1053
81.665034 84.579 -28.1934
82.031245 83.597 -35.0307
82.397455 82.528 -41.0016
82.763666 81.305 -45.7216
83.129877 80.043 -48.1653
83.496088 79.038 -48.5500
83.862299 78.393 -49.1990
84.228510 77.752 -51.6180
84.594721 76.843 -54.4728
84.960932 75.689 -56.8987
85.327143 74.166 -57.3984
85.693354 72.761 -51.8594
86.059565 72.462 -44.9236
86.425775 72.504 -42.9096
86.791986 72.433 -43.3923
87.158197 72.291 -46.5710
87.524408 71.812 -50.0951
87.890619 71.326 -51.0350
88.256830 70.862 -51.3250
88.623041 70.336 -51.3425
88.989252 70.029 -57.3408
89.355463 69.059 -73.4117
89.721674 67.574 -90.7103
90.087885 67.175 -107.2906
90.454095 66.929 -137.4069
90.820306 65.984 173.6053
91.186517 66.974 126.3202
91.552728 69.241 104.7075
91.918939 71.648 94.0309
92.285150 73.337 83.7952
92.651361 74.412 74.2612
93.017572 75.204 64.6151
93.383783 75.624 55.6462
93.749994 75.865 49.0485
94.116205 76.162 43.7230
94.482415 76.494 38.4764
94.848626 76.765 32.6089
95.214837 76.695 26.6919
95.581048 76.331 23.2880
95.947259 76.108 22.1730
96.313470 76.118 21.4670
96.679681 76.446 20.0826
97.045892 76.829 15.5621
97.412103 76.713 9.8279
97.778314 76.339 6.0312
98.144524 75.922 2.4585
98.510735 75.128 0.2772
98.876946 74.498 2.1885
99.243157 74.309 2.9012
99.609368 73.761 2.4463
99.975579 73.168 4.7781
100.341790 72.844 6.9751
100.708001 72.349 9.7018
101.074212 72.003 15.4880
101.440423 72.106 22.3854
101.806634 72.636 28.7078
102.172844 73.422 33.3716
102.539055 74.422 36.9918
102.905266 75.637 37.5936
103.271477 76.522 35.0120
103.637688 77.060 32.4133
104.003899 77.560 29.5616
104.370110 77.859 26.2814
104.736321 78.064 24.5614
105.102532 78.397 22.8541
105.468743 78.529 20.0734
105.834954 78.444 18.2792
106.201164 78.464 17.3817
106.567375 78.585 16.5406
106.933586 78.770 16.1094
107.299797 78.996 15.7748
107.666008 79.214 15.4100
108.032219 79.445 14.6383
108.398430 79.623 13.4561
108.764641 79.782 12.6387
109.130852 79.962 12.1315
109.497063 80.152 12.3019
109.863274 80.534 12.9003
110.229484 81.092 12.3673
110.595695 81.690 10.8381
110.961906 82.341 8.2013
111.328117 82.848 3.9719
111.694328 83.076 -0.5145
112.060539 83.183 -4.4288
112.426750 83.249 -8.2678
112.792961 83.225 -11.8445
113.159172 83.130 -14.5485
113.525383 83.074 -16.0098
113.891594 83.237 -16.9886
114.257804 83.541 -19.0662
114.624015 83.774 -21.7793
114.990226 84.004 -24.3667
115.356437 84.253 -27.7678
115.722648 84.384 -32.1754
116.088859 84.379 -37.0638
116.455070 84.224 -42.0977
116.821281 83.929 -46.3632
117.187492 83.631 -49.7719
117.553703 83.305 -53.2328
117.919914 82.859 -56.3817
118.286124 82.379 -58.6635
118.652335 81.908 -60.0856
119.018546 81.511 -60.3038
119.384757 81.300 -60.2178
119.750968 81.146 -60.7445
120.117179 81.022 -61.1124
120.483390 81.087 -61.6616
120.849601 81.245 -63.5054
121.215812 81.305 -66.3562
121.582023 81.231 -69.6107
121.948233 81.038 -73.2706
122.314444 80.672 -77.3329
122.680655 80.082 -81.0553
123.046866 79.334 -83.6448
123.413077 78.487 -85.0531
123.779288 77.554 -84.9185
124.145499 76.671 -82.8748
124.511710 75.935 -79.2697
124.877921 75.466 -73.9669
125.244132 75.481 -68.4594
125.610343 75.828 -64.6879
125.976553 76.349 -62.7378
126.342764 76.879 -62.9465
126.708975 77.175 -64.0361
127.075186 77.373 -64.3998
127.441397 77.644 -65.1993
127.807608 77.834 -67.1466
128.173819 77.947 -69.2828
128.540030 78.104 -71.7063
128.906241 78.226 -74.8287
129.272452 78.206 -78.1432
129.638663 78.050 -81.1825
130.004873 77.811 -83.9725
130.371084 77.512 -86.7118
130.737295 77.130 -89.4751
131.103506 76.602 -91.8306
131.469717 75.969 -92.7643
131.835928 75.446 -92.3688
132.202139 75.036 -92.2242
132.568350 74.546 -91.9919
132.934561 74.099 -90.5975
133.300772 73.786 -88.8552
133.666983 73.538 -86.7144
134.033193 73.477 -84.5856
134.399404 73.473 -83.9465
134.765615 73.340 -83.8843
135.131826 73.180 -83.5093
135.498037 73.025 -82.6858
135.864248 72.919 -81.1523
136.230459 72.828 -79.4128
136.596670 72.716 -76.9672
136.962881 72.768 -74.5603
137.329092 72.818 -73.2753
137.695303 72.884 -71.3485
138.061513 73.219 -69.8936
138.427724 73.488 -69.7573
138.793935 73.691 -68.8689
139.160146 74.009 -68.4845
139.526357 74.186 -68.7296
139.892568 74.387 -68.4373
140.258779 74.639 -69.5562
140.624990 74.684 -71.2335
140.991201 74.832 -72.4684
141.357412 75.108 -75.1349
141.723623 75.286 -77.8181
142.089833 75.554 -79.9293
142.456044 75.688 -82.9563
142.822255 75.501 -85.1320
143.188466 75.354 -86.5231
143.554677 75.162 -89.0857
143.920888 74.789 -90.9440
144.287099 74.490 -91.5443
144.653310 74.157 -91.7201
145.019521 73.836 -90.5621
145.385732 73.683 -89.8827
145.751942 73.409 -89.8380
146.118153 73.202 -88.4425
146.484364 73.256 -87.5208
146.850575 73.267 -87.5470
147.216786 73.230 -87.3386
147.582997 73.188 -87.0094
147.949208 73.147 -86.2734
148.315419 73.148 -85.4269
148.681630 73.191 -84.5732
149.047841 73.381 -84.5371
149.414052 73.513 -85.8875
149.780262 73.566 -86.3436
150.146473 73.790 -86.7050
150.512684 73.790 -88.2335
150.878895 73.558 -88.1545
151.245106 73.611 -88.0978
151.611317 73.616 -90.0759
151.977528 73.491 -90.7516
152.343739 73.552 -90.5084
152.709950 73.536 -90.3276
153.076161 73.579 -89.2509
153.442372 73.772 -89.6914
153.808582 73.778 -90.4762
154.174793 73.925 -89.6440
154.541004 74.241 -90.0446
154.907215 74.317 -91.3759
155.273426 74.350 -92.1447
155.639637 74.527 -92.9775
156.005848 74.842 -93.6953
156.372059 75.190 -94.7791
156.738270 75.328 -95.9119
157.104481 75.429 -96.9214
157.470692 75.584 -99.7604
157.836902 75.671 -103.3572
158.203113 75.919 -106.1982
158.569324 76.209 -109.5791
158.935535 76.213 -112.7708
