* Generated by rew_pipeline.py (source UUID 3345a9fc-2b9f-4cd3-b89a-36b93d3c0b7d, calibrated to its own SPL at 100 Hz)
* Measurement: R.nofdw.clean-fdw6
* Dated: 2026-Sep-12 16:19:00
* Note: ; Copy of R.0 10 sept 2026 Position MLP 4.18m from front wall 3.32m from RLand L speaker 1.20m speakers to front wall marker: green 2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY -0.0108 ms (-3.7 mm, -0.15 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.2 ppm
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.000000 35.878 180.0000
0.366211 38.664 78.8622
0.732422 36.106 13.6019
1.098633 50.961 -130.8776
1.464844 53.689 98.5733
1.831055 56.535 36.2650
2.197266 52.046 11.1235
2.563477 56.747 43.2300
2.929688 51.049 85.7570
3.295898 57.444 173.3844
3.662109 54.101 32.3229
4.028320 56.276 8.8795
4.394531 59.083 -158.4915
4.760742 45.881 -72.6369
5.126953 54.676 -106.6647
5.493164 22.027 174.4280
5.859375 46.337 -29.1253
6.225586 56.164 -132.0233
6.591797 53.103 -117.4381
6.958008 34.627 -59.2285
7.324219 44.058 132.6198
7.690430 47.425 -62.3283
8.056641 49.149 -2.0208
8.422852 42.795 125.1455
8.789062 50.284 43.5713
9.155273 44.604 -10.6252
9.521484 49.710 70.5382
9.887695 54.731 -32.7036
10.253906 49.717 -144.5662
10.620117 54.668 73.4023
10.986328 62.403 -58.1953
11.352539 62.847 175.7241
11.718750 67.978 28.1980
12.084961 64.796 -118.6621
12.451172 59.169 113.3275
12.817383 60.851 -27.0905
13.183594 65.086 -170.9271
13.549805 65.880 54.9654
13.916016 66.204 -98.0105
14.282227 68.743 131.9406
14.648438 68.226 -6.1393
15.014648 68.708 -139.6881
15.380859 70.637 92.1902
15.747070 70.350 -44.6501
16.113281 72.270 175.5665
16.479492 72.741 35.2383
16.845703 73.602 -102.9048
17.211914 74.382 116.2731
17.578125 74.192 -17.5771
17.944336 74.945 -157.0665
18.310547 74.710 64.5583
18.676758 76.152 -70.8583
19.042969 76.786 151.1716
19.409180 76.368 8.5825
19.775391 76.832 -128.1027
20.141602 77.036 97.4609
20.507812 76.885 -41.9466
20.874023 76.669 179.4734
21.240234 76.537 50.1344
21.606445 76.885 -85.1018
21.972656 76.658 140.8768
22.338867 77.269 3.6226
22.705078 77.729 -132.4083
23.071289 77.923 91.2790
23.437500 78.059 -45.6704
23.803711 78.481 179.1534
24.169922 78.331 40.6595
24.536133 78.966 -93.3848
24.902344 78.957 132.3851
25.268555 79.326 -7.6608
25.634766 79.553 -142.6810
