* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 12, 2026, 4:18:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of FR.clean-fdw6 Cal file effects not included LF tail from 16 Hz at 0 dB/octave No HF tail
* Measurement: RFilter.clean-fdw6
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 0.000 -0.0258
0.732422 0.000 -0.0516
1.098633 0.000 -0.0774
1.464844 0.000 -0.1032
1.831055 0.000 -0.1291
2.197266 -0.000 -0.1549
2.563477 0.000 -0.1807
2.929688 0.000 -0.2065
3.295899 -0.000 -0.2324
3.662110 -0.000 -0.2583
4.028321 0.000 -0.2842
4.394532 -0.000 -0.3101
4.760743 -0.000 -0.3360
5.126954 0.000 -0.3620
5.493164 0.000 -0.3880
5.859375 -0.000 -0.4140
6.225586 -0.000 -0.4401
6.591797 0.000 -0.4661
6.958008 -0.000 -0.4923
7.324219 -0.000 -0.5184
7.690430 -0.000 -0.5446
8.056641 0.000 -0.5708
8.422852 -0.000 -0.5970
8.789063 0.000 -0.6233
9.155274 -0.000 -0.6496
9.521485 0.000 -0.6760
9.887696 -0.000 -0.7025
10.253907 -0.000 -0.7289
10.620118 0.000 -0.7555
10.986329 -0.000 -0.7820
11.352540 -0.000 -0.8087
11.718751 -0.000 -0.8354
12.084962 0.000 -0.8621
12.451173 -0.000 -0.8890
12.817384 -0.000 -0.9158
13.183595 -0.000 -0.9428
13.549806 0.000 -0.9698
13.916017 0.000 -0.9969
14.282228 -0.000 -1.0240
14.648439 -0.000 -1.0513
15.014650 0.000 -1.0785
15.380861 0.000 -1.1059
15.747072 0.000 -1.1334
16.113283 -0.000 -1.1609
16.479493 0.000 -1.1886
16.845704 0.000 -1.2163
17.211915 0.000 -1.2441
17.578126 0.000 -1.2720
17.944337 0.000 -1.3000
18.310548 0.000 -1.3281
18.676759 0.000 -1.3563
19.042970 -0.000 -1.3846
19.409181 0.000 -1.4130
19.775392 0.000 -1.4415
20.141603 0.000 -1.4701
20.507814 -0.000 -1.4988
20.874025 0.000 -1.5277
21.240236 0.000 -1.5566
21.606447 0.000 -1.5857
21.972658 0.000 -1.6149
22.338869 0.000 -1.6443
22.705080 0.000 -1.6737
23.071291 0.000 -1.7033
23.437502 0.000 -1.7330
23.803713 0.000 -1.7629
24.169924 -0.000 -1.7928
24.536135 0.000 -1.8230
24.902346 0.000 -1.8532
25.268557 0.000 -1.8837
25.634768 -0.000 -1.9143
26.000979 0.000 -1.9450
26.367190 -0.000 -1.9759
26.733401 0.000 -2.0070
27.099612 -0.000 -2.0382
27.465823 0.000 -2.0696
27.832033 -0.000 -2.1012
28.198244 0.000 -2.1329
28.564455 0.000 -2.1649
28.930666 -0.000 -2.1970
29.296877 -0.000 -2.2293
29.663088 0.000 -2.2618
30.029299 0.000 -2.2945
30.395510 0.000 -2.3274
30.761721 0.000 -2.3605
31.127932 0.000 -2.3938
31.494143 -0.000 -2.4273
31.860354 0.000 -2.4611
32.226565 -0.000 -2.4950
32.592776 0.000 -2.5293
32.958987 -0.000 -2.5637
33.325198 0.000 -2.5983
33.691409 -0.000 -2.6332
34.057620 0.000 -2.6684
34.423831 -0.000 -2.7038
34.790042 0.000 -2.7394
35.156253 -0.000 -2.7754
35.522464 0.000 -2.8116
35.888675 -0.000 -2.8480
36.254886 0.000 -2.8848
36.621097 -0.000 -2.9219
36.987308 0.000 -2.9592
37.353519 0.000 -2.9968
37.719730 0.000 -3.0348
38.085941 -0.000 -3.0730
38.452152 0.000 -3.1116
38.818363 -0.000 -3.1505
39.184573 0.000 -3.1898
39.550784 0.000 -3.2293
39.916995 0.000 -3.2693
40.283206 0.000 -3.3096
40.649417 -0.000 -3.3502
41.015628 0.000 -3.3913
41.381839 0.000 -3.4327
41.748050 -0.000 -3.4745
42.114261 0.000 -3.5167
42.480472 -0.000 -3.5593
42.846683 -0.000 -3.6024
43.212894 0.000 -3.6458
43.579105 -0.000 -3.6898
43.945316 0.000 -3.7342
44.311527 0.000 -3.7790
44.677738 0.000 -3.8243
45.043949 0.000 -3.8701
45.410160 -0.000 -3.9165
45.776371 0.000 -3.9633
46.142582 0.000 -4.0106
46.508793 0.000 -4.0585
46.875004 0.000 -4.1070
47.241215 0.000 -4.1560
47.607426 0.000 -4.2057
47.973637 0.000 -4.2559
48.339848 0.000 -4.3067
48.706059 0.000 -4.3582
49.072270 0.000 -4.4103
49.438481 0.000 -4.4632
49.804692 0.000 -4.5167
50.170902 0.000 -4.5709
50.537113 0.000 -4.6259
50.903324 0.000 -4.6816
51.269535 0.000 -4.7381
51.635746 0.000 -4.7955
52.001957 0.000 -4.8536
52.368168 0.000 -4.9127
52.734379 0.000 -4.9726
53.100590 0.000 -5.0335
53.466801 0.000 -5.0953
53.833012 0.000 -5.1581
54.199223 0.000 -5.2219
54.565434 0.000 -5.2868
54.931645 0.000 -5.3529
55.297856 0.000 -5.4200
55.664067 0.000 -5.4884
56.030278 0.000 -5.5580
56.396489 0.000 -5.6289
56.762700 0.000 -5.7011
57.128911 0.000 -5.7748
57.495122 0.000 -5.8499
57.861333 0.000 -5.9266
58.227544 0.000 -6.0048
58.593755 0.000 -6.0848
58.959966 0.000 -6.1666
59.326177 0.000 -6.2502
59.692388 0.000 -6.3358
60.058599 0.000 -6.4234
60.424810 0.000 -6.5132
60.791021 0.000 -6.6054
61.157232 0.000 -6.7000
61.523442 0.000 -6.7972
61.889653 0.000 -6.8973
62.255864 0.000 -7.0003
62.622075 0.000 -7.1065
62.988286 0.000 -7.2162
63.354497 0.000 -7.3296
63.720708 0.000 -7.4470
64.086919 0.000 -7.5689
64.453130 0.000 -7.6956
64.819341 0.000 -7.8278
65.185552 0.000 -7.9658
65.551763 0.000 -8.1106
65.917974 -0.000 -8.2632
66.284185 -0.000 -8.4247
66.650396 -0.000 -8.5968
67.016607 -0.000 -8.7819
67.382818 -0.000 -8.9841
67.749029 -0.001 -9.2082
68.115240 -0.004 -9.4579
68.481451 -0.011 -9.7369
68.847662 -0.023 -10.0366
69.213873 -0.043 -10.3386
69.580084 -0.069 -10.6293
69.946295 -0.098 -10.8982
70.312506 -0.131 -11.1479
70.678717 -0.167 -11.3810
71.044928 -0.204 -11.5995
71.411139 -0.243 -11.8047
71.777350 -0.284 -11.9965
72.143561 -0.327 -12.1740
72.509771 -0.373 -12.3362
72.875982 -0.420 -12.4815
73.242193 -0.469 -12.6084
73.608404 -0.519 -12.7152
73.974615 -0.571 -12.8003
74.340826 -0.624 -12.8631
74.707037 -0.677 -12.9026
75.073248 -0.731 -12.9180
75.439459 -0.784 -12.9106
75.805670 -0.837 -12.8811
76.171881 -0.888 -12.8324
76.538092 -0.938 -12.7701
76.904303 -0.987 -12.6989
77.270514 -1.036 -12.6296
77.636725 -1.086 -12.5589
78.002936 -1.142 -12.4830
78.369147 -1.203 -12.3719
78.735358 -1.271 -12.2004
79.101569 -1.339 -11.9417
79.467780 -1.404 -11.5929
79.833991 -1.461 -11.1693
80.200202 -1.508 -10.6805
80.566413 -1.544 -10.1482
80.932624 -1.568 -9.5856
81.298835 -1.579 -9.0058
81.665046 -1.579 -8.4211
82.031257 -1.565 -7.8412
82.397468 -1.540 -7.2766
82.763679 -1.504 -6.7362
83.129890 -1.455 -6.2299
83.496101 -1.396 -5.7675
83.862311 -1.327 -5.3577
84.228522 -1.248 -5.0124
84.594733 -1.160 -4.7394
84.960944 -1.065 -4.5521
85.327155 -0.964 -4.4646
85.693366 -0.860 -4.4836
86.059577 -0.755 -4.6342
86.425788 -0.657 -4.8981
86.791999 -0.569 -5.2853
87.158210 -0.497 -5.7400
87.524421 -0.441 -6.2395
87.890632 -0.400 -6.7269
88.256843 -0.368 -7.1983
88.623054 -0.344 -7.6340
88.989265 -0.322 -8.0526
89.355476 -0.303 -8.4543
89.721687 -0.284 -8.8526
90.087898 -0.267 -9.2515
90.454109 -0.250 -9.6569
90.820320 -0.234 -10.0718
91.186531 -0.220 -10.4995
91.552742 -0.206 -10.9417
91.918953 -0.194 -11.4009
92.285164 -0.183 -11.8787
92.651375 -0.174 -12.3778
93.017586 -0.166 -12.9011
93.383797 -0.160 -13.4516
93.750008 -0.156 -14.0366
94.116219 -0.155 -14.6591
94.482430 -0.157 -15.3349
94.848641 -0.164 -16.0610
95.214851 -0.179 -16.8620
95.581062 -0.207 -17.7130
95.947273 -0.250 -18.6249
96.313484 -0.314 -19.5456
96.679695 -0.397 -20.4502
97.045906 -0.500 -21.3022
97.412117 -0.616 -22.0687
97.778328 -0.744 -22.7544
98.144539 -0.878 -23.3443
98.510750 -1.018 -23.8566
98.876961 -1.161 -24.2894
99.243172 -1.305 -24.6551
99.609383 -1.450 -24.9559
99.975594 -1.596 -25.1985
100.341805 -1.743 -25.3856
100.708016 -1.889 -25.5206
101.074227 -2.034 -25.6061
101.440438 -2.179 -25.6443
101.806649 -2.323 -25.6373
102.172860 -2.466 -25.5873
102.539071 -2.607 -25.4955
102.905282 -2.747 -25.3638
103.271493 -2.885 -25.1935
103.637704 -3.022 -24.9859
104.003915 -3.156 -24.7419
104.370126 -3.289 -24.4632
104.736337 -3.418 -24.1505
105.102548 -3.546 -23.8053
105.468759 -3.671 -23.4284
105.834970 -3.793 -23.0213
106.201180 -3.913 -22.5844
106.567391 -4.029 -22.1194
106.933602 -4.142 -21.6264
107.299813 -4.253 -21.1074
107.666024 -4.360 -20.5623
108.032235 -4.463 -19.9934
108.398446 -4.563 -19.4006
108.764657 -4.660 -18.7861
109.130868 -4.752 -18.1499
109.497079 -4.841 -17.4940
109.863290 -4.926 -16.8185
110.229501 -5.007 -16.1251
110.595712 -5.084 -15.4143
110.961923 -5.157 -14.6873
111.328134 -5.225 -13.9451
111.694345 -5.290 -13.1882
112.060556 -5.349 -12.4187
112.426767 -5.404 -11.6367
112.792978 -5.455 -10.8453
113.159189 -5.500 -10.0457
113.525400 -5.541 -9.2406
113.891611 -5.576 -8.4329
114.257822 -5.607 -7.6240
114.624033 -5.633 -6.8158
114.990244 -5.655 -6.0099
115.356455 -5.673 -5.2064
115.722666 -5.686 -4.4070
116.088877 -5.696 -3.6117
116.455088 -5.701 -2.8216
116.821299 -5.703 -2.0373
117.187510 -5.701 -1.2596
117.553720 -5.695 -0.4893
117.919931 -5.685 0.2730
118.286142 -5.673 1.0262
118.652353 -5.656 1.7700
119.018564 -5.636 2.5033
119.384775 -5.614 3.2259
119.750986 -5.588 3.9367
120.117197 -5.558 4.6352
120.483408 -5.526 5.3211
120.849619 -5.492 5.9933
121.215830 -5.454 6.6520
121.582041 -5.414 7.2959
121.948252 -5.371 7.9251
122.314463 -5.326 8.5389
122.680674 -5.279 9.1368
123.046885 -5.230 9.7191
123.413096 -5.179 10.2843
123.779307 -5.126 10.8335
124.145518 -5.071 11.3655
124.511729 -5.015 11.8804
124.877940 -4.957 12.3786
125.244151 -4.897 12.8589
125.610362 -4.837 13.3226
125.976573 -4.775 13.7685
126.342784 -4.713 14.1972
126.708995 -4.650 14.6091
127.075206 -4.586 15.0033
127.441417 -4.521 15.3813
127.807628 -4.456 15.7421
128.173839 -4.390 16.0864
128.540049 -4.324 16.4149
128.906260 -4.258 16.7269
129.272471 -4.192 17.0237
129.638682 -4.126 17.3049
130.004893 -4.060 17.5711
130.371104 -3.994 17.8231
130.737315 -3.928 18.0604
131.103526 -3.863 18.2843
131.469737 -3.798 18.4949
131.835948 -3.734 18.6924
132.202159 -3.669 18.8778
132.568370 -3.606 19.0510
132.934581 -3.543 19.2129
133.300792 -3.481 19.3638
133.667003 -3.419 19.5038
134.033214 -3.358 19.6340
134.399425 -3.298 19.7543
134.765636 -3.239 19.8652
135.131847 -3.180 19.9675
135.498058 -3.123 20.0613
135.864269 -3.066 20.1472
136.230480 -3.010 20.2258
136.596691 -2.955 20.2974
136.962902 -2.900 20.3626
137.329113 -2.847 20.4217
137.695324 -2.795 20.4751
138.061535 -2.743 20.5234
138.427746 -2.692 20.5668
