* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 12, 2026, 4:18:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of RX.clean-fdw6 Cal file effects included LF tail from 16 Hz at 12 dB/octave No HF tail
* Measurement: RX-MP.clean-fdw6
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 2.571 171.3861
0.732422 14.551 173.0589
1.098633 21.501 172.9465
1.464844 26.441 172.6098
1.831055 30.312 172.0957
2.197265 33.507 171.2821
2.563476 36.213 170.1819
2.929687 38.541 168.9381
3.295898 40.577 167.7056
3.662109 42.394 166.5440
4.028320 44.045 165.4152
4.394531 45.559 164.2587
4.760742 46.952 163.0588
5.126953 48.240 161.8449
5.493164 49.439 160.6391
5.859375 50.564 159.4250
6.225585 51.623 158.1700
6.591796 52.616 156.8780
6.958007 53.546 155.6030
7.324218 54.425 154.4000
7.690429 55.270 153.2596
8.056640 56.090 152.0972
8.422851 56.881 150.8271
8.789062 57.628 149.4544
9.155273 58.324 148.0894
9.521484 58.979 146.8586
9.887695 59.621 145.7821
10.253905 60.265 144.7337
10.620116 60.907 143.5426
10.986327 61.519 142.1593
11.352538 62.079 140.7216
11.718749 62.592 139.4539
12.084960 63.092 138.4719
12.451171 63.615 137.6523
12.817382 64.164 136.7173
13.183593 64.702 135.5000
13.549804 65.181 134.1478
13.916015 65.589 133.0756
14.282225 65.980 132.6856
14.648436 66.449 132.9943
15.014647 67.076 133.4530
15.380858 67.849 133.2665
15.747069 68.674 131.9716
16.113280 69.450 129.6644
16.479491 70.123 126.7842
16.845702 70.697 123.7877
17.211913 71.212 120.9220
17.578124 71.710 118.1574
17.944335 72.210 115.2916
18.310545 72.694 112.1501
18.676756 73.132 108.7254
19.042967 73.504 105.1697
19.409178 73.811 101.6830
19.775389 74.074 98.3932
20.141600 74.319 95.2988
20.507811 74.560 92.3006
20.874022 74.795 89.2941
21.240233 75.013 86.2443
21.606444 75.207 83.1913
21.972654 75.378 80.1968
22.338865 75.535 77.2843
22.705076 75.688 74.4187
23.071287 75.837 71.5361
23.437498 75.978 68.5923
23.803709 76.101 65.5883
24.169920 76.203 62.5576
24.536131 76.286 59.5316
24.902342 76.353 56.5141
25.268553 76.407 53.4828
25.634764 76.445 50.4114
26.000974 76.463 47.2925
26.367185 76.456 44.1418
26.733396 76.422 40.9855
27.099607 76.361 37.8444
27.465818 76.274 34.7263
27.832029 76.161 31.6331
28.198240 76.018 28.5725
28.564451 75.844 25.5653
28.930662 75.638 22.6429
29.296873 75.400 19.8378
29.663084 75.132 17.1772
30.029294 74.836 14.6812
30.395505 74.517 12.3668
30.761716 74.174 10.2524
31.127927 73.813 8.3567
31.494138 73.436 6.6955
31.860349 73.050 5.2769
32.226560 72.658 4.1006
32.592771 72.264 3.1600
32.958982 71.873 2.4448
33.325193 71.488 1.9422
33.691404 71.110 1.6381
34.057614 70.741 1.5186
34.423825 70.383 1.5731
34.790036 70.036 1.7956
35.156247 69.701 2.1823
35.522458 69.382 2.7284
35.888669 69.080 3.4248
36.254880 68.797 4.2594
36.621091 68.536 5.2186
36.987302 68.298 6.2876
37.353513 68.086 7.4483
37.719724 67.902 8.6768
38.085934 67.746 9.9437
38.452145 67.619 11.2175
38.818356 67.520 12.4676
39.184567 67.447 13.6652
39.550778 67.398 14.7831
39.916989 67.370 15.7959
40.283200 67.358 16.6817
40.649411 67.357 17.4247
41.015622 67.364 18.0162
41.381833 67.371 18.4543
41.748044 67.375 18.7438
42.114254 67.369 18.8963
42.480465 67.349 18.9302
42.846676 67.311 18.8692
43.212887 67.253 18.7406
43.579098 67.170 18.5737
43.945309 67.063 18.3996
44.311520 66.929 18.2518
44.677731 66.767 18.1673
45.043942 66.578 18.1856
45.410153 66.364 18.3473
45.776363 66.127 18.6925
46.142574 65.871 19.2610
46.508785 65.600 20.0919
46.874996 65.320 21.2224
47.241207 65.041 22.6852
47.607418 64.773 24.5026
47.973629 64.528 26.6800
48.339840 64.319 29.1988
48.706051 64.160 32.0110
49.072262 64.063 35.0383
49.438473 64.033 38.1779
49.804683 64.074 41.3161
50.170894 64.179 44.3463
50.537105 64.341 47.1833
50.903316 64.546 49.7711
51.269527 64.785 52.0818
51.635738 65.044 54.1109
52.001949 65.315 55.8716
52.368160 65.590 57.3884
52.734371 65.864 58.6925
53.100582 66.131 59.8169
53.466793 66.391 60.7939
53.833003 66.642 61.6533
54.199214 66.883 62.4223
54.565425 67.115 63.1250
54.931636 67.340 63.7823
55.297847 67.558 64.4109
55.664058 67.773 65.0228
56.030269 67.985 65.6255
56.396480 68.198 66.2217
56.762691 68.414 66.8102
57.128902 68.635 67.3853
57.495113 68.861 67.9389
57.861323 69.094 68.4604
58.227534 69.335 68.9382
58.593745 69.584 69.3601
58.959956 69.839 69.7142
59.326167 70.101 69.9896
59.692378 70.368 70.1771
60.058589 70.638 70.2698
60.424800 70.909 70.2637
60.791011 71.181 70.1568
61.157222 71.451 69.9494
61.523433 71.717 69.6432
61.889643 71.978 69.2417
62.255854 72.233 68.7498
62.622065 72.480 68.1740
62.988276 72.718 67.5216
63.354487 72.946 66.8006
63.720698 73.164 66.0195
64.086909 73.371 65.1867
64.453120 73.567 64.3112
64.819331 73.751 63.4018
65.185542 73.924 62.4676
65.551753 74.086 61.5169
65.917963 74.237 60.5577
66.284174 74.377 59.5974
66.650385 74.508 58.6426
67.016596 74.630 57.6991
67.382807 74.745 56.7719
67.749018 74.852 55.8648
68.115229 74.953 54.9810
68.481440 75.049 54.1222
68.847651 75.141 53.2891
69.213862 75.231 52.4812
69.580072 75.318 51.6968
69.946283 75.405 50.9333
70.312494 75.491 50.1869
70.678705 75.578 49.4531
71.044916 75.667 48.7267
71.411127 75.756 48.0017
71.777338 75.848 47.2720
72.143549 75.941 46.5313
72.509760 76.036 45.7734
72.875971 76.132 44.9924
73.242182 76.229 44.1829
73.608392 76.327 43.3400
73.974603 76.424 42.4594
74.340814 76.520 41.5374
74.707025 76.614 40.5713
75.073236 76.705 39.5596
75.439447 76.791 38.5013
75.805658 76.873 37.3970
76.171869 76.949 36.2478
76.538080 77.017 35.0558
76.904291 77.078 33.8240
77.270502 77.130 32.5558
77.636712 77.173 31.2553
78.002923 77.205 29.9272
78.369134 77.226 28.5766
78.735345 77.236 27.2095
79.101556 77.233 25.8321
79.467767 77.218 24.4511
79.833978 77.191 23.0734
80.200189 77.150 21.7062
80.566400 77.096 20.3566
80.932611 77.030 19.0320
81.298822 76.950 17.7400
81.665032 76.857 16.4882
82.031243 76.752 15.2841
82.397454 76.635 14.1352
82.763665 76.506 13.0491
83.129876 76.366 12.0331
83.496087 76.216 11.0946
83.862298 76.056 10.2408
84.228509 75.887 9.4786
84.594720 75.711 8.8144
84.960931 75.528 8.2542
85.327142 75.341 7.8032
85.693352 75.150 7.4662
86.059563 74.956 7.2470
86.425774 74.762 7.1487
86.791985 74.570 7.1733
87.158196 74.380 7.3215
87.524407 74.196 7.5925
87.890618 74.019 7.9839
88.256829 73.851 8.4914
88.623040 73.694 9.1092
88.989251 73.550 9.8298
89.355462 73.420 10.6436
89.721672 73.306 11.5397
90.087883 73.209 12.5052
90.454094 73.131 13.5265
90.820305 73.072 14.5892
91.186516 73.032 15.6784
91.552727 73.011 16.7798
91.918938 73.009 17.8789
92.285149 73.025 18.9623
92.651360 73.059 20.0173
93.017571 73.109 21.0329
93.383781 73.174 21.9997
93.749992 73.253 22.9100
94.116203 73.345 23.7580
94.482414 73.447 24.5392
94.848625 73.558 25.2505
95.214836 73.678 25.8901
95.581047 73.804 26.4572
95.947258 73.935 26.9520
96.313469 74.071 27.3759
96.679680 74.211 27.7309
97.045891 74.353 28.0193
97.412101 74.496 28.2436
97.778312 74.641 28.4064
98.144523 74.787 28.5100
98.510734 74.932 28.5571
98.876945 75.077 28.5504
99.243156 75.221 28.4929
99.609367 75.364 28.3875
99.975578 75.506 28.2367
100.341789 75.646 28.0426
100.708000 75.785 27.8072
101.074211 75.922 27.5321
101.440421 76.057 27.2191
101.806632 76.190 26.8697
102.172843 76.320 26.4856
102.539054 76.449 26.0684
102.905265 76.575 25.6191
103.271476 76.698 25.1389
103.637687 76.820 24.6283
104.003898 76.938 24.0881
104.370109 77.055 23.5190
104.736320 77.168 22.9219
105.102531 77.278 22.2978
105.468741 77.386 21.6479
105.834952 77.490 20.9730
106.201163 77.592 20.2740
106.567374 77.690 19.5514
106.933585 77.785 18.8061
107.299796 77.876 18.0387
107.666007 77.964 17.2503
108.032218 78.048 16.4417
108.398429 78.128 15.6142
108.764640 78.205 14.7689
109.130851 78.277 13.9068
109.497061 78.346 13.0292
109.863272 78.410 12.1371
110.229483 78.471 11.2315
110.595694 78.527 10.3135
110.961905 78.579 9.3843
111.328116 78.627 8.4451
111.694327 78.670 7.4970
112.060538 78.709 6.5413
112.426749 78.744 5.5793
112.792960 78.775 4.6122
113.159171 78.801 3.6413
113.525381 78.823 2.6677
113.891592 78.841 1.6925
114.257803 78.854 0.7166
114.624014 78.863 -0.2589
114.990225 78.869 -1.2330
115.356436 78.870 -2.2047
115.722647 78.867 -3.1730
116.088858 78.860 -4.1367
116.455069 78.849 -5.0950
116.821280 78.834 -6.0469
117.187490 78.816 -6.9916
117.553701 78.794 -7.9281
117.919912 78.768 -8.8558
118.286123 78.739 -9.7739
118.652334 78.707 -10.6817
119.018545 78.671 -11.5784
119.384756 78.632 -12.4636
119.750967 78.590 -13.3365
120.117178 78.545 -14.1965
120.483389 78.497 -15.0432
120.849600 78.446 -15.8759
121.215810 78.393 -16.6941
121.582021 78.337 -17.4972
121.948232 78.278 -18.2847
122.314443 78.218 -19.0563
122.680654 78.155 -19.8114
123.046865 78.090 -20.5499
123.413076 78.023 -21.2715
123.779287 77.954 -21.9762
124.145498 77.884 -22.6639
124.511709 77.812 -23.3342
124.877920 77.739 -23.9871
125.244130 77.664 -24.6222
125.610341 77.589 -25.2395
125.976552 77.512 -25.8390
126.342763 77.434 -26.4211
126.708974 77.356 -26.9859
127.075185 77.277 -27.5335
127.441396 77.197 -28.0642
127.807607 77.117 -28.5782
128.173818 77.037 -29.0756
128.540029 76.956 -29.5567
128.906240 76.876 -30.0219
129.272450 76.795 -30.4716
129.638661 76.714 -30.9060
130.004872 76.634 -31.3256
130.371083 76.554 -31.7307
130.737294 76.474 -32.1218
131.103505 76.394 -32.4996
131.469716 76.315 -32.8646
131.835927 76.237 -33.2172
132.202138 76.159 -33.5581
132.568349 76.081 -33.8876
132.934560 76.005 -34.2061
133.300770 75.929 -34.5143
133.666981 75.854 -34.8125
134.033192 75.780 -35.1016
134.399403 75.706 -35.3818
134.765614 75.634 -35.6539
135.131825 75.562 -35.9183
135.498036 75.491 -36.1754
135.864247 75.422 -36.4259
136.230458 75.353 -36.6703
136.596669 75.285 -36.9092
136.962880 75.218 -37.1430
137.329090 75.152 -37.3723
137.695301 75.087 -37.5976
138.061512 75.023 -37.8194
138.427723 74.960 -38.0383
138.793934 74.898 -38.2548
139.160145 74.837 -38.4693
139.526356 74.777 -38.6823
139.892567 74.717 -38.8944
140.258778 74.659 -39.1061
140.624989 74.601 -39.3178
140.991199 74.545 -39.5299
141.357410 74.489 -39.7431
141.723621 74.433 -39.9576
142.089832 74.379 -40.1740
142.456043 74.325 -40.3928
142.822254 74.272 -40.6143
143.188465 74.219 -40.8391
143.554676 74.167 -41.0673
143.920887 74.115 -41.2995
144.287098 74.063 -41.5358
144.653309 74.012 -41.7767
145.019519 73.962 -42.0227
145.385730 73.911 -42.2740
145.751941 73.860 -42.5312
146.118152 73.810 -42.7943
146.484363 73.759 -43.0635
146.850574 73.708 -43.3387
147.216785 73.657 -43.6197
147.582996 73.605 -43.9066
147.949207 73.553 -44.1992
148.315418 73.501 -44.4977
148.681629 73.448 -44.8023
149.047839 73.394 -45.1129
149.414050 73.340 -45.4295
149.780261 73.285 -45.7521
150.146472 73.229 -46.0804
150.512683 73.172 -46.4142
150.878894 73.114 -46.7536
