* Measurement data measured by REW V5.40 beta 133
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Sep 12, 2026, 4:18:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = R-SP.clean-fdw6 B = X801 
* Measurement: RX.clean-fdw6
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 33.004 -83.9749
2.563477 33.428 -68.9684
2.929687 33.787 -54.3037
3.295898 34.170 -39.3326
3.662109 34.666 -24.7081
4.028320 35.149 -11.1329
4.394531 35.466 2.3386
4.760742 35.760 17.2248
5.126953 36.360 32.7210
5.493164 37.196 46.0064
5.859375 37.781 56.7903
6.225586 37.872 68.2721
6.591797 37.896 83.8402
6.958007 38.650 101.2212
7.324218 39.899 114.0097
7.690429 40.677 122.2008
8.056640 40.580 131.2535
8.422851 40.208 147.2580
8.789062 41.031 167.6248
9.155273 42.764 -179.1647
9.521484 43.845 -173.0706
9.887695 43.690 -166.5692
10.253906 42.906 -150.7776
10.620117 43.715 -126.6801
10.986327 46.014 -112.2182
11.352538 47.506 -107.6506
11.718749 47.441 -103.3784
12.084960 46.328 -87.9200
12.451171 47.203 -59.0140
12.817382 50.312 -42.8574
13.183593 52.396 -39.6346
13.549804 52.544 -37.0218
13.916015 51.101 -18.7148
14.282226 53.323 22.0746
14.648436 59.001 37.5558
15.014647 63.360 35.7334
15.380858 66.341 28.9329
15.747069 68.314 21.1852
16.113280 69.545 14.2805
16.479491 70.265 9.2720
16.845702 70.714 6.6443
17.211913 71.124 6.0756
17.578124 71.630 6.4786
17.944335 72.209 6.7469
18.310546 72.753 6.4968
18.676756 73.185 6.0232
19.042967 73.507 5.7991
19.409178 73.772 6.0612
19.775389 74.036 6.6854
20.141600 74.315 7.3645
20.507811 74.587 7.8958
20.874022 74.824 8.3058
21.240233 75.019 8.7471
21.606444 75.189 9.3224
21.972655 75.357 9.9977
22.338866 75.529 10.6505
22.705076 75.699 11.1849
23.071287 75.852 11.5952
23.437498 75.983 11.9379
23.803709 76.094 12.2626
24.169920 76.193 12.5712
24.536131 76.281 12.8317
24.902342 76.357 13.0160
25.268553 76.413 13.1241
25.634764 76.448 13.1760
26.000975 76.461 13.1895
26.367186 76.452 13.1705
26.733396 76.420 13.1177
27.099607 76.362 13.0344
27.465818 76.276 12.9318
27.832029 76.162 12.8236
28.198240 76.018 12.7203
28.564451 75.843 12.6309
28.930662 75.638 12.5680
29.296873 75.400 12.5497
29.663084 75.132 12.5952
30.029295 74.836 12.7168
30.395506 74.516 12.9170
30.761716 74.174 13.1931
31.127927 73.813 13.5433
31.494138 73.437 13.9671
31.860349 73.050 14.4589
32.226560 72.657 15.0013
32.592771 72.264 15.5660
32.958982 71.874 16.1196
33.325193 71.488 16.6328
33.691404 71.110 17.0823
34.057615 70.741 17.4489
34.423826 70.382 17.7166
34.790036 70.035 17.8763
35.156247 69.702 17.9292
35.522458 69.382 17.8878
35.888669 69.080 17.7714
36.254880 68.797 17.6016
36.621091 68.536 17.4017
36.987302 68.298 17.1989
37.353513 68.087 17.0227
37.719724 67.902 16.9022
38.085935 67.746 16.8578
38.452145 67.619 16.9001
38.818356 67.520 17.0312
39.184567 67.448 17.2492
39.550778 67.398 17.5487
39.916989 67.369 17.9185
40.283200 67.357 18.3394
40.649411 67.357 18.7874
41.015622 67.364 19.2389
41.381833 67.372 19.6747
41.748044 67.375 20.0802
42.114255 67.369 20.4436
42.480465 67.349 20.7540
42.846676 67.311 21.0032
43.212887 67.253 21.1862
43.579098 67.171 21.3021
43.945309 67.063 21.3525
44.311520 66.928 21.3403
44.677731 66.767 21.2712
45.043942 66.579 21.1550
45.410153 66.364 21.0074
45.776364 66.127 20.8477
46.142575 65.870 20.6986
46.508785 65.599 20.5851
46.874996 65.320 20.5359
47.241207 65.041 20.5837
47.607418 64.773 20.7601
47.973629 64.527 21.0889
48.339840 64.319 21.5756
48.706051 64.160 22.2022
49.072262 64.063 22.9268
49.438473 64.034 23.6890
49.804684 64.074 24.4210
50.170895 64.179 25.0605
50.537105 64.340 25.5619
50.903316 64.546 25.9031
51.269527 64.785 26.0859
51.635738 65.044 26.1296
52.001949 65.315 26.0633
52.368160 65.590 25.9193
52.734371 65.864 25.7292
53.100582 66.131 25.5225
53.466793 66.391 25.3246
53.833004 66.642 25.1556
54.199215 66.883 25.0304
54.565425 67.115 24.9584
54.931636 67.340 24.9464
55.297847 67.558 24.9982
55.664058 67.773 25.1149
56.030269 67.985 25.2938
56.396480 68.198 25.5286
56.762691 68.414 25.8103
57.128902 68.635 26.1285
57.495113 68.861 26.4727
57.861324 69.094 26.8318
58.227535 69.335 27.1952
58.593745 69.584 27.5521
58.959956 69.839 27.8933
59.326167 70.101 28.2117
59.692378 70.368 28.5024
60.058589 70.638 28.7634
60.424800 70.909 28.9939
60.791011 71.181 29.1951
61.157222 71.451 29.3696
61.523433 71.717 29.5208
61.889644 71.978 29.6526
62.255854 72.233 29.7693
62.622065 72.480 29.8751
62.988276 72.718 29.9741
63.354487 72.946 30.0704
63.720698 73.164 30.1676
64.086909 73.371 30.2685
64.453120 73.567 30.3752
64.819331 73.751 30.4896
65.185542 73.924 30.6132
65.551753 74.086 30.7473
65.917964 74.237 30.8927
66.284174 74.377 31.0495
66.650385 74.508 31.2172
67.016596 74.630 31.3951
67.382807 74.745 31.5825
67.749018 74.852 31.7784
68.115229 74.953 31.9819
68.481440 75.049 32.1915
68.847651 75.141 32.4055
69.213862 75.231 32.6224
69.580073 75.318 32.8406
69.946284 75.405 33.0585
70.312494 75.491 33.2746
70.678705 75.578 33.4875
71.044916 75.667 33.6958
71.411127 75.756 33.8986
71.777338 75.848 34.0950
72.143549 75.941 34.2845
72.509760 76.036 34.4672
72.875971 76.132 34.6429
73.242182 76.229 34.8123
73.608393 76.327 34.9760
73.974604 76.424 35.1349
74.340814 76.520 35.2899
74.707025 76.614 35.4418
75.073236 76.705 35.5917
75.439447 76.791 35.7407
75.805658 76.873 35.8903
76.171869 76.949 36.0415
76.538080 77.017 36.1953
76.904291 77.078 36.3525
77.270502 77.130 36.5139
77.636713 77.173 36.6797
78.002924 77.205 36.8501
78.369134 77.226 37.0251
78.735345 77.236 37.2046
79.101556 77.233 37.3884
79.467767 77.218 37.5765
79.833978 77.191 37.7684
80.200189 77.150 37.9636
80.566400 77.096 38.1614
80.932611 77.030 38.3608
81.298822 76.950 38.5612
81.665033 76.857 38.7616
82.031244 76.752 38.9613
82.397454 76.635 39.1594
82.763665 76.506 39.3550
83.129876 76.366 39.5472
83.496087 76.216 39.7357
83.862298 76.056 39.9199
84.228509 75.887 40.0997
84.594720 75.711 40.2750
84.960931 75.528 40.4457
85.327142 75.341 40.6119
85.693353 75.150 40.7740
86.059563 74.956 40.9329
86.425774 74.762 41.0894
86.791985 74.570 41.2447
87.158196 74.380 41.4001
87.524407 74.196 41.5570
87.890618 74.019 41.7164
88.256829 73.851 41.8798
88.623040 73.694 42.0479
88.989251 73.550 42.2214
89.355462 73.420 42.4008
89.721673 73.306 42.5861
90.087883 73.209 42.7765
90.454094 73.131 42.9712
90.820305 73.072 43.1691
91.186516 73.032 43.3689
91.552727 73.011 43.5697
91.918938 73.009 43.7700
92.285149 73.025 43.9686
92.651360 73.059 44.1644
93.017571 73.109 44.3564
93.383782 73.174 44.5444
93.749993 73.253 44.7282
94.116203 73.345 44.9084
94.482414 73.447 45.0856
94.848625 73.558 45.2601
95.214836 73.678 45.4325
95.581047 73.804 45.6035
95.947258 73.935 45.7737
96.313469 74.071 45.9441
96.679680 74.211 46.1153
97.045891 74.353 46.2881
97.412102 74.496 46.4626
97.778313 74.641 46.6392
98.144523 74.787 46.8171
98.510734 74.932 46.9966
98.876945 75.077 47.1772
99.243156 75.221 47.3591
99.609367 75.364 47.5425
99.975578 75.506 47.7271
100.341789 75.646 47.9126
100.708000 75.785 48.0986
101.074211 75.922 48.2846
101.440422 76.057 48.4703
101.806633 76.190 48.6558
102.172843 76.320 48.8408
102.539054 76.449 49.0256
102.905265 76.575 49.2102
103.271476 76.698 49.3943
103.637687 76.820 49.5778
104.003898 76.938 49.7605
104.370109 77.055 49.9421
104.736320 77.168 50.1232
105.102531 77.278 50.3036
105.468742 77.386 50.4841
105.834953 77.490 50.6648
106.201163 77.592 50.8458
106.567374 77.690 51.0270
106.933585 77.785 51.2084
107.299796 77.876 51.3900
107.666007 77.964 51.5718
108.032218 78.048 51.7538
108.398429 78.128 51.9363
108.764640 78.205 52.1194
109.130851 78.277 52.3031
109.497062 78.346 52.4873
109.863272 78.410 52.6721
110.229483 78.471 52.8572
110.595694 78.527 53.0424
110.961905 78.579 53.2278
111.328116 78.627 53.4131
111.694327 78.670 53.5984
112.060538 78.709 53.7837
112.426749 78.744 53.9689
112.792960 78.775 54.1541
113.159171 78.801 54.3392
113.525382 78.823 54.5243
113.891592 78.841 54.7093
114.257803 78.854 54.8940
114.624014 78.863 55.0785
114.990225 78.869 55.2626
115.356436 78.870 55.4464
115.722647 78.867 55.6299
116.088858 78.860 55.8134
116.455069 78.849 55.9968
116.821280 78.834 56.1804
117.187491 78.816 56.3642
117.553702 78.794 56.5481
117.919912 78.768 56.7322
118.286123 78.739 56.9166
118.652334 78.707 57.1014
119.018545 78.671 57.2864
119.384756 78.632 57.4716
119.750967 78.590 57.6571
120.117178 78.545 57.8428
120.483389 78.497 58.0288
120.849600 78.446 58.2150
121.215811 78.393 58.4015
121.582022 78.337 58.5882
121.948232 78.278 58.7753
122.314443 78.218 58.9626
122.680654 78.155 59.1504
123.046865 78.090 59.3383
123.413076 78.023 59.5262
123.779287 77.954 59.7141
124.145498 77.884 59.9017
124.511709 77.812 60.0891
124.877920 77.739 60.2762
125.244131 77.664 60.4635
125.610342 77.589 60.6508
125.976552 77.512 60.8380
126.342763 77.434 61.0251
126.708974 77.356 61.2119
127.075185 77.277 61.3983
127.441396 77.197 61.5846
127.807607 77.117 61.7708
128.173818 77.037 61.9568
128.540029 76.956 62.1429
128.906240 76.876 62.3290
129.272451 76.795 62.5151
129.638662 76.714 62.7014
130.004872 76.634 62.8879
130.371083 76.554 63.0748
130.737294 76.474 63.2620
131.103505 76.394 63.4495
131.469716 76.315 63.6370
131.835927 76.237 63.8247
132.202138 76.159 64.0127
132.568349 76.081 64.2010
132.934560 76.005 64.3897
133.300771 75.929 64.5787
133.666981 75.854 64.7682
134.033192 75.780 64.9578
134.399403 75.706 65.1477
134.765614 75.634 65.3378
135.131825 75.562 65.5281
135.498036 75.491 65.7186
135.864247 75.422 65.9092
136.230458 75.353 66.0999
136.596669 75.285 66.2906
136.962880 75.218 66.4813
137.329091 75.152 66.6719
137.695301 75.087 66.8623
138.061512 75.023 67.0526
138.427723 74.960 67.2427
138.793934 74.898 67.4325
139.160145 74.837 67.6221
139.526356 74.777 67.8114
139.892567 74.717 68.0005
140.258778 74.659 68.1893
140.624989 74.601 68.3779
140.991200 74.545 68.5663
141.357411 74.489 68.7545
141.723621 74.433 68.9427
142.089832 74.379 69.1309
142.456043 74.325 69.3191
142.822254 74.272 69.5073
143.188465 74.219 69.6958
143.554676 74.167 69.8845
143.920887 74.115 70.0737
144.287098 74.063 70.2634
144.653309 74.012 70.4537
145.019520 73.962 70.6445
145.385731 73.911 70.8357
145.751941 73.860 71.0271
146.118152 73.810 71.2189
146.484363 73.759 71.4110
146.850574 73.708 71.6038
147.216785 73.657 71.7972
147.582996 73.605 71.9916
147.949207 73.553 72.1867
148.315418 73.501 72.3823
148.681629 73.448 72.5781
149.047840 73.394 72.7740
149.414051 73.340 72.9696
149.780261 73.285 73.1650
150.146472 73.229 73.3599
150.512683 73.172 73.5543
150.878894 73.114 73.7480
151.245105 73.055 73.9410
151.611316 72.995 74.1331
151.977527 72.934 74.3243
152.343738 72.872 74.5145
152.709949 72.809 74.7039
153.076160 72.744 74.8925
153.442371 72.678 75.0803
153.808581 72.610 75.2677
154.174792 72.542 75.4550
154.541003 72.471 75.6421
154.907214 72.399 75.8295
