* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 12, 2026, 4:18:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of SUM-SP.clean-fdw6 Cal file effects included LF tail from 16 Hz at 12 dB/octave No HF tail
* Measurement: SUM-SP-MP.clean-fdw6
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 4.156 170.1675
0.732422 16.199 172.9301
1.098633 23.243 172.8882
1.464844 28.241 172.1449
1.831055 32.118 171.1221
2.197265 35.285 169.9589
2.563476 37.963 168.7139
2.929687 40.283 167.4178
3.295898 42.329 166.0861
3.662109 44.159 164.7289
4.028320 45.815 163.3526
4.394531 47.327 161.9610
4.760742 48.717 160.5565
5.126953 50.004 159.1414
5.493164 51.203 157.7167
5.859375 52.324 156.2835
6.225585 53.377 154.8423
6.591796 54.370 153.3937
6.958007 55.309 151.9380
7.324218 56.201 150.4754
7.690429 57.048 149.0062
8.056640 57.856 147.5303
8.422851 58.628 146.0480
8.789062 59.368 144.5594
9.155273 60.077 143.0645
9.521484 60.758 141.5635
9.887695 61.414 140.0568
10.253905 62.046 138.5446
10.620116 62.655 137.0275
10.986327 63.244 135.5061
11.352538 63.814 133.9815
11.718749 64.365 132.4552
12.084960 64.900 130.9295
12.451171 65.419 129.4077
12.817382 65.922 127.8950
13.183593 66.411 126.4005
13.549804 66.888 124.9412
13.916015 67.352 123.5669
14.282225 67.824 122.3140
14.648436 68.315 121.0755
15.014647 68.826 119.7876
15.380858 69.359 118.3885
15.747069 69.916 116.7955
16.113280 70.498 114.8322
16.479491 71.053 112.3511
16.845702 71.561 109.6044
17.211913 72.024 106.6980
17.578124 72.445 103.6816
17.944335 72.827 100.5961
18.310545 73.171 97.4681
18.676756 73.476 94.3320
19.042967 73.748 91.2216
19.409178 73.989 88.1558
19.775389 74.201 85.1660
20.141600 74.393 82.2649
20.507811 74.568 79.4466
20.874022 74.731 76.7033
21.240233 74.888 74.0048
21.606444 75.037 71.3213
21.972654 75.179 68.6310
22.338865 75.313 65.9071
22.705076 75.433 63.1397
23.071287 75.538 60.3258
23.437498 75.624 57.4667
23.803709 75.688 54.5720
24.169920 75.728 51.6543
24.536131 75.742 48.7330
24.902342 75.728 45.8255
25.268553 75.687 42.9488
25.634764 75.616 40.1245
26.000974 75.517 37.3767
26.367185 75.388 34.7272
26.733396 75.232 32.2014
27.099607 75.049 29.8247
27.465818 74.842 27.6230
27.832029 74.612 25.6280
28.198240 74.365 23.8672
28.564451 74.105 22.3650
28.930662 73.840 21.1440
29.296873 73.578 20.2141
29.663084 73.328 19.5675
30.029294 73.102 19.1789
30.395505 72.906 19.0047
30.761716 72.748 18.9808
31.127927 72.630 19.0317
31.494138 72.554 19.0774
31.860349 72.514 19.0470
32.226560 72.503 18.8847
32.592771 72.514 18.5454
32.958982 72.537 18.0082
33.325193 72.562 17.2687
33.691404 72.581 16.3391
34.057614 72.588 15.2386
34.423825 72.576 13.9969
34.790036 72.540 12.6469
35.156247 72.477 11.2269
35.522458 72.384 9.7844
35.888669 72.263 8.3638
36.254880 72.114 6.9973
36.621091 71.939 5.7155
36.987302 71.740 4.5483
37.353513 71.520 3.5281
37.719724 71.283 2.6828
38.085934 71.034 2.0321
38.452145 70.777 1.5911
38.818356 70.520 1.3662
39.184567 70.268 1.3582
39.550778 70.028 1.5597
39.916989 69.805 1.9488
40.283200 69.605 2.4967
40.649411 69.432 3.1666
41.015622 69.289 3.9159
41.381833 69.176 4.6996
41.748044 69.091 5.4751
42.114254 69.033 6.2065
42.480465 68.998 6.8620
42.846676 68.982 7.4178
43.212887 68.979 7.8622
43.579098 68.985 8.1917
43.945309 68.997 8.4088
44.311520 69.012 8.5196
44.677731 69.025 8.5325
45.043942 69.037 8.4594
45.410153 69.045 8.3126
45.776363 69.048 8.1007
46.142574 69.047 7.8326
46.508785 69.042 7.5153
46.874996 69.032 7.1514
47.241207 69.018 6.7409
47.607418 69.001 6.2810
47.973629 68.980 5.7676
48.339840 68.954 5.1958
48.706051 68.923 4.5584
49.072262 68.885 3.8489
49.438473 68.839 3.0616
49.804683 68.783 2.1923
50.170894 68.714 1.2385
50.537105 68.631 0.1999
50.903316 68.529 -0.9220
51.269527 68.407 -2.1233
51.635738 68.262 -3.3997
52.001949 68.090 -4.7457
52.368160 67.888 -6.1524
52.734371 67.653 -7.6095
53.100582 67.382 -9.1063
53.466793 67.069 -10.6294
53.833003 66.712 -12.1636
54.199214 66.303 -13.6917
54.565425 65.838 -15.1939
54.931636 65.308 -16.6448
55.297847 64.704 -18.0094
55.664058 64.014 -19.2425
56.030269 63.224 -20.2817
56.396480 62.312 -21.0362
56.762691 61.252 -21.3671
57.128902 60.008 -21.0448
57.495113 58.530 -19.6582
57.861323 56.756 -16.4141
58.227534 54.605 -9.6630
58.593745 52.190 3.6250
58.959956 50.592 27.6022
59.326167 50.890 56.4824
59.692378 53.092 76.6904
60.058589 55.560 87.9046
60.424800 57.681 93.2923
60.791011 59.465 95.7851
61.157222 60.971 96.7351
61.523433 62.257 96.7666
61.889643 63.368 96.2081
62.255854 64.339 95.2566
62.622065 65.194 94.0413
62.988276 65.953 92.6495
63.354487 66.628 91.1398
63.720698 67.231 89.5530
64.086909 67.771 87.9187
64.453120 68.256 86.2610
64.819331 68.691 84.6010
65.185542 69.083 82.9568
65.551753 69.435 81.3414
65.917963 69.751 79.7652
66.284174 70.035 78.2376
66.650385 70.292 76.7674
67.016596 70.522 75.3628
67.382807 70.731 74.0273
67.749018 70.919 72.7654
68.115229 71.091 71.5820
68.481440 71.248 70.4790
68.847651 71.393 69.4548
69.213862 71.528 68.5088
69.580072 71.656 67.6410
69.946283 71.779 66.8476
70.312494 71.897 66.1220
70.678705 72.014 65.4588
71.044916 72.131 64.8525
71.411127 72.249 64.2935
71.777338 72.369 63.7725
72.143549 72.491 63.2812
72.509760 72.618 62.8097
72.875971 72.748 62.3479
73.242182 72.882 61.8873
73.608392 73.020 61.4190
73.974603 73.161 60.9346
74.340814 73.305 60.4275
74.707025 73.451 59.8902
75.073236 73.599 59.3179
75.439447 73.747 58.7080
75.805658 73.894 58.0565
76.171869 74.040 57.3630
76.538080 74.184 56.6276
76.904291 74.324 55.8484
77.270502 74.461 55.0288
77.636712 74.593 54.1711
78.002923 74.719 53.2756
78.369134 74.839 52.3466
78.735345 74.953 51.3876
79.101556 75.060 50.4012
79.467767 75.159 49.3927
79.833978 75.251 48.3655
80.200189 75.334 47.3236
80.566400 75.410 46.2717
80.932611 75.478 45.2132
81.298822 75.537 44.1519
81.665032 75.589 43.0919
82.031243 75.632 42.0372
82.397454 75.668 40.9910
82.763665 75.696 39.9564
83.129876 75.716 38.9369
83.496087 75.729 37.9356
83.862298 75.735 36.9564
84.228509 75.734 36.0017
84.594720 75.726 35.0737
84.960931 75.713 34.1758
85.327142 75.693 33.3092
85.693352 75.668 32.4775
86.059563 75.638 31.6820
86.425774 75.603 30.9244
86.791985 75.564 30.2080
87.158196 75.521 29.5328
87.524407 75.475 28.9020
87.890618 75.426 28.3157
88.256829 75.374 27.7755
88.623040 75.320 27.2825
88.989251 75.265 26.8364
89.355462 75.210 26.4397
89.721672 75.154 26.0903
90.087883 75.098 25.7904
90.454094 75.043 25.5376
90.820305 74.990 25.3321
91.186516 74.938 25.1731
91.552727 74.890 25.0583
91.918938 74.844 24.9883
92.285149 74.803 24.9581
92.651360 74.766 24.9678
93.017571 74.733 25.0118
93.383781 74.706 25.0891
93.749992 74.684 25.1948
94.116203 74.668 25.3270
94.482414 74.659 25.4803
94.848625 74.656 25.6512
95.214836 74.660 25.8353
95.581047 74.671 26.0284
95.947258 74.688 26.2261
96.313469 74.712 26.4244
96.679680 74.743 26.6189
97.045891 74.780 26.8062
97.412101 74.824 26.9820
97.778312 74.874 27.1435
98.144523 74.929 27.2858
98.510734 74.990 27.4075
98.876945 75.056 27.5036
99.243156 75.127 27.5743
99.609367 75.201 27.6153
99.975578 75.280 27.6275
100.341789 75.361 27.6073
100.708000 75.446 27.5557
101.074211 75.532 27.4693
101.440421 75.621 27.3501
101.806632 75.711 27.1956
102.172843 75.802 27.0082
102.539054 75.894 26.7857
102.905265 75.987 26.5309
103.271476 76.079 26.2420
103.637687 76.171 25.9218
104.003898 76.262 25.5686
104.370109 76.352 25.1855
104.736320 76.441 24.7713
105.102531 76.528 24.3293
105.468741 76.614 23.8590
105.834952 76.698 23.3633
106.201163 76.779 22.8419
106.567374 76.858 22.2972
106.933585 76.935 21.7291
107.299796 77.009 21.1399
107.666007 77.080 20.5301
108.032218 77.148 19.9016
108.398429 77.214 19.2553
108.764640 77.276 18.5923
109.130851 77.335 17.9145
109.497061 77.391 17.2227
109.863272 77.444 16.5184
110.229483 77.493 15.8021
110.595694 77.539 15.0757
110.961905 77.581 14.3397
111.328116 77.620 13.5959
111.694327 77.656 12.8448
112.060538 77.688 12.0880
112.426749 77.717 11.3264
112.792960 77.742 10.5612
113.159171 77.764 9.7935
113.525381 77.782 9.0241
113.891592 77.797 8.2543
114.257803 77.808 7.4852
114.624014 77.817 6.7173
114.990225 77.822 5.9516
115.356436 77.824 5.1890
115.722647 77.823 4.4306
116.088858 77.818 3.6771
116.455069 77.811 2.9293
116.821280 77.801 2.1881
117.187490 77.788 1.4540
117.553701 77.772 0.7281
117.919912 77.753 0.0104
118.286123 77.732 -0.6976
118.652334 77.709 -1.3962
119.018545 77.683 -2.0843
119.384756 77.655 -2.7617
119.750967 77.625 -3.4283
120.117178 77.592 -4.0830
120.483389 77.558 -4.7263
120.849600 77.522 -5.3569
121.215810 77.484 -5.9751
121.582021 77.444 -6.5802
121.948232 77.403 -7.1721
122.314443 77.360 -7.7509
122.680654 77.316 -8.3158
123.046865 77.271 -8.8674
123.413076 77.224 -9.4050
123.779287 77.177 -9.9288
124.145498 77.129 -10.4392
124.511709 77.079 -10.9355
124.877920 77.030 -11.4184
125.244130 76.979 -11.8873
125.610341 76.928 -12.3427
125.976552 76.877 -12.7849
126.342763 76.825 -13.2133
126.708974 76.773 -13.6291
127.075185 76.721 -14.0318
127.441396 76.669 -14.4221
127.807607 76.617 -14.8002
128.173818 76.565 -15.1656
128.540029 76.513 -15.5198
128.906240 76.461 -15.8623
129.272450 76.410 -16.1938
129.638661 76.359 -16.5149
130.004872 76.309 -16.8250
130.371083 76.259 -17.1256
130.737294 76.210 -17.4168
131.103505 76.161 -17.6992
131.469716 76.113 -17.9734
131.835927 76.066 -18.2396
132.202138 76.020 -18.4987
132.568349 75.974 -18.7509
132.934560 75.930 -18.9967
133.300770 75.886 -19.2369
133.666981 75.843 -19.4718
134.033192 75.800 -19.7018
134.399403 75.759 -19.9279
134.765614 75.719 -20.1501
135.131825 75.679 -20.3691
135.498036 75.641 -20.5854
135.864247 75.603 -20.7995
136.230458 75.566 -21.0119
136.596669 75.530 -21.2230
136.962880 75.494 -21.4333
137.329090 75.460 -21.6431
137.695301 75.426 -21.8531
138.061512 75.393 -22.0633
138.427723 75.360 -22.2743
138.793934 75.328 -22.4865
139.160145 75.297 -22.6998
139.526356 75.266 -22.9149
139.892567 75.236 -23.1321
140.258778 75.206 -23.3513
140.624989 75.177 -23.5732
140.991199 75.148 -23.7975
141.357410 75.119 -24.0246
141.723621 75.091 -24.2550
142.089832 75.063 -24.4882
142.456043 75.035 -24.7247
142.822254 75.007 -24.9648
143.188465 74.979 -25.2081
143.554676 74.951 -25.4551
143.920887 74.923 -25.7059
144.287098 74.895 -25.9600
144.653309 74.867 -26.2184
145.019519 74.839 -26.4804
145.385730 74.811 -26.7463
145.751941 74.782 -27.0167
146.118152 74.753 -27.2913
146.484363 74.724 -27.5694
146.850574 74.695 -27.8519
147.216785 74.664 -28.1380
147.582996 74.634 -28.4277
147.949207 74.603 -28.7211
148.315418 74.571 -29.0179
148.681629 74.539 -29.3183
149.047839 74.506 -29.6229
149.414050 74.472 -29.9307
149.780261 74.438 -30.2421
150.146472 74.403 -30.5576
150.512683 74.367 -30.8761
