* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 12, 2026, 4:18:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Copy of L+R 120.green
* Measurement: SUM.0.clean-fdw6
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 68.655 -156.9227
15.123451 68.816 -158.3171
15.233042 69.009 -159.7132
15.343426 69.205 -161.1228
15.454611 69.400 -162.5502
15.566602 69.594 -163.9903
15.679404 69.785 -165.4512
15.793023 69.973 -166.9398
15.907466 70.158 -168.4536
16.022738 70.341 -169.9946
16.138845 70.519 -171.5645
16.255794 70.695 -173.1664
16.373590 70.868 -174.7982
16.492240 71.037 -176.4545
16.611750 71.203 -178.1399
16.732125 71.366 -179.8533
16.853373 71.526 178.4173
16.975500 71.684 176.6666
17.098511 71.839 174.8948
17.222414 71.991 173.1173
17.347215 72.141 171.3280
17.472920 72.288 169.5271
17.599536 72.431 167.7306
17.727069 72.572 165.9285
17.855527 72.709 164.1246
17.984915 72.842 162.3331
18.115241 72.972 160.5413
18.246512 73.098 158.7563
18.378734 73.220 156.9882
18.511914 73.337 155.2235
18.646058 73.450 153.4724
18.781175 73.558 151.7373
18.917272 73.663 150.0087
19.054354 73.762 148.2981
19.192430 73.857 146.5995
19.331506 73.948 144.9113
19.471590 74.035 143.2403
19.612689 74.117 141.5771
19.754811 74.196 139.9261
19.897962 74.273 138.2862
20.042151 74.346 136.6528
20.187385 74.417 135.0291
20.333671 74.486 133.4101
20.481017 74.554 131.7957
20.629431 74.620 130.1836
20.778920 74.685 128.5715
20.929493 74.750 126.9583
21.081157 74.814 125.3402
21.233919 74.878 123.7178
21.387789 74.942 122.0867
21.542774 75.005 120.4473
21.698882 75.067 118.7973
21.856121 75.129 117.1341
22.014499 75.189 115.4602
22.174025 75.249 113.7700
22.334708 75.306 112.0682
22.496554 75.361 110.3497
22.659573 75.413 108.6173
22.823774 75.463 106.8726
22.989164 75.509 105.1120
23.155753 75.551 103.3425
23.323549 75.589 101.5567
23.492562 75.622 99.7649
23.662798 75.650 97.9586
23.834269 75.672 96.1483
24.006982 75.689 94.3271
24.180946 75.699 92.5033
24.356171 75.703 90.6725
24.532666 75.701 88.8408
24.710440 75.691 87.0066
24.889502 75.675 85.1734
25.069862 75.651 83.3427
25.251528 75.621 81.5160
25.434511 75.582 79.6962
25.618820 75.537 77.8848
25.804465 75.483 76.0853
25.991454 75.423 74.3001
26.179799 75.354 72.5321
26.369509 75.278 70.7857
26.560593 75.194 69.0623
26.753062 75.102 67.3692
26.946926 75.003 65.7072
27.142194 74.896 64.0853
27.338878 74.782 62.5045
27.536987 74.661 60.9745
27.736531 74.532 59.4972
27.937521 74.397 58.0822
28.139968 74.256 56.7330
28.343882 74.111 55.4583
28.549273 73.961 54.2629
28.756153 73.808 53.1518
28.964532 73.654 52.1297
29.174421 73.500 51.2017
29.385831 73.349 50.3653
29.598773 73.202 49.6262
29.813258 73.061 48.9736
30.029297 72.930 48.4083
30.246902 72.808 47.9188
30.466083 72.700 47.4911
30.686853 72.605 47.1187
30.909222 72.526 46.7741
31.133203 72.463 46.4494
31.358807 72.415 46.1204
31.586046 72.383 45.7680
31.814932 72.365 45.3811
32.045476 72.359 44.9356
32.277691 72.364 44.4240
32.511588 72.378 43.8344
32.747180 72.397 43.1576
32.984480 72.420 42.3920
33.223499 72.444 41.5325
33.464250 72.466 40.5832
33.706746 72.484 39.5467
33.950999 72.497 38.4266
34.197022 72.500 37.2348
34.444828 72.494 35.9771
34.694429 72.476 34.6615
34.945839 72.445 33.3018
35.199071 72.400 31.9101
35.454138 72.338 30.5065
35.711054 72.261 29.1099
35.969831 72.169 27.7277
36.230483 72.062 26.3700
36.493024 71.940 25.0541
36.757467 71.802 23.7933
37.023827 71.651 22.6000
37.292117 71.486 21.4874
37.562351 71.309 20.4701
37.834543 71.121 19.5596
38.108708 70.925 18.7672
38.384859 70.723 18.1013
38.663012 70.517 17.5689
38.943180 70.309 17.1744
39.225378 70.104 16.9200
39.509622 69.904 16.8024
39.795925 69.713 16.8123
40.084302 69.533 16.9396
40.374770 69.368 17.1693
40.667342 69.220 17.4816
40.962034 69.091 17.8516
41.258862 68.983 18.2529
41.557841 68.895 18.6603
41.858986 68.828 19.0483
42.162313 68.780 19.3933
42.467839 68.749 19.6744
42.775578 68.734 19.8748
43.085548 68.732 19.9825
43.397763 68.740 19.9908
43.712242 68.755 19.8969
44.028998 68.775 19.7015
44.348051 68.798 19.4083
44.669415 68.821 19.0238
44.993108 68.844 18.5565
45.319147 68.865 18.0142
45.647548 68.884 17.4047
45.978329 68.898 16.7349
46.311507 68.909 16.0106
46.647099 68.916 15.2357
46.985123 68.919 14.4115
47.325597 68.918 13.5370
47.668537 68.913 12.6095
48.013963 68.903 11.6241
48.361892 68.887 10.5750
48.712342 68.866 9.4546
49.065332 68.837 8.2546
49.420880 68.800 6.9683
49.779004 68.751 5.5885
50.139723 68.689 4.1090
50.503056 68.611 2.5254
50.869022 68.514 0.8345
51.237640 68.395 -0.9653
51.608929 68.251 -2.8744
51.982909 68.078 -4.8923
52.359598 67.871 -7.0179
52.739018 67.627 -9.2498
53.121186 67.341 -11.5863
53.506124 67.005 -14.0259
53.893852 66.615 -16.5688
54.284389 66.162 -19.2159
54.677756 65.636 -21.9700
55.073973 65.025 -24.8373
55.473062 64.313 -27.8291
55.875043 63.477 -30.9645
56.279936 62.489 -34.2747
56.687764 61.304 -37.8151
57.098547 59.858 -41.6903
57.512306 58.043 -46.1169
57.929064 55.676 -51.6252
58.348842 52.421 -59.8865
58.771662 47.941 -79.6655
59.197546 46.078 -170.0887
59.626515 50.650 145.3369
60.058594 54.680 133.5009
60.493803 57.603 126.7726
60.932166 59.834 121.6370
61.373706 61.616 117.1951
61.818445 63.085 113.1211
62.266407 64.323 109.2735
62.717615 65.382 105.5829
63.172093 66.297 102.0150
63.629864 67.093 98.5563
64.090952 67.787 95.2039
64.555381 68.394 91.9589
65.023176 68.925 88.8253
65.494361 69.390 85.8133
65.968960 69.795 82.9346
66.446998 70.150 80.1969
66.928501 70.458 77.6110
67.413492 70.729 75.1876
67.901998 70.965 72.9326
68.394044 71.176 70.8515
68.889655 71.365 68.9470
69.388858 71.538 67.2162
69.891679 71.702 65.6520
70.398142 71.861 64.2419
70.908276 72.020 62.9688
71.422107 72.185 61.8094
71.939661 72.357 60.7360
72.460965 72.539 59.7191
72.986047 72.733 58.7244
73.514934 72.939 57.7209
74.047654 73.155 56.6772
74.584234 73.380 55.5676
75.124702 73.612 54.3700
75.669086 73.846 53.0687
76.217416 74.079 51.6542
76.769719 74.308 50.1219
77.326024 74.530 48.4741
77.886360 74.741 46.7161
78.450757 74.938 44.8581
79.019243 75.120 42.9118
79.591849 75.283 40.8921
80.168605 75.428 38.8137
80.749539 75.552 36.6935
81.334684 75.655 34.5482
81.924068 75.737 32.3936
82.517724 75.798 30.2471
83.115681 75.838 28.1234
83.717972 75.858 26.0385
84.324627 75.857 24.0073
84.935678 75.839 22.0434
85.551157 75.803 20.1609
86.171096 75.751 18.3726
86.795527 75.684 16.6909
87.424483 75.605 15.1273
88.057997 75.516 13.6921
88.696102 75.419 12.3947
89.338830 75.316 11.2429
89.986216 75.212 10.2425
90.638293 75.108 9.3966
91.295096 75.009 8.7053
91.956658 74.917 8.1644
92.623013 74.837 7.7665
93.294198 74.773 7.4989
93.970246 74.726 7.3448
94.651193 74.701 7.2827
95.337075 74.699 7.2876
96.027927 74.721 7.3320
96.723785 74.769 7.3868
97.424685 74.842 7.4222
98.130664 74.940 7.4092
98.841760 75.060 7.3215
99.558008 75.201 7.1365
100.279446 75.358 6.8354
101.006112 75.529 6.4038
101.738044 75.711 5.8312
102.475280 75.900 5.1115
103.217858 76.093 4.2429
103.965817 76.287 3.2263
104.719197 76.479 2.0654
105.478035 76.666 0.7656
106.242372 76.846 -0.6661
107.012248 77.017 -2.2206
107.787703 77.178 -3.8891
108.568777 77.325 -5.6614
109.355511 77.459 -7.5262
110.147947 77.578 -9.4726
110.946124 77.682 -11.4890
111.750085 77.769 -13.5636
112.559873 77.839 -15.6843
113.375528 77.891 -17.8394
114.197094 77.926 -20.0169
115.024613 77.944 -22.2047
115.858129 77.945 -24.3913
116.697684 77.928 -26.5654
117.543324 77.896 -28.7168
118.395091 77.848 -30.8358
119.253031 77.786 -32.9130
120.117188 77.711 -34.9401
120.987606 77.623 -36.9097
121.864332 77.525 -38.8163
122.747411 77.416 -40.6545
123.636890 77.300 -42.4207
124.532814 77.178 -44.1120
125.435230 77.049 -45.7267
126.344185 76.917 -47.2646
127.259727 76.783 -48.7266
128.181904 76.648 -50.1148
129.110763 76.513 -51.4324
130.046352 76.380 -52.6845
130.988722 76.251 -53.8774
131.937920 76.126 -55.0186
132.893997 76.006 -56.1163
133.857001 75.891 -57.1801
134.826984 75.783 -58.2205
135.803996 75.681 -59.2480
136.788088 75.585 -60.2732
137.779311 75.495 -61.3058
138.777717 75.410 -62.3550
139.783357 75.330 -63.4291
140.796285 75.252 -64.5347
141.816553 75.177 -65.6772
142.844214 75.103 -66.8607
143.879322 75.030 -68.0883
144.921931 74.955 -69.3626
145.972095 74.878 -70.6854
147.029869 74.797 -72.0575
148.095308 74.711 -73.4792
149.168468 74.619 -74.9500
150.249404 74.519 -76.4693
151.338173 74.411 -78.0355
152.434832 74.293 -79.6461
153.539437 74.163 -81.2975
154.652047 74.018 -82.9858
155.772720 73.860 -84.7055
156.901513 73.684 -86.4496
158.038486 73.490 -88.2092
159.183698 73.275 -89.9734
160.337209 73.038 -91.7304
161.499079 72.776 -93.4650
162.669367 72.488 -95.1599
163.848137 72.172 -96.7937
165.035448 71.825 -98.3413
166.231363 71.446 -99.7727
167.435944 71.033 -101.0510
168.649254 70.583 -102.1309
169.871356 70.097 -102.9577
171.102314 69.575 -103.4642
172.342191 69.018 -103.5676
173.591054 68.432 -103.1691
174.848966 67.827 -102.1555
176.115994 67.219 -100.4043
177.392203 66.635 -97.8026
178.677660 66.115 -94.2842
179.972432 65.705 -89.8840
181.276587 65.457 -84.7928
182.590191 65.407 -79.3730
183.913315 65.565 -74.0903
185.246027 65.909 -69.3849
186.588396 66.392 -65.5575
187.940492 66.964 -62.7336
189.302387 67.578 -60.9005
190.674150 68.198 -59.9653
192.055853 68.802 -59.8044
193.447569 69.373 -60.2912
194.849370 69.904 -61.3120
196.261329 70.390 -62.7690
197.683519 70.829 -64.5801
199.116016 71.222 -66.6770
200.558892 71.568 -69.0031
202.012225 71.870 -71.5118
203.476089 72.129 -74.1647
204.950560 72.347 -76.9290
206.435716 72.525 -79.7769
207.931635 72.665 -82.6852
209.438393 72.769 -85.6340
210.956070 72.839 -88.6050
212.484745 72.875 -91.5830
214.024497 72.881 -94.5538
215.575406 72.855 -97.5048
217.137555 72.801 -100.4234
218.711023 72.718 -103.2979
220.295893 72.608 -106.1168
221.892248 72.472 -108.8683
223.500171 72.311 -111.5416
225.119745 72.127 -114.1249
226.751056 71.919 -116.6055
228.394187 71.691 -118.9711
230.049226 71.442 -121.2092
231.716257 71.175 -123.3069
233.395369 70.891 -125.2515
235.086648 70.594 -127.0308
236.790182 70.285 -128.6338
238.506062 69.968 -130.0496
240.234375 69.645 -131.2693
241.975212 69.320 -132.2861
243.728664 68.996 -133.0966
245.494823 68.680 -133.7000
247.273780 68.374 -134.1006
249.065627 68.082 -134.3069
250.870459 67.811 -134.3335
252.688370 67.564 -134.2007
254.519454 67.344 -133.9346
256.363807 67.155 -133.5667
258.221525 66.999 -133.1329
260.092705 66.877 -132.6726
261.977444 66.790 -132.2262
263.875840 66.735 -131.8330
265.787993 66.710 -131.5295
267.714003 66.711 -131.3474
269.653969 66.734 -131.3115
271.607992 66.773 -131.4402
273.576176 66.824 -131.7437
275.558622 66.881 -132.2242
277.555433 66.940 -132.8779
279.566714 66.995 -133.6953
281.592570 67.043 -134.6628
283.633106 67.080 -135.7627
285.688428 67.104 -136.9758
