* Measurement data measured by REW V5.40 beta 133
* Source: Vector average
* Format: Vector average
* Dated: Sep 12, 2026, 4:18:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Vector average of L 120.green.4, R 120.green.4
* Measurement: SUM.4.clean-fdw6
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 68.533 -159.5536
15.380859 69.164 -162.9482
15.747070 69.778 -166.7960
16.113281 70.367 -171.0219
16.479492 70.933 -175.5487
16.845703 71.453 179.6560
17.211914 71.922 174.7092
17.578125 72.353 169.6563
17.944336 72.743 164.5460
18.310547 73.096 159.4878
18.676758 73.417 154.4843
19.042968 73.702 149.5349
19.409179 73.960 144.7008
19.775390 74.194 139.9909
20.141601 74.400 135.4406
20.507812 74.581 131.0715
20.874023 74.738 126.8196
21.240234 74.875 122.6641
21.606445 74.999 118.6030
21.972656 75.110 114.5974
22.338867 75.204 110.6490
22.705077 75.282 106.7327
23.071288 75.342 102.8148
23.437499 75.382 98.9256
23.803710 75.405 95.0778
24.169921 75.402 91.2714
24.536132 75.372 87.5352
24.902343 75.319 83.8644
25.268554 75.240 80.2784
25.634765 75.136 76.8282
26.000976 75.006 73.5131
26.367187 74.847 70.3411
26.733397 74.661 67.3294
27.099608 74.455 64.4711
27.465819 74.225 61.8087
27.832030 73.979 59.3743
28.198241 73.717 57.1599
28.564452 73.445 55.2000
28.930663 73.176 53.5050
29.296874 72.916 52.0802
29.663085 72.673 50.9564
30.029296 72.458 50.0865
30.395507 72.273 49.4102
30.761717 72.129 48.8810
31.127928 72.031 48.4063
31.494139 71.973 47.9330
31.860350 71.950 47.4034
32.226561 71.955 46.7211
32.592772 71.977 45.8614
32.958983 72.013 44.8022
33.325194 72.050 43.5350
33.691405 72.077 42.1028
34.057616 72.091 40.5013
34.423827 72.080 38.7427
34.790037 72.044 36.8798
35.156248 71.982 34.9281
35.522459 71.884 32.9687
35.888670 71.755 31.0509
36.254881 71.595 29.1652
36.621092 71.405 27.3615
36.987303 71.190 25.6840
37.353514 70.951 24.1576
37.719725 70.688 22.8419
38.085936 70.410 21.7396
38.452147 70.120 20.8530
38.818357 69.827 20.2291
39.184568 69.540 19.8619
39.550779 69.262 19.7618
39.916990 69.001 19.9244
40.283201 68.763 20.2762
40.649412 68.552 20.8006
41.015623 68.381 21.4623
41.381834 68.244 22.1970
41.748045 68.139 22.9847
42.114256 68.067 23.7405
42.480467 68.022 24.4069
42.846677 68.002 24.9874
43.212888 68.004 25.4414
43.579099 68.016 25.7803
43.945310 68.037 26.0022
44.311521 68.061 26.0633
44.677732 68.087 25.9990
45.043943 68.117 25.8215
45.410154 68.146 25.5332
45.776365 68.172 25.1707
46.142576 68.197 24.6997
46.508786 68.217 24.1162
46.874997 68.241 23.4500
47.241208 68.266 22.6812
47.607419 68.289 21.8270
47.973630 68.309 20.8779
48.339841 68.327 19.7893
48.706052 68.340 18.5845
49.072263 68.354 17.2621
49.438474 68.358 15.8137
49.804685 68.350 14.2610
50.170896 68.329 12.5684
50.537106 68.289 10.7341
50.903317 68.233 8.7946
51.269528 68.157 6.7393
51.635739 68.051 4.5868
52.001950 67.915 2.3400
52.368161 67.746 -0.0317
52.734372 67.540 -2.4921
53.100583 67.297 -5.0258
53.466794 67.007 -7.6461
53.833005 66.662 -10.3336
54.199216 66.264 -13.1208
54.565426 65.803 -16.0186
54.931637 65.272 -18.9863
55.297848 64.661 -22.0579
55.664059 63.947 -25.2595
56.030270 63.119 -28.6171
56.396481 62.154 -32.2340
56.762692 61.011 -36.1547
57.128903 59.642 -40.4943
57.495114 57.956 -45.6232
57.861325 55.802 -52.1880
58.227536 52.950 -61.9163
58.593746 49.040 -80.3857
58.959957 45.182 -124.9933
59.326168 47.733 -179.3755
59.692379 52.101 156.8523
60.058590 55.345 145.4095
60.424801 57.768 138.1649
60.791012 59.677 132.6461
61.157223 61.234 127.9891
61.523434 62.543 123.8962
61.889645 63.666 120.1526
62.255856 64.633 116.6547
62.622066 65.478 113.3486
62.988277 66.225 110.1585
63.354488 66.884 107.0903
63.720699 67.473 104.1526
64.086910 67.997 101.3142
64.453121 68.462 98.5805
64.819332 68.876 95.9398
65.185543 69.246 93.3819
65.551754 69.576 90.9387
65.917965 69.871 88.6054
66.284176 70.131 86.3719
66.650386 70.361 84.2496
67.016597 70.566 82.2265
67.382808 70.749 80.3155
67.749019 70.911 78.5336
68.115230 71.056 76.8625
68.481441 71.183 75.3052
68.847652 71.300 73.8608
69.213863 71.407 72.5199
69.580074 71.506 71.2993
69.946285 71.602 70.1885
70.312495 71.692 69.1685
70.678706 71.782 68.2415
71.044917 71.873 67.3904
71.411128 71.968 66.6129
71.777339 72.066 65.9100
72.143550 72.169 65.2526
72.509761 72.276 64.6311
72.875972 72.391 64.0360
73.242183 72.512 63.4492
73.608394 72.639 62.8754
73.974605 72.773 62.2974
74.340815 72.911 61.6946
74.707026 73.053 61.0678
75.073237 73.201 60.4036
75.439448 73.350 59.7025
75.805659 73.501 58.9689
76.171870 73.651 58.1844
76.538081 73.801 57.3505
76.904292 73.949 56.4698
77.270503 74.094 55.5389
77.636714 74.236 54.5717
78.002925 74.373 53.5641
78.369135 74.503 52.5106
78.735346 74.628 51.4229
79.101557 74.747 50.3005
79.467768 74.858 49.1522
79.833979 74.962 47.9877
80.200190 75.058 46.7985
80.566401 75.144 45.5920
80.932612 75.224 44.3760
81.298823 75.296 43.1516
81.665034 75.359 41.9316
82.031245 75.413 40.7145
82.397455 75.459 39.4967
82.763666 75.497 38.2905
83.129877 75.529 37.0965
83.496088 75.551 35.9211
83.862299 75.566 34.7722
84.228510 75.573 33.6414
84.594721 75.573 32.5350
84.960932 75.567 31.4605
85.327143 75.556 30.4171
85.693354 75.536 29.4146
86.059565 75.513 28.4501
86.425775 75.483 27.5195
86.791986 75.448 26.6338
87.158197 75.410 25.7928
87.524408 75.368 25.0000
87.890619 75.321 24.2606
88.256830 75.273 23.5651
88.623041 75.221 22.9188
88.989252 75.169 22.3278
89.355463 75.116 21.7888
89.721674 75.062 21.3085
90.087885 75.008 20.8811
90.454095 74.955 20.5002
90.820306 74.905 20.1752
91.186517 74.857 19.9018
91.552728 74.811 19.6797
91.918939 74.769 19.5100
92.285150 74.732 19.3788
92.651361 74.699 19.2887
93.017572 74.673 19.2410
93.383783 74.653 19.2274
93.749994 74.639 19.2501
94.116205 74.631 19.2975
94.482415 74.632 19.3604
94.848626 74.639 19.4436
95.214837 74.656 19.5385
95.581048 74.679 19.6418
95.947259 74.711 19.7505
96.313470 74.750 19.8489
96.679681 74.797 19.9387
97.045892 74.851 20.0180
97.412103 74.912 20.0792
97.778314 74.980 20.1237
98.144524 75.054 20.1404
98.510735 75.134 20.1234
98.876946 75.220 20.0784
99.243157 75.311 19.9988
99.609368 75.406 19.8857
99.975579 75.504 19.7373
100.341790 75.605 19.5435
100.708001 75.710 19.3100
101.074212 75.817 19.0378
101.440423 75.925 18.7239
101.806634 76.035 18.3732
102.172844 76.145 17.9785
102.539055 76.255 17.5394
102.905266 76.366 17.0640
103.271477 76.476 16.5491
103.637688 76.585 15.9986
104.003899 76.693 15.4130
104.370110 76.799 14.7863
104.736321 76.903 14.1264
105.102532 77.005 13.4355
105.468743 77.105 12.7131
105.834954 77.201 11.9639
106.201164 77.295 11.1836
106.567375 77.386 10.3737
106.933586 77.474 9.5418
107.299797 77.558 8.6862
107.666008 77.639 7.8103
108.032219 77.716 6.9148
108.398430 77.789 5.9959
108.764641 77.859 5.0612
109.130852 77.924 4.1130
109.497063 77.986 3.1506
109.863274 78.043 2.1780
110.229484 78.096 1.1918
110.595695 78.146 0.1938
110.961906 78.191 -0.8088
111.328117 78.232 -1.8180
111.694328 78.270 -2.8313
112.060539 78.302 -3.8477
112.426750 78.331 -4.8707
112.792961 78.356 -5.8930
113.159172 78.377 -6.9130
113.525383 78.394 -7.9320
113.891594 78.407 -8.9469
114.257804 78.415 -9.9604
114.624015 78.421 -10.9707
114.990226 78.423 -11.9714
115.356437 78.421 -12.9651
115.722648 78.415 -13.9503
116.088859 78.406 -14.9260
116.455070 78.393 -15.8954
116.821281 78.378 -16.8521
117.187492 78.360 -17.7949
117.553703 78.338 -18.7264
117.919914 78.314 -19.6438
118.286124 78.286 -20.5500
118.652335 78.257 -21.4431
119.018546 78.225 -22.3176
119.384757 78.191 -23.1772
119.750968 78.154 -24.0211
120.117179 78.115 -24.8489
120.483390 78.075 -25.6636
120.849601 78.033 -26.4592
121.215812 77.988 -27.2357
121.582023 77.943 -27.9968
121.948233 77.896 -28.7398
122.314444 77.849 -29.4681
122.680655 77.799 -30.1804
123.046866 77.750 -30.8716
123.413077 77.700 -31.5466
123.779288 77.647 -32.2054
124.145499 77.596 -32.8476
124.511710 77.544 -33.4766
124.877921 77.491 -34.0867
125.244132 77.439 -34.6791
125.610343 77.387 -35.2581
125.976553 77.334 -35.8215
126.342764 77.281 -36.3726
126.708975 77.230 -36.9102
127.075186 77.179 -37.4299
127.441397 77.128 -37.9378
127.807608 77.076 -38.4336
128.173819 77.026 -38.9177
128.540030 76.978 -39.3929
128.906241 76.930 -39.8541
129.272452 76.882 -40.3032
129.638663 76.835 -40.7447
130.004873 76.789 -41.1765
130.371084 76.745 -41.6022
130.737295 76.701 -42.0200
131.103506 76.659 -42.4263
131.469717 76.618 -42.8276
131.835928 76.577 -43.2237
132.202139 76.538 -43.6145
132.568350 76.501 -44.0033
132.934561 76.464 -44.3842
133.300772 76.429 -44.7601
133.666983 76.395 -45.1356
134.033193 76.361 -45.5079
134.399404 76.330 -45.8810
134.765615 76.299 -46.2525
135.131826 76.270 -46.6191
135.498037 76.242 -46.9879
135.864248 76.214 -47.3578
136.230459 76.188 -47.7290
136.596670 76.163 -48.1040
136.962881 76.139 -48.4770
137.329092 76.116 -48.8514
137.695303 76.094 -49.2313
138.061513 76.072 -49.6137
138.427724 76.052 -50.0020
138.793935 76.032 -50.3932
139.160146 76.014 -50.7850
139.526357 75.995 -51.1838
139.892568 75.977 -51.5881
140.258779 75.960 -51.9980
140.624990 75.944 -52.4152
140.991201 75.928 -52.8339
141.357412 75.912 -53.2581
141.723623 75.897 -53.6910
142.089833 75.881 -54.1292
142.456044 75.867 -54.5759
142.822255 75.852 -55.0278
143.188466 75.838 -55.4823
143.554677 75.823 -55.9465
143.920888 75.808 -56.4178
144.287099 75.793 -56.8964
144.653310 75.779 -57.3833
145.019521 75.764 -57.8730
145.385732 75.749 -58.3696
145.751942 75.734 -58.8760
146.118153 75.718 -59.3887
146.484364 75.702 -59.9100
146.850575 75.685 -60.4366
147.216786 75.668 -60.9668
147.582997 75.648 -61.5069
147.949208 75.629 -62.0544
148.315419 75.610 -62.6085
148.681630 75.590 -63.1702
149.047841 75.569 -63.7344
149.414052 75.548 -64.3057
149.780262 75.525 -64.8858
150.146473 75.501 -65.4712
150.512684 75.476 -66.0642
150.878895 75.451 -66.6609
151.245106 75.424 -67.2606
151.611317 75.395 -67.8692
151.977528 75.365 -68.4833
152.343739 75.335 -69.1025
152.709950 75.303 -69.7273
153.076161 75.270 -70.3527
153.442372 75.235 -70.9836
153.808582 75.197 -71.6216
154.174793 75.159 -72.2625
154.541004 75.120 -72.9083
154.907215 75.079 -73.5555
155.273426 75.036 -74.2035
155.639637 74.991 -74.8583
156.005848 74.944 -75.5159
156.372059 74.897 -76.1756
156.738270 74.848 -76.8379
157.104481 74.796 -77.4979
157.470692 74.742 -78.1611
157.836902 74.686 -78.8284
158.203113 74.628 -79.4949
158.569324 74.569 -80.1630
158.935535 74.507 -80.8290
159.301746 74.444 -81.4926
159.667957 74.377 -82.1604
160.034168 74.309 -82.8271
160.400379 74.239 -83.4919
160.766590 74.167 -84.1556
161.132801 74.092 -84.8135
161.499012 74.015 -85.4715
161.865222 73.936 -86.1301
162.231433 73.854 -86.7835
162.597644 73.770 -87.4344
162.963855 73.685 -88.0793
163.330066 73.595 -88.7184
163.696277 73.505 -89.3577
164.062488 73.410 -89.9917
164.428699 73.315 -90.6191
