* Measurement data measured by REW V5.40 beta 133
* Source: EQ window target shape
* Format: 
* Dated: Sep 12, 2026, 4:09:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Target.harman.fuller
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 2.5 Hz
*
* Freq(Hz) SPL(dB)
2.500000 27.828
2.518116 28.031
2.536363 28.276
2.554743 28.526
2.573256 28.776
2.591902 29.027
2.610684 29.278
2.629603 29.529
2.648658 29.780
2.667851 30.031
2.687183 30.282
2.706656 30.532
2.726269 30.783
2.746025 31.034
2.765924 31.285
2.785967 31.536
2.806155 31.787
2.826490 32.037
2.846972 32.288
2.867602 32.539
2.888382 32.790
2.909312 33.041
2.930394 33.292
2.951629 33.543
2.973018 33.793
2.994561 34.044
3.016261 34.295
3.038118 34.546
3.060134 34.797
3.082309 35.048
3.104645 35.298
3.127142 35.549
3.149803 35.800
3.172627 36.051
3.195618 36.302
3.218774 36.553
3.242099 36.803
3.265592 37.054
3.289256 37.305
3.313092 37.556
3.337100 37.807
3.361282 38.058
3.385639 38.308
3.410173 38.559
3.434884 38.810
3.459775 39.061
3.484846 39.312
3.510098 39.562
3.535534 39.813
3.561154 40.064
3.586959 40.315
3.612952 40.566
3.639133 40.816
3.665504 41.067
3.692065 41.318
3.718820 41.569
3.745768 41.819
3.772911 42.070
3.800251 42.321
3.827789 42.572
3.855527 42.822
3.883466 43.073
3.911607 43.324
3.939952 43.575
3.968503 43.825
3.997260 44.076
4.026226 44.327
4.055402 44.577
4.084789 44.828
4.114389 45.079
4.144203 45.329
4.174234 45.580
4.204482 45.831
4.234949 46.081
4.265638 46.332
4.296548 46.582
4.327683 46.833
4.359043 47.083
4.390630 47.334
4.422447 47.585
4.454494 47.835
4.486773 48.085
4.519286 48.336
4.552034 48.586
4.585020 48.837
4.618245 49.087
4.651711 49.337
4.685419 49.588
4.719372 49.838
4.753570 50.088
4.788016 50.338
4.822712 50.588
4.857660 50.839
4.892860 51.089
4.928316 51.339
4.964029 51.589
5.000000 51.838
5.036232 52.088
5.072727 52.338
5.109486 52.588
5.146511 52.838
5.183805 53.087
5.221369 53.337
5.259205 53.586
5.297315 53.835
5.335702 54.085
5.374367 54.334
5.413312 54.583
5.452539 54.832
5.492050 55.081
5.531848 55.329
5.571934 55.578
5.612310 55.827
5.652979 56.075
5.693943 56.323
5.735204 56.571
5.776763 56.819
5.818624 57.067
5.860788 57.314
5.903258 57.561
5.946036 57.809
5.989123 58.055
6.032523 58.302
6.076237 58.548
6.120268 58.795
6.164618 59.040
6.209289 59.286
6.254284 59.531
6.299605 59.776
6.345255 60.021
6.391235 60.265
6.437549 60.509
6.484198 60.752
6.531185 60.995
6.578513 61.238
6.626183 61.480
6.674199 61.722
6.722563 61.963
6.771278 62.203
6.820345 62.443
6.869768 62.682
6.919549 62.921
6.969691 63.159
7.020197 63.396
7.071068 63.633
7.122308 63.868
7.173919 64.103
7.225904 64.337
7.278266 64.570
7.331007 64.802
7.384131 65.033
7.437639 65.263
7.491535 65.492
7.545822 65.719
7.600502 65.946
7.655579 66.171
7.711054 66.394
7.766932 66.616
7.823214 66.837
7.879904 67.056
7.937005 67.274
7.994520 67.490
8.052452 67.704
8.110803 67.916
8.169577 68.126
8.228777 68.334
8.288407 68.540
8.348468 68.744
8.408964 68.946
8.469899 69.145
8.531275 69.343
8.593096 69.537
8.655366 69.729
8.718086 69.918
8.781261 70.105
8.844893 70.289
8.908987 70.470
8.973545 70.648
9.038571 70.823
9.104069 70.995
9.170040 71.163
9.236490 71.329
9.303422 71.491
9.370838 71.650
9.438743 71.806
9.507140 71.958
9.576033 72.106
9.645425 72.252
9.715319 72.393
9.785721 72.531
9.856632 72.666
9.928057 72.796
10.000000 72.923
10.072464 73.047
10.145453 73.166
10.218971 73.283
10.293022 73.395
10.367610 73.504
10.442738 73.610
10.518410 73.712
10.594631 73.811
10.671404 73.906
10.748733 73.998
10.826623 74.086
10.905077 74.171
10.984100 74.253
11.063695 74.332
11.143867 74.408
11.224620 74.481
11.305959 74.551
11.387886 74.618
11.470408 74.682
11.553527 74.743
11.637249 74.802
11.721577 74.858
11.806516 74.911
11.892071 74.962
11.978246 75.011
12.065045 75.058
12.152474 75.103
12.240535 75.145
12.329235 75.186
12.418578 75.224
12.508568 75.261
12.599210 75.296
12.690510 75.329
12.782470 75.361
12.875097 75.391
12.968396 75.419
13.062370 75.446
13.157025 75.472
13.252366 75.496
13.348399 75.520
13.445127 75.542
13.542555 75.563
13.640690 75.583
13.739536 75.601
13.839099 75.619
13.939383 75.636
14.040393 75.651
14.142136 75.666
14.244615 75.681
14.347838 75.694
14.451808 75.707
14.556532 75.719
14.662014 75.731
14.768261 75.741
14.875278 75.751
14.983071 75.761
15.091644 75.770
15.201005 75.779
15.311157 75.787
15.422108 75.795
15.533863 75.802
15.646428 75.809
15.759808 75.815
15.874011 75.821
15.989040 75.827
16.104903 75.832
16.221606 75.837
16.339155 75.842
16.457555 75.847
16.576813 75.851
16.696935 75.855
16.817928 75.859
16.939798 75.863
17.062551 75.866
17.186193 75.869
17.310731 75.872
17.436172 75.875
17.562522 75.877
17.689787 75.880
17.817974 75.882
17.947091 75.884
18.077143 75.886
18.208137 75.888
18.340081 75.890
18.472981 75.892
18.606843 75.893
18.741676 75.895
18.877486 75.896
19.014280 75.897
19.152066 75.898
19.290849 75.899
19.430639 75.899
19.571441 75.900
19.713264 75.901
19.856114 75.902
20.000000 75.903
20.144928 75.903
20.290907 75.904
20.437943 75.905
20.586045 75.905
20.735220 75.905
20.885476 75.906
21.036820 75.906
21.189262 75.906
21.342808 75.906
21.497467 75.906
21.653246 75.906
21.810155 75.906
21.968200 75.906
22.127391 75.906
22.287735 75.906
22.449241 75.906
22.611917 75.906
22.775773 75.906
22.940815 75.905
23.107054 75.905
23.274497 75.905
23.443154 75.905
23.613033 75.905
23.784142 75.904
23.956492 75.904
24.130091 75.903
24.304947 75.903
24.481071 75.902
24.658471 75.902
24.837156 75.901
25.017137 75.900
25.198421 75.900
25.381019 75.899
25.564940 75.899
25.750195 75.898
25.936791 75.897
26.124740 75.896
26.314050 75.895
26.504733 75.895
26.696797 75.894
26.890253 75.893
27.085111 75.892
27.281381 75.891
27.479073 75.890
27.678198 75.889
27.878765 75.888
28.080786 75.887
28.284271 75.886
28.489231 75.885
28.695675 75.884
28.903616 75.883
29.113064 75.881
29.324029 75.880
29.536523 75.879
29.750557 75.878
29.966142 75.877
30.183289 75.875
30.402009 75.874
30.622315 75.873
30.844217 75.871
31.067726 75.870
31.292856 75.868
31.519617 75.866
31.748021 75.865
31.978080 75.863
32.209807 75.862
32.443212 75.860
32.678309 75.858
32.915110 75.856
33.153626 75.854
33.393871 75.852
33.635857 75.850
33.879596 75.848
34.125101 75.846
34.372386 75.844
34.621462 75.842
34.872344 75.840
35.125043 75.838
35.379574 75.836
35.635949 75.833
35.894182 75.831
36.154286 75.828
36.416274 75.826
36.680162 75.823
36.945961 75.820
37.213687 75.818
37.483353 75.815
37.754973 75.812
38.028561 75.809
38.304131 75.806
38.581699 75.803
38.861278 75.800
39.142882 75.797
39.426528 75.793
39.712229 75.790
40.000000 75.787
40.289856 75.783
40.581813 75.780
40.875886 75.776
41.172089 75.772
41.470439 75.768
41.770951 75.764
42.073641 75.760
42.378524 75.756
42.685616 75.752
42.994934 75.748
43.306493 75.743
43.620309 75.739
43.936400 75.734
44.254781 75.729
44.575470 75.724
44.898482 75.720
45.223835 75.715
45.551545 75.709
45.881631 75.704
46.214108 75.699
46.548994 75.693
46.886308 75.687
47.226065 75.682
47.568285 75.676
47.912984 75.670
48.260181 75.664
48.609894 75.658
48.962142 75.651
49.316942 75.644
49.674312 75.638
50.034273 75.631
50.396842 75.624
50.762038 75.616
51.129881 75.609
51.500389 75.602
51.873582 75.594
52.249480 75.587
52.628101 75.579
53.009466 75.571
53.393594 75.562
53.780506 75.554
54.170222 75.545
54.562762 75.536
54.958146 75.527
55.356395 75.518
55.757531 75.508
56.161573 75.499
56.568542 75.489
56.978461 75.479
57.391351 75.469
57.807232 75.458
58.226127 75.447
58.648058 75.436
59.073046 75.425
59.501113 75.414
59.932283 75.403
60.366577 75.391
60.804018 75.379
61.244629 75.367
61.688433 75.354
62.135453 75.342
62.585712 75.328
63.039234 75.315
63.496042 75.302
63.956161 75.288
64.419613 75.274
64.886424 75.260
65.356618 75.246
65.830219 75.231
66.307252 75.216
66.787742 75.200
67.271713 75.185
67.759192 75.169
68.250203 75.152
68.744772 75.136
69.242925 75.119
69.744688 75.102
70.250086 75.085
70.759147 75.067
71.271897 75.049
71.788363 75.031
72.308571 75.012
72.832549 74.993
73.360323 74.974
73.891923 74.954
74.427374 74.935
74.966705 74.915
75.509945 74.894
76.057121 74.873
76.608262 74.852
77.163398 74.831
77.722555 74.809
78.285765 74.787
78.853056 74.764
79.424458 74.742
80.000000 74.719
80.579713 74.695
81.163627 74.672
81.751772 74.648
82.344179 74.623
82.940879 74.598
83.541903 74.574
84.147282 74.548
84.757048 74.523
85.371232 74.496
85.989867 74.470
86.612985 74.443
87.240619 74.416
87.872800 74.389
88.509563 74.362
89.150939 74.334
89.796964 74.306
90.447670 74.277
91.103091 74.248
91.763261 74.219
92.428216 74.189
93.097989 74.159
93.772615 74.130
94.452130 74.099
95.136569 74.069
95.825968 74.038
96.520362 74.006
97.219789 73.975
97.924283 73.944
98.633883 73.912
99.348625 73.880
100.068546 73.848
100.793684 73.815
101.524077 73.782
102.259762 73.749
103.000778 73.715
103.747164 73.682
104.498959 73.648
105.256202 73.615
106.018931 73.581
106.787188 73.547
107.561012 73.512
108.340444 73.478
109.125523 73.444
109.916292 73.409
110.712791 73.374
111.515061 73.338
112.323145 73.303
113.137085 73.268
113.956923 73.233
114.782702 73.198
115.614465 73.163
116.452255 73.127
117.296116 73.092
118.146092 73.056
119.002227 73.020
119.864566 72.985
120.733154 72.949
121.608036 72.914
122.489258 72.878
123.376866 72.843
124.270906 72.807
125.171424 72.772
126.078468 72.737
126.992084 72.701
127.912321 72.666
128.839227 72.631
129.772849 72.596
130.713236 72.561
131.660438 72.526
132.614504 72.492
133.575483 72.457
134.543426 72.423
135.518384 72.389
136.500406 72.354
137.489544 72.321
138.485850 72.287
139.489375 72.254
140.500173 72.220
141.518295 72.187
142.543795 72.155
143.576726 72.122
144.617142 72.089
145.665098 72.057
146.720647 72.025
147.783845 71.994
148.854748 71.962
149.933411 71.931
151.019890 71.900
152.114242 71.869
153.216525 71.839
154.326795 71.809
155.445111 71.779
156.571530 71.749
157.706112 71.720
158.848915 71.691
160.000000 71.662
161.159426 71.634
162.327254 71.606
163.503544 71.578
164.688358 71.551
165.881758 71.524
167.083805 71.497
168.294563 71.470
169.514095 71.444
170.742464 71.419
171.979734 71.393
173.225970 71.367
174.481237 71.343
175.745600 71.319
177.019125 71.294
178.301879 71.270
179.593928 71.247
180.895339 71.224
182.206182 71.201
183.526523 71.178
184.856431 71.156
186.195977 71.135
187.545230 71.113
188.904260 71.091
190.273138 71.071
191.651936 71.050
193.040725 71.030
194.439578 71.010
195.848567 70.990
197.267766 70.971
198.697250 70.952
200.137092 70.934
201.587368 70.915
203.048153 70.897
204.519524 70.879
206.001557 70.862
207.494329 70.845
208.997918 70.828
210.512403 70.811
212.037863 70.795
213.574377 70.779
215.122025 70.764
216.680888 70.748
218.251047 70.733
219.832584 70.718
221.425581 70.703
223.030122 70.689
224.646290 70.674
226.274170 70.661
227.913846 70.648
229.565404 70.634
231.228929 70.621
232.904509 70.609
234.592231 70.596
236.292183 70.584
238.004454 70.572
239.729132 70.560
241.466308 70.548
243.216073 70.537
244.978517 70.526
246.753732 70.515
248.541811 70.504
250.342848 70.493
252.156935 70.483
253.984168 70.473
255.824642 70.463
257.678453 70.454
259.545697 70.444
261.426473 70.435
263.320877 70.425
265.229008 70.416
267.150967 70.407
269.086853 70.399
271.036767 70.391
273.000811 70.383
274.979088 70.375
276.971700 70.367
278.978751 70.359
281.000346 70.351
283.036590 70.344
285.087590 70.337
287.153452 70.330
289.234284 70.323
291.330195 70.316
293.441294 70.310
295.567690 70.303
297.709496 70.297
299.866821 70.291
302.039780 70.285
304.228485 70.279
306.433050 70.273
308.653590 70.267
310.890221 70.262
313.143060 70.256
315.412224 70.251
317.697831 70.245
320.000000 70.240
322.318852 70.235
324.654507 70.230
327.007088 70.226
329.376716 70.221
331.763515 70.216
334.167610 70.212
336.589127 70.208
339.028190 70.204
341.484928 70.200
343.959469 70.196
346.451941 70.192
348.962474 70.188
351.491200 70.184
354.038251 70.181
356.603758 70.177
359.187855 70.173
361.790679 70.170
364.412363 70.166
367.053045 70.163
369.712863 70.160
372.391955 70.156
375.090460 70.153
377.808521 70.150
380.546277 70.147
383.303872 70.145
386.081450 70.142
388.879155 70.139
391.697134 70.136
394.535533 70.134
397.394500 70.131
400.274184 70.129
403.174736 70.126
406.096306 70.124
409.039048 70.122
412.003113 70.119
414.988657 70.117
417.995836 70.115
421.024807 70.113
424.075726 70.111
427.148753 70.109
430.244049 70.107
433.361775 70.105
436.502093 70.103
439.665167 70.101
442.851162 70.099
446.060244 70.097
449.292581 70.096
452.548340 70.094
455.827692 70.092
459.130807 70.090
462.457858 70.089
465.809019 70.087
469.184463 70.086
472.584367 70.084
476.008908 70.083
479.458265 70.082
482.932617 70.080
486.432146 70.079
489.957033 70.078
493.507464 70.077
497.083623 70.075
500.685695 70.074
504.313870 70.073
507.968337 70.072
511.649285 70.070
515.356906 70.069
519.091395 70.068
522.852945 70.067
526.641753 70.066
530.458016 70.065
534.301934 70.064
538.173706 70.063
542.073534 70.062
546.001623 70.061
549.958175 70.060
553.943399 70.059
557.957501 70.059
562.000691 70.058
566.073180 70.057
570.175180 70.056
574.306904 70.056
578.468569 70.055
582.660390 70.054
586.882588 70.053
591.135381 70.053
595.418991 70.052
599.733643 70.051
604.079560 70.051
608.456970 70.050
612.866100 70.050
617.307180 70.049
621.780442 70.048
626.286120 70.048
630.824447 70.047
635.395661 70.046
640.000000 70.046
644.637704 70.045
649.309014 70.045
654.014175 70.044
658.753431 70.044
663.527030 70.043
668.335221 70.043
673.178253 70.043
678.056380 70.042
682.969856 70.042
687.918938 70.042
692.903882 70.041
697.924949 70.041
702.982401 70.040
708.076501 70.040
713.207515 70.039
718.375711 70.039
723.581357 70.038
728.824726 70.038
734.106091 70.038
739.425726 70.037
744.783910 70.037
750.180921 70.037
755.617041 70.037
761.092554 70.036
766.607744 70.036
772.162900 70.036
777.758310 70.036
783.394268 70.035
789.071066 70.035
794.789000 70.035
800.548368 70.035
806.349472 70.034
812.192613 70.034
818.078095 70.034
824.006226 70.034
829.977315 70.033
835.991673 70.033
842.049613 70.033
848.151452 70.033
854.297507 70.032
860.488099 70.032
866.723550 70.032
873.004186 70.032
879.330334 70.031
885.702324 70.031
892.120489 70.031
898.585161 70.031
905.096680 70.031
911.655384 70.031
918.261614 70.031
924.915716 70.031
931.618037 70.030
938.368925 70.030
945.168733 70.030
952.017816 70.030
958.916529 70.030
965.865234 70.030
972.864291 70.030
979.914067 70.029
987.014928 70.028
994.167245 70.027
1001.371391 70.025
1008.627741 70.016
1015.936673 70.006
1023.298569 69.995
1030.713812 69.985
1038.182790 69.974
1045.705890 69.964
1053.283506 69.953
1060.916032 69.943
1068.603867 69.932
1076.347412 69.922
1084.147069 69.911
1092.003245 69.901
1099.916351 69.890
1107.886798 69.879
1115.915003 69.869
1124.001383 69.858
1132.146360 69.848
1140.350359 69.837
1148.613808 69.827
1156.937137 69.816
1165.320781 69.806
1173.765175 69.796
1182.270762 69.785
1190.837983 69.775
1199.467286 69.765
1208.159120 69.754
1216.913939 69.744
1225.732199 69.733
1234.614360 69.722
1243.560885 69.712
1252.572239 69.701
1261.648894 69.691
1270.791322 69.680
1280.000000 69.670
1289.275408 69.659
1298.618029 69.649
1308.028350 69.638
1317.506863 69.628
1327.054061 69.618
1336.670442 69.608
1346.356507 69.597
1356.112761 69.587
1365.939713 69.576
1375.837875 69.565
1385.807763 69.555
1395.849898 69.544
1405.964802 69.534
1416.153002 69.523
1426.415031 69.513
1436.751422 69.502
1447.162715 69.492
1457.649452 69.481
1468.212181 69.471
1478.851452 69.461
1489.567819 69.450
1500.361842 69.440
1511.234082 69.430
1522.185107 69.419
1533.215488 69.408
1544.325799 69.398
1555.516621 69.388
1566.788535 69.377
1578.142131 69.367
1589.577999 69.357
1601.096737 69.346
1612.698944 69.336
1624.385225 69.325
1636.156190 69.315
1648.012452 69.304
1659.954630 69.294
1671.983345 69.283
1684.099226 69.273
1696.302903 69.262
1708.595013 69.252
1720.976197 69.242
1733.447100 69.231
1746.008372 69.221
1758.660669 69.210
1771.404649 69.200
1784.240977 69.189
1797.170323 69.179
1810.193360 69.168
1823.310767 69.158
1836.523229 69.147
1849.831433 69.137
1863.236074 69.127
1876.737851 69.116
1890.337467 69.106
1904.035631 69.095
1917.833058 69.085
1931.730467 69.074
1945.728583 69.064
1959.828134 69.054
1974.029857 69.043
1988.334491 69.033
2002.742782 69.023
2017.255482 69.012
2031.873347 69.002
2046.597138 68.991
2061.427625 68.981
2076.365579 68.970
2091.411780 68.960
2106.567012 68.949
2121.832065 68.939
2137.207735 68.928
2152.694823 68.918
2168.294137 68.908
2184.006490 68.897
2199.832702 68.887
2215.773596 68.876
2231.830005 68.866
2248.002765 68.855
2264.292720 68.845
2280.700718 68.835
2297.227616 68.824
2313.874274 68.814
2330.641561 68.804
2347.530351 68.793
2364.541523 68.783
2381.675966 68.772
2398.934572 68.762
2416.318240 68.751
2433.827878 68.741
2451.464399 68.731
2469.228720 68.720
2487.121769 68.710
2505.144479 68.699
2523.297789 68.689
2541.582644 68.679
2560.000000 68.668
2578.550815 68.658
2597.236057 68.648
2616.056701 68.637
2635.013726 68.627
2654.108121 68.616
2673.340883 68.605
2692.713013 68.595
2712.225522 68.584
2731.879426 68.574
2751.675750 68.563
2771.615527 68.553
2791.699796 68.543
2811.929603 68.533
2832.306004 68.522
2852.830061 68.512
2873.502844 68.501
2894.325430 68.491
2915.298905 68.480
2936.424363 68.470
2957.702904 68.460
2979.135638 68.449
3000.723683 68.439
3022.468164 68.428
3044.370214 68.418
3066.430976 68.407
3088.651599 68.397
3111.033242 68.387
3133.577071 68.376
3156.284262 68.366
3179.155999 68.356
3202.193474 68.345
3225.397888 68.335
3248.770450 68.324
3272.312380 68.314
3296.024905 68.303
3319.909260 68.293
3343.966691 68.283
3368.198452 68.272
3392.605806 68.262
3417.190027 68.251
3441.952394 68.241
3466.894200 68.230
3492.016745 68.220
3517.321337 68.209
3542.809298 68.199
3568.481954 68.188
3594.340646 68.178
3620.386720 68.168
3646.621534 68.157
3673.046457 68.147
3699.662866 68.136
3726.472148 68.126
3753.475701 68.115
3780.674934 68.105
3808.071263 68.095
3835.666117 68.084
3863.460935 68.074
3891.457165 68.064
3919.656268 68.053
3948.059713 68.043
3976.668981 68.032
4005.485564 68.022
4034.510963 68.011
4063.746693 68.001
4093.194277 67.991
4122.855250 67.980
4152.731158 67.970
4182.823560 67.959
4213.134024 67.949
4243.664130 67.939
4274.415470 67.928
4305.389646 67.918
4336.588274 67.908
4368.012981 67.897
4399.665403 67.887
4431.547192 67.876
4463.660010 67.866
4496.005531 67.855
4528.585440 67.845
4561.401437 67.835
4594.455232 67.824
4627.748549 67.814
4661.283122 67.803
4695.060701 67.793
4729.083046 67.782
4763.351932 67.772
4797.869143 67.762
4832.636481 67.751
4867.655757 67.741
4902.928797 67.731
4938.457440 67.720
4974.243539 67.710
5010.288958 67.699
5046.595577 67.689
5083.165289 67.678
5120.000000 67.668
5157.101631 67.657
5194.472115 67.647
5232.113401 67.636
5270.027452 67.626
5308.216243 67.616
5346.681766 67.605
5385.426026 67.595
5424.451043 67.584
5463.758851 67.574
5503.351500 67.563
5543.231054 67.553
5583.399591 67.543
5623.859206 67.532
5664.612008 67.522
5705.660122 67.512
5747.005687 67.501
5788.650860 67.490
5830.597810 67.480
5872.848725 67.470
5915.405808 67.460
5958.271277 67.449
6001.447367 67.439
6044.936328 67.428
6088.740429 67.418
6132.861952 67.407
6177.303198 67.397
6222.066483 67.387
6267.154142 67.376
6312.568524 67.366
6358.311998 67.355
6404.386948 67.345
6450.795775 67.334
6497.540901 67.324
6544.624761 67.314
6592.049809 67.303
6639.818520 67.293
6687.933382 67.283
6736.396904 67.272
6785.211613 67.262
6834.380053 67.251
6883.904789 67.241
6933.788400 67.230
6984.033489 67.220
7034.642675 67.210
7085.618596 67.199
7136.963909 67.189
7188.681291 67.178
7240.773439 67.168
7293.243069 67.157
7346.092914 67.147
7399.325732 67.136
7452.944296 67.126
7506.951403 67.115
7561.349867 67.105
7616.142525 67.095
7671.332234 67.084
7726.921869 67.074
7782.914330 67.064
7839.312536 67.053
7896.119426 67.043
7953.337962 67.032
8010.971128 67.022
8069.021927 67.011
8127.493386 67.001
8186.388553 66.991
8245.710500 66.980
8305.462317 66.970
8365.647121 66.959
8426.268048 66.949
8487.328260 66.938
8548.830939 66.928
8610.779292 66.918
8673.176549 66.908
8736.025961 66.897
8799.330806 66.887
8863.094385 66.876
8927.320020 66.866
8992.011061 66.855
9057.170880 66.845
9122.802874 66.835
9188.910464 66.824
9255.497097 66.814
9322.566244 66.803
9390.121402 66.793
9458.166093 66.782
9526.703863 66.772
9595.738287 66.762
9665.272962 66.751
9735.311514 66.741
9805.857594 66.731
9876.914881 66.720
9948.487077 66.709
10020.577916 66.699
10093.191154 66.689
10166.330578 66.678
10240.000000 66.668
10314.203261 66.658
10388.944230 66.647
10464.226802 66.637
10540.054903 66.626
10616.432486 66.616
10693.363532 66.605
10770.852052 66.595
10848.902086 66.584
10927.517703 66.574
11006.703001 66.563
11086.462108 66.553
11166.799182 66.543
11247.718413 66.532
11329.224017 66.522
11411.320244 66.511
11494.011375 66.501
11577.301719 66.490
11661.195620 66.480
11745.697450 66.470
11830.811616 66.459
11916.542554 66.449
12002.894734 66.439
12089.872657 66.428
12177.480858 66.418
12265.723904 66.407
12354.606395 66.397
12444.132966 66.386
12534.308283 66.376
12625.137048 66.366
12716.623996 66.355
12808.773895 66.345
12901.591551 66.334
12995.081802 66.324
13089.249521 66.314
13184.099619 66.303
13279.637040 66.293
13375.866764 66.283
13472.793808 66.272
13570.423226 66.262
13668.760107 66.251
13767.809577 66.241
13867.576801 66.230
13968.066979 66.220
14069.285350 66.210
14171.237191 66.199
14273.927818 66.189
14377.362583 66.178
14481.546879 66.168
14586.486137 66.157
14692.185828 66.147
14798.651463 66.137
14905.888592 66.126
15013.902806 66.116
15122.699734 66.106
15232.285051 66.095
15342.664467 66.085
15453.843739 66.074
15565.828661 66.063
15678.625072 66.053
15792.238852 66.042
15906.675925 66.032
16021.942256 66.022
16138.043854 66.011
16254.986772 66.001
16372.777107 65.991
16491.420999 65.980
16610.924634 65.970
16731.294241 65.959
16852.536096 65.949
16974.656520 65.938
17097.661878 65.928
17221.558584 65.918
17346.353097 65.907
17472.051922 65.897
17598.661613 65.886
17726.188769 65.876
17854.640040 65.865
17984.022122 65.855
18114.341760 65.845
18245.605748 65.835
18377.820928 65.824
18510.994194 65.814
18645.132489 65.803
18780.242805 65.793
18916.332186 65.782
19053.407727 65.772
19191.476573 65.762
19330.545924 65.751
19470.623028 65.741
19611.715189 65.730
19753.829761 65.720
19896.974155 65.710
20041.155832 65.703
20186.382308 65.702
20332.661156 65.702
20480.000000 65.702
20628.406522 65.702
20777.888460 65.702
20928.453604 65.702
21080.109806 65.702
21232.864972 65.702
21386.727064 65.702
21541.704105 65.702
21697.804172 65.702
21855.035406 65.702
22013.406002 65.702
22172.924216 65.702
22333.598365 65.702
22495.436825 65.702
22658.448034 65.702
22822.640488 65.702
22988.022749 65.702
23154.603438 65.702
23322.391240 65.702
23491.394901 65.702
23661.623232 65.702
23833.085108 65.702
24005.789467 65.702
