* Measurement data measured by REW V5.40 beta 135
* Source: Vector average
* Format: Vector average
* Dated: Sep 14, 2026, 4:22:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Vector average of L.0, R.0
* Measurement: Vector average
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 68.064 -149.4887
15.380859 69.033 -148.9637
15.747070 70.005 -153.5114
16.113281 70.898 -159.1814
16.479492 71.962 -167.8421
16.845703 72.649 -177.7441
17.211914 72.934 175.8774
17.578125 73.199 172.3922
17.944336 73.477 168.9624
18.310547 73.919 164.8101
18.676758 74.631 158.7224
19.042968 75.221 151.0989
19.409179 75.417 144.5549
19.775390 75.483 139.9769
20.141601 75.647 134.4745
20.507812 75.502 127.2350
20.874023 74.930 123.1074
21.240234 74.761 123.6843
21.606445 75.118 122.7003
21.972656 75.345 119.8428
22.338867 75.681 116.9991
22.705077 76.124 112.1793
23.071288 76.299 106.7241
23.437499 76.405 102.1576
23.803710 76.507 97.2148
24.169921 76.530 93.2244
24.536132 76.803 90.2584
24.902343 77.101 85.3622
25.268554 76.977 79.5658
25.634765 76.675 74.5143
26.000976 76.455 69.5656
26.367187 76.334 65.3824
26.733397 76.296 61.9319
27.099608 75.996 59.1446
27.465819 75.601 58.9686
27.832030 75.774 57.2882
28.198241 75.954 49.0355
28.564452 75.453 37.9505
28.930663 74.341 29.0036
29.296874 72.841 24.2194
29.663085 71.170 25.3147
30.029296 70.016 32.7960
30.395507 69.833 41.5485
30.761717 70.065 47.5560
31.127928 70.258 52.2206
31.494139 70.667 56.4417
31.860350 71.350 57.6982
32.226561 71.886 56.4212
32.592772 72.223 55.3059
32.958983 72.528 54.8018
33.325194 72.940 53.9780
33.691405 73.469 51.1549
34.057616 73.866 46.8877
34.423827 74.230 43.7810
34.790037 74.796 40.3700
35.156248 75.149 34.7868
35.522459 75.138 29.1449
35.888670 75.126 23.4182
36.254881 74.952 16.0173
36.621092 74.320 9.2489
36.987303 73.532 4.7913
37.353514 72.729 0.4611
37.719725 71.638 -3.2507
38.085936 70.485 -3.8102
38.452147 69.543 -2.4927
38.818357 68.654 -0.2235
39.184568 67.987 2.5190
39.550779 67.441 3.7180
39.916990 66.809 6.4485
40.283201 66.675 11.7399
40.649412 66.719 14.6992
41.015623 66.289 18.2098
41.381834 66.202 24.0485
41.748045 66.502 27.5718
42.114256 66.803 32.7541
42.480467 67.603 38.5781
42.846677 67.981 41.8184
43.212888 68.185 47.8951
43.579099 69.356 47.7125
43.945310 70.054 37.3133
44.311521 70.075 29.5785
44.677732 70.827 26.8488
45.043943 71.649 19.4983
45.410154 71.305 11.3992
45.776365 70.707 8.0999
46.142576 70.601 4.3920
46.508786 70.158 0.1599
46.874997 69.494 -1.0732
47.241208 68.526 -3.7869
47.607419 66.496 -4.1307
47.973630 65.289 6.1002
48.339841 65.986 11.9014
48.706052 66.212 15.1125
49.072263 66.440 23.6530
49.438474 66.897 30.9096
49.804685 67.469 37.4910
50.170896 69.059 37.8044
50.537106 70.505 28.3481
50.903317 71.034 18.9727
51.269528 71.384 14.8713
51.635739 71.933 9.6384
52.001950 71.843 1.4473
52.368161 71.319 -3.4981
52.734372 71.486 -6.0909
53.100583 71.885 -12.1952
53.466794 71.707 -18.6896
53.833005 71.381 -22.6558
54.199216 71.285 -27.2208
54.565426 71.050 -33.7883
54.931637 70.451 -39.9364
55.297848 69.765 -43.8208
55.664059 69.336 -48.0502
56.030270 68.657 -54.7258
56.396481 67.591 -57.9801
56.762692 67.448 -58.4182
57.128903 67.523 -65.9304
57.495114 66.483 -72.6592
57.861325 66.145 -71.1553
58.227536 67.094 -77.4725
58.593746 67.116 -90.2289
58.959957 66.754 -98.2941
59.326168 67.295 -105.7589
59.692379 67.840 -116.6719
60.058590 68.121 -125.1038
60.424801 68.923 -131.5493
60.791012 70.216 -140.3397
61.157223 71.647 -151.1970
61.523434 73.024 -162.6772
61.889645 74.283 -173.9454
62.255856 75.449 174.0486
62.622066 76.351 160.6783
62.988277 76.936 147.5616
63.354488 77.352 135.2194
63.720699 77.466 123.1141
64.086910 77.221 113.2795
64.453121 77.203 106.4057
64.819332 77.517 98.5436
65.185543 77.521 90.1882
65.551754 77.356 84.8691
65.917965 77.541 80.0180
66.284176 77.757 72.1168
66.650386 77.677 62.7886
67.016597 77.359 53.8196
67.382808 76.795 45.5793
67.749019 75.879 38.5181
68.115230 74.607 34.0047
68.481441 73.368 33.9284
68.847652 72.749 36.0322
69.213863 72.456 36.4828
69.580074 72.123 36.0441
69.946285 71.763 34.7314
70.312495 71.269 33.2971
70.678706 70.907 32.8294
71.044917 70.560 31.2466
71.411128 69.769 30.7422
71.777339 69.031 32.7822
72.143550 68.264 33.0115
72.509761 66.977 35.7082
72.875972 66.285 43.3122
73.242183 65.907 48.9158
73.608394 65.210 58.2177
73.974605 65.198 70.3007
74.340815 65.404 82.8159
74.707026 66.879 97.5876
75.073237 69.287 102.9722
75.439448 71.159 102.8452
75.805659 72.749 101.6683
76.171870 74.159 98.6625
76.538081 75.329 94.6816
76.904292 76.370 90.2512
77.270503 77.232 85.4706
77.636714 77.930 81.1281
78.002925 78.600 76.8627
78.369135 79.250 71.7286
78.735346 79.809 65.4737
79.101557 80.157 58.4802
79.467768 80.231 51.9451
79.833979 80.166 46.5739
80.200190 80.056 41.6512
80.566401 79.831 37.1755
80.932612 79.587 34.0623
81.298823 79.498 31.6161
81.665034 79.458 28.6496
82.031245 79.346 25.6297
82.397455 79.246 22.8983
82.763666 79.158 20.0007
83.129877 79.021 17.2047
83.496088 78.893 14.3793
83.862299 78.676 10.5957
84.228510 78.172 6.7949
84.594721 77.480 4.8834
84.960932 76.805 5.3574
85.327143 76.338 8.4337
85.693354 76.415 12.2443
86.059565 76.847 13.3940
86.425775 77.273 12.2673
86.791986 77.641 9.6708
87.158197 77.801 6.1602
87.524408 77.780 3.1894
87.890619 77.748 0.2631
88.256830 77.624 -3.1139
88.623041 77.500 -6.4250
88.989252 77.365 -11.3084
89.355463 76.783 -17.0579
89.721674 75.890 -20.2822
90.087885 75.115 -22.0553
90.454095 74.148 -22.6212
90.820306 73.406 -18.0415
91.186517 73.532 -14.3804
91.552728 73.355 -15.0183
91.918939 72.651 -13.9263
92.285150 72.075 -11.5417
92.651361 71.361 -9.4867
93.017572 70.675 -4.0132
93.383783 70.724 2.7874
93.749994 71.183 6.8608
94.116205 71.657 9.1993
94.482415 72.167 10.5587
94.848626 72.619 10.3065
95.214837 72.771 9.2375
95.581048 72.716 9.1942
95.947259 72.699 9.8106
96.313470 72.780 10.8973
96.679681 73.209 11.4006
97.045892 73.620 8.4901
97.412103 73.437 5.3562
97.778314 73.140 5.4401
98.144524 72.996 5.3390
98.510735 72.521 6.0153
98.876946 72.294 9.9952
99.243157 72.474 11.8969
99.609368 72.362 12.7260
99.975579 72.349 15.1280
100.341790 72.463 16.4525
100.708001 72.402 18.8456
101.074212 72.609 22.9637
101.440423 72.980 26.1067
101.806634 73.389 29.4163
102.172844 74.081 32.2099
102.539055 74.949 33.4385
102.905266 75.937 33.0895
103.271477 76.842 30.6257
103.637688 77.472 27.2205
104.003899 77.915 23.5361
104.370110 78.155 19.3816
104.736321 78.203 15.7061
105.102532 78.229 12.5475
105.468743 78.183 9.1900
105.834954 77.984 6.4528
106.201164 77.752 4.8740
106.567375 77.528 4.1688
106.933586 77.314 4.4385
107.299797 77.156 5.5082
107.666008 77.102 7.1138
108.032219 77.216 8.6273
108.398430 77.435 9.5740
108.764641 77.723 10.3315
109.130852 78.071 10.6932
109.497063 78.402 10.8579
109.863274 78.812 11.0539
110.229484 79.328 10.3587
110.595695 79.848 8.8375
110.961906 80.381 6.5831
111.328117 80.792 3.1497
111.694328 80.952 -0.3063
112.060539 81.044 -2.8864
112.426750 81.185 -5.5024
112.792961 81.273 -8.2655
113.159172 81.336 -10.4680
113.525383 81.477 -12.3443
113.891594 81.704 -14.5380
114.257804 81.951 -17.3853
114.624015 82.148 -20.7076
114.990226 82.274 -24.3219
115.356437 82.295 -28.4050
115.722648 82.169 -32.7702
116.088859 81.923 -37.1528
116.455070 81.534 -41.3146
116.821281 81.011 -44.2724
117.187492 80.523 -45.7928
117.553703 80.101 -46.9713
117.919914 79.666 -47.6979
118.286124 79.331 -47.6923
118.652335 79.097 -47.6459
119.018546 78.887 -47.2031
119.384757 78.808 -46.5782
119.750968 78.786 -47.0221
120.117179 78.674 -48.0030
120.483390 78.575 -48.7170
120.849601 78.534 -49.7702
121.215812 78.409 -51.2050
121.582023 78.186 -52.2557
121.948233 77.961 -52.9709
122.314444 77.705 -53.5515
122.680655 77.411 -53.2662
123.046866 77.206 -52.0162
123.413077 77.119 -50.7709
123.779288 77.103 -50.0515
124.145499 77.131 -50.0966
124.511710 77.125 -50.3463
124.877921 77.163 -49.8918
125.244132 77.318 -49.5417
125.610343 77.446 -49.8861
125.976553 77.570 -50.6384
126.342764 77.720 -52.5294
126.708975 77.732 -55.0257
127.075186 77.672 -56.5686
127.441397 77.671 -57.9160
127.807608 77.558 -59.7775
128.173819 77.358 -61.1820
128.540030 77.268 -62.6428
128.906241 77.170 -64.7878
129.272452 76.976 -66.3943
129.638663 76.794 -67.4681
130.004873 76.537 -69.0268
130.371084 76.116 -70.5344
130.737295 75.665 -71.6619
131.103506 75.172 -72.5515
131.469717 74.630 -71.8868
131.835928 74.274 -69.6848
132.202139 74.044 -67.6295
132.568350 73.829 -65.2311
132.934561 73.808 -62.9637
133.300772 73.823 -61.9404
133.666983 73.801 -60.6958
134.033193 73.919 -59.8190
134.399404 73.906 -60.2284
134.765615 73.692 -59.7810
135.131826 73.583 -58.5537
135.498037 73.499 -57.4885
135.864248 73.487 -55.4299
136.230459 73.685 -53.6564
136.596670 73.797 -52.5767
136.962881 73.879 -50.6334
137.329092 74.117 -49.0069
137.695303 74.372 -48.2619
138.061513 74.684 -47.7212
138.427724 75.068 -47.6908
138.793935 75.453 -47.8248
139.160146 75.856 -48.3163
139.526357 76.162 -49.4404
139.892568 76.393 -50.6080
140.258779 76.634 -52.4309
140.624990 76.762 -54.9984
140.991201 76.810 -57.1990
141.357412 76.903 -59.3118
141.723623 76.976 -61.6132
142.089833 77.039 -63.6867
142.456044 77.095 -65.8418
142.822255 77.068 -67.7488
143.188466 77.056 -69.2624
143.554677 77.044 -71.4205
143.920888 76.900 -73.8911
144.287099 76.715 -75.8455
144.653310 76.558 -77.7275
145.019521 76.350 -79.6368
145.385732 76.077 -81.4379
145.751942 75.705 -83.2825
146.118153 75.224 -84.7203
146.484364 74.713 -85.5106
146.850575 74.162 -85.5692
147.216786 73.597 -84.1039
147.582997 73.163 -81.2836
147.949208 72.835 -77.9130
148.315419 72.642 -73.4776
148.681630 72.841 -68.9572
149.047841 73.279 -66.5631
149.414052 73.675 -65.3238
149.780262 74.154 -64.3679
150.146473 74.662 -64.8559
150.512684 74.986 -66.0812
150.878895 75.249 -67.3063
151.245106 75.443 -69.5328
151.611317 75.414 -71.8807
151.977528 75.352 -73.2015
152.343739 75.347 -74.4636
152.709950 75.280 -75.4495
153.076161 75.255 -75.8848
153.442372 75.230 -76.5267
153.808582 75.181 -76.5172
154.174793 75.303 -76.4969
154.541004 75.371 -77.6924
154.907215 75.263 -78.1412
155.273426 75.317 -77.5760
155.639637 75.524 -77.8741
156.005848 75.697 -78.6521
156.372059 75.844 -79.3487
156.738270 75.960 -79.9261
157.104481 76.100 -80.6651
157.470692 76.227 -82.2078
157.836902 76.323 -83.7028
158.203113 76.581 -85.0716
158.569324 76.896 -87.4827
158.935535 77.053 -90.2633
159.301746 77.113 -92.9672
159.667957 77.082 -96.1273
160.034168 76.956 -99.3861
160.400379 76.784 -102.6163
160.766590 76.492 -105.4103
161.132801 76.173 -106.9573
161.499012 75.955 -108.5164
161.865222 75.668 -110.7435
162.231433 75.324 -112.3969
162.597644 75.057 -113.5862
162.963855 74.789 -114.4494
163.330066 74.533 -114.7994
163.696277 74.255 -115.2423
164.062488 73.931 -115.1730
