* Measurement data measured by REW V5.40 beta 133
* Source: /home/giacomo/DRC/DRC-120.green/X801.wav
* Format: Imported Impulse Response, 48000.0 Hz sampling
* Dated: Sep 12, 2026, 10:33:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Impulse Response imported from /home/giacomo/DRC/DRC-120.green/X801.wav 131072 samples (2.73 s) of 32-bit Float data at 48 kHz
* Measurement: X801
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 -0.010 0.1713
0.732422 -0.010 0.3426
1.098633 -0.010 0.5139
1.464844 -0.010 0.6852
1.831055 -0.010 0.8565
2.197265 -0.010 1.0279
2.563476 -0.010 1.1992
2.929687 -0.010 1.3705
3.295898 -0.010 1.5418
3.662109 -0.010 1.7131
4.028320 -0.010 1.8844
4.394531 -0.010 2.0558
4.760742 -0.010 2.2271
5.126953 -0.010 2.3984
5.493164 -0.010 2.5698
5.859375 -0.010 2.7411
6.225585 -0.010 2.9125
6.591796 -0.010 3.0838
6.958007 -0.010 3.2552
7.324218 -0.010 3.4265
7.690429 -0.010 3.5979
8.056640 -0.010 3.7693
8.422851 -0.010 3.9407
8.789062 -0.010 4.1121
9.155273 -0.010 4.2835
9.521484 -0.010 4.4549
9.887695 -0.010 4.6263
10.253905 -0.010 4.7977
10.620116 -0.010 4.9691
10.986327 -0.010 5.1406
11.352538 -0.010 5.3120
11.718749 -0.010 5.4835
12.084960 -0.010 5.6550
12.451171 -0.010 5.8264
12.817382 -0.010 5.9979
13.183593 -0.010 6.1694
13.549804 -0.010 6.3409
13.916015 -0.010 6.5124
14.282225 -0.010 6.6840
14.648436 -0.010 6.8555
15.014647 -0.010 7.0271
15.380858 -0.010 7.1986
15.747069 -0.010 7.3702
16.113280 -0.010 7.5418
16.479491 -0.010 7.7134
16.845702 -0.010 7.8850
17.211913 -0.010 8.0567
17.578124 -0.010 8.2283
17.944335 -0.010 8.4000
18.310545 -0.010 8.5717
18.676756 -0.010 8.7433
19.042967 -0.010 8.9151
19.409178 -0.010 9.0868
19.775389 -0.010 9.2585
20.141600 -0.010 9.4303
20.507811 -0.010 9.6020
20.874022 -0.010 9.7738
21.240233 -0.010 9.9456
21.606444 -0.010 10.1175
21.972654 -0.010 10.2893
22.338865 -0.010 10.4612
22.705076 -0.010 10.6330
23.071287 -0.010 10.8049
23.437498 -0.010 10.9768
23.803709 -0.010 11.1488
24.169920 -0.010 11.3207
24.536131 -0.010 11.4927
24.902342 -0.010 11.6647
25.268553 -0.010 11.8367
25.634764 -0.010 12.0087
26.000974 -0.010 12.1808
26.367185 -0.010 12.3529
26.733396 -0.010 12.5250
27.099607 -0.010 12.6971
27.465818 -0.010 12.8692
27.832029 -0.010 13.0414
28.198240 -0.010 13.2136
28.564451 -0.010 13.3858
28.930662 -0.010 13.5580
29.296873 -0.010 13.7303
29.663084 -0.010 13.9026
30.029294 -0.010 14.0749
30.395505 -0.010 14.2472
30.761716 -0.010 14.4195
31.127927 -0.010 14.5919
31.494138 -0.010 14.7643
31.860349 -0.010 14.9368
32.226560 -0.010 15.1092
32.592771 -0.010 15.2817
32.958982 -0.010 15.4542
33.325193 -0.010 15.6267
33.691404 -0.010 15.7993
34.057614 -0.010 15.9719
34.423825 -0.010 16.1445
34.790036 -0.010 16.3172
35.156247 -0.010 16.4898
35.522458 -0.010 16.6625
35.888669 -0.010 16.8353
36.254880 -0.010 17.0080
36.621091 -0.010 17.1808
36.987302 -0.010 17.3536
37.353513 -0.010 17.5265
37.719724 -0.010 17.6994
38.085934 -0.010 17.8723
38.452145 -0.010 18.0452
38.818356 -0.010 18.2182
39.184567 -0.010 18.3912
39.550778 -0.010 18.5642
39.916989 -0.010 18.7373
40.283200 -0.010 18.9104
40.649411 -0.010 19.0835
41.015622 -0.010 19.2567
41.381833 -0.010 19.4299
41.748044 -0.010 19.6031
42.114254 -0.010 19.7763
42.480465 -0.010 19.9496
42.846676 -0.010 20.1230
43.212887 -0.010 20.2963
43.579098 -0.010 20.4697
43.945309 -0.010 20.6432
44.311520 -0.010 20.8167
44.677731 -0.010 20.9901
45.043942 -0.010 21.1637
45.410153 -0.010 21.3373
45.776363 -0.010 21.5109
46.142574 -0.010 21.6845
46.508785 -0.010 21.8582
46.874996 -0.010 22.0320
47.241207 -0.010 22.2057
47.607418 -0.010 22.3795
47.973629 -0.010 22.5533
48.339840 -0.010 22.7272
48.706051 -0.010 22.9011
49.072262 -0.010 23.0751
49.438473 -0.010 23.2491
49.804683 -0.010 23.4231
50.170894 -0.010 23.5972
50.537105 -0.010 23.7713
50.903316 -0.010 23.9454
51.269527 -0.010 24.1196
51.635738 -0.010 24.2939
52.001949 -0.010 24.4682
52.368160 -0.010 24.6425
52.734371 -0.010 24.8168
53.100582 -0.010 24.9912
53.466793 -0.010 25.1657
53.833003 -0.010 25.3401
54.199214 -0.010 25.5147
54.565425 -0.010 25.6892
54.931636 -0.010 25.8638
55.297847 -0.010 26.0385
55.664058 -0.010 26.2132
56.030269 -0.010 26.3879
56.396480 -0.010 26.5627
56.762691 -0.010 26.7375
57.128902 -0.010 26.9124
57.495113 -0.010 27.0873
57.861323 -0.010 27.2623
58.227534 -0.010 27.4373
58.593745 -0.010 27.6124
58.959956 -0.010 27.7875
59.326167 -0.010 27.9626
