* Generated by rew_pipeline.py (derived directly from its own WAV, phase referenced to its peak (sample 8192))
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.000000 0.000 0.0000
0.366211 0.000 0.1347
0.732422 0.000 0.2694
1.098633 0.000 0.4042
1.464844 0.000 0.5389
1.831055 0.000 0.6736
2.197266 0.000 0.8083
2.563477 0.000 0.9430
2.929688 0.000 1.0776
3.295898 0.000 1.2122
3.662109 0.000 1.3469
4.028320 0.000 1.4814
4.394531 0.000 1.6160
4.760742 0.000 1.7505
5.126953 0.000 1.8849
5.493164 0.000 2.0193
5.859375 0.000 2.1537
6.225586 0.000 2.2880
6.591797 0.000 2.4223
6.958008 0.000 2.5566
7.324219 0.000 2.6907
7.690430 0.000 2.8248
8.056641 0.000 2.9588
8.422852 0.000 3.0927
8.789062 0.000 3.2266
9.155273 0.000 3.3604
9.521484 0.000 3.4941
9.887695 0.000 3.6277
10.253906 0.000 3.7612
10.620117 0.000 3.8945
10.986328 0.000 4.0278
11.352539 -0.000 4.1610
11.718750 0.000 4.2940
12.084961 0.000 4.4269
12.451172 0.000 4.5596
12.817383 0.000 4.6922
13.183594 0.000 4.8246
13.549805 0.000 4.9568
13.916016 0.000 5.0889
14.282227 0.000 5.2207
14.648438 0.000 5.3523
15.014648 0.000 5.4836
15.380859 0.000 5.6146
15.747070 0.000 5.7454
16.113281 -0.000 5.8758
16.479492 -0.000 6.0059
16.845703 0.000 6.1356
17.211914 -0.000 6.2648
17.578125 -0.000 6.3934
17.944336 -0.000 6.5215
18.310547 0.000 6.6489
18.676758 0.000 6.7755
19.042969 0.000 6.9010
19.409180 -0.000 7.0256
19.775391 0.000 7.1486
20.141602 -0.000 7.2700
20.507812 -0.000 7.3891
20.874023 -0.000 7.5054
21.240234 -0.000 7.6176
21.606445 -0.000 7.7243
21.972656 -0.000 7.8222
22.338867 -0.000 7.9050
22.705078 -0.001 7.9543
23.071289 -0.010 7.9335
23.437500 -0.044 7.9479
23.803711 -0.085 8.1260
24.169922 -0.118 8.4208
24.536133 -0.139 8.7905
24.902344 -0.145 9.2030
25.268555 -0.133 9.6222
25.634766 -0.101 9.9934
26.000977 -0.052 10.2168
26.367188 -0.012 10.2141
26.733398 -0.001 10.1803
27.099609 -0.000 10.2188
27.465820 -0.000 10.2947
27.832031 0.000 10.3876
28.198242 -0.000 10.4898
28.564453 -0.000 10.5979
28.930664 -0.000 10.7099
29.296875 0.000 10.8246
29.663086 -0.000 10.9414
30.029297 0.000 11.0597
30.395508 -0.000 11.1791
30.761719 0.000 11.2994
31.127930 -0.000 11.4204
31.494141 -0.000 11.5419
31.860352 -0.000 11.6638
32.226562 0.000 11.7859
32.592773 -0.000 11.9082
32.958984 -0.000 12.0307
33.325195 -0.000 12.1533
33.691406 0.000 12.2759
34.057617 -0.000 12.3984
34.423828 -0.000 12.5210
34.790039 0.000 12.6435
35.156250 0.000 12.7658
35.522461 -0.000 12.8880
35.888672 -0.000 13.0101
36.254883 -0.000 13.1320
36.621094 0.000 13.2536
36.987305 0.000 13.3751
37.353516 -0.000 13.4964
37.719727 -0.000 13.6175
38.085938 0.000 13.7383
38.452148 -0.000 13.8587
38.818359 -0.000 13.9790
39.184570 -0.000 14.0989
39.550781 0.000 14.2186
39.916992 -0.000 14.3378
40.283203 0.000 14.4568
40.649414 -0.000 14.5755
41.015625 0.000 14.6937
41.381836 -0.000 14.8116
41.748047 -0.000 14.9291
42.114258 -0.000 15.0462
42.480469 0.000 15.1630
42.846680 0.000 15.2792
43.212891 0.000 15.3951
43.579102 -0.000 15.5105
43.945312 -0.000 15.6255
44.311523 -0.000 15.7400
44.677734 -0.000 15.8540
45.043945 0.000 15.9675
45.410156 -0.000 16.0805
45.776367 -0.000 16.1930
46.142578 0.000 16.3049
46.508789 -0.000 16.4163
46.875000 -0.000 16.5271
47.241211 -0.000 16.6373
47.607422 0.000 16.7469
47.973633 -0.000 16.8559
48.339844 0.000 16.9643
48.706055 -0.000 17.0720
49.072266 0.000 17.1791
49.438477 -0.000 17.2854
49.804688 0.000 17.3910
50.170898 0.000 17.4959
50.537109 0.000 17.6001
50.903320 0.000 17.7035
51.269531 0.000 17.8060
51.635742 -0.000 17.9078
52.001953 0.000 18.0087
52.368164 -0.000 18.1087
52.734375 0.000 18.2079
53.100586 -0.000 18.3061
53.466797 0.000 18.4034
53.833008 -0.000 18.4997
54.199219 0.000 18.5949
54.565430 -0.000 18.6892
54.931641 0.000 18.7824
55.297852 -0.000 18.8744
55.664062 -0.000 18.9653
56.030273 0.000 19.0550
56.396484 0.000 19.1435
56.762695 0.000 19.2307
57.128906 0.000 19.3166
57.495117 -0.000 19.4011
