* Generated by rew_pipeline.py (source UUID dfb65ea2-0ad3-4047-a78a-47ab03241470, calibrated to its own SPL at 100 Hz)
* Measurement: L.filtered.clean-fdw8
* Dated: 2026-Sep-12 16:10:00
* Note: ; Trace Arithmetic A times B A = L.nofdw.clean-fdw8 B = FLX-trimmed.clean-fdw8
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.000000 -65.191 180.0000
0.183105 -73.089 3.7976
0.366211 -64.934 -132.2159
0.549316 -66.348 -24.3305
0.732422 -61.871 -10.4016
0.915527 -68.103 39.5815
1.098633 -61.412 -108.0864
1.281738 -63.044 -61.0422
1.464844 -60.623 149.0908
1.647949 -71.066 -148.2510
1.831055 -63.245 129.0098
2.014160 -70.104 -24.4335
2.197266 -67.007 -53.0402
2.380371 -63.899 178.6854
2.563477 -64.718 154.4128
2.746582 -63.807 -149.5716
2.929688 -70.257 -163.9616
3.112793 -77.755 66.0320
3.295898 -61.266 -161.7010
3.479004 -71.808 -24.8387
3.662109 -63.660 -132.8808
3.845215 -67.203 -17.1000
4.028320 -65.311 13.2666
4.211426 -64.147 19.4543
4.394531 -66.284 -99.2121
4.577637 -63.381 133.7525
4.760742 -64.946 70.8927
4.943848 -61.470 21.6872
5.126953 -64.693 -91.7363
5.310059 -64.361 -141.3169
5.493164 -64.729 -123.1666
5.676270 -62.822 166.4110
5.859375 -65.574 -30.4439
6.042480 -74.182 -124.3091
6.225586 -66.008 -116.3147
6.408691 -61.379 -126.9047
6.591797 -71.524 -45.4188
6.774902 -69.315 167.7856
6.958008 -68.453 140.3396
7.141113 -66.175 6.8559
7.324219 -74.592 -87.3491
7.507324 -60.814 139.7781
7.690430 -62.130 175.4821
7.873535 -72.087 109.2975
8.056641 -68.256 179.7966
8.239746 -62.225 -160.3585
8.422852 -65.122 -87.0763
8.605957 -60.598 -144.9083
8.789062 -65.227 -31.5868
8.972168 -59.386 -68.8040
9.155273 -65.311 -126.0675
9.338379 -61.762 114.7796
9.521484 -63.381 148.9500
9.704590 -86.811 -103.9501
9.887695 -69.267 61.9502
10.070801 -61.003 92.0616
10.253906 -66.600 -90.2272
10.437012 -70.490 178.9860
10.620117 -61.849 69.9234
10.803223 -65.796 -24.4323
10.986328 -73.258 44.0307
11.169434 -70.487 80.9025
11.352539 -61.394 -83.1298
11.535645 -66.864 -145.8708
11.718750 -62.996 104.6137
11.901855 -61.692 -19.4353
12.084961 -59.068 7.2272
12.268066 -67.974 60.5612
12.451172 -66.420 -155.7500
12.634277 -67.796 115.1317
12.817383 -60.755 97.7017
13.000488 -69.360 71.9097
13.183594 -62.626 -95.8909
13.366699 -72.697 56.2482
13.549805 -59.283 166.7207
13.732910 -57.976 128.8069
13.916016 -64.023 -18.6379
14.099121 -61.337 -170.5404
14.282227 -59.106 -52.0910
14.465332 -75.122 -119.9378
14.648438 -65.436 168.8971
14.831543 -63.486 -20.5234
15.014648 -64.392 -77.0941
15.197754 68.686 172.0590
15.380859 69.274 105.0679
15.563965 69.826 36.4694
15.747070 70.294 -32.5161
15.930176 70.796 -101.3969
16.113281 71.429 -170.7474
16.296387 72.143 118.6646
16.479492 72.794 46.8543
16.662598 73.272 -25.3726
16.845703 73.554 -96.9941
17.028809 73.699 -167.2987
17.211914 73.794 123.8353
17.395020 73.902 56.0273
17.578125 74.038 -11.2040
17.761230 74.211 -78.1780
17.944336 74.455 -145.2043
18.127441 74.795 147.2147
18.310547 75.201 78.5921
18.493652 75.593 8.8785
18.676758 75.902 -61.4415
18.859863 76.114 -131.6545
19.042969 76.276 158.7563
19.226074 76.449 89.8263
19.409180 76.659 21.1686
19.592285 76.874 -47.6529
19.775391 77.037 -116.8164
19.958496 77.111 173.7394
20.141602 77.088 104.1358
20.324707 76.968 34.4834
20.507812 76.747 -35.0084
20.690918 76.435 -103.9052
20.874023 76.092 -171.6458
21.057129 75.845 122.0193
21.240234 75.824 56.5401
21.423340 76.035 -9.2002
21.606445 76.344 -75.9019
21.789551 76.611 -143.3702
21.972656 76.791 149.0256
22.155762 76.936 81.6585
22.338867 77.115 14.3076
22.521973 77.332 -53.5723
22.705078 77.524 -122.2641
22.888184 77.629 168.4479
23.071289 77.644 99.0267
23.254395 77.614 29.8078
23.437500 77.588 -39.1797
23.620605 77.572 -108.0371
23.803711 77.539 -176.6598
23.986816 77.487 115.2896
24.169922 77.475 47.9798
24.353027 77.570 -19.0192
24.536133 77.758 -86.5808
24.719238 77.921 -155.2824
24.902344 77.929 135.0545
25.085449 77.730 65.1566
25.268555 77.386 -4.2166
25.451660 77.037 -72.7972
25.634766 76.802 -141.0394
25.817871 76.685 150.3364
26.000977 76.588 81.1138
26.184082 76.420 11.7539
26.367188 76.169 -57.0906
26.550293 75.881 -125.1761
26.733398 75.574 167.1825
26.916504 75.177 99.6622
27.099609 74.593 32.5912
27.282715 73.829 -33.0722
27.465820 73.089 -96.6930
27.648926 72.648 -159.4132
27.832031 72.503 136.1589
28.015137 72.318 68.6350
28.198242 71.754 -1.1463
28.381348 70.652 -71.1250
28.564453 69.062 -138.7458
28.747559 67.299 158.4543
28.930664 65.954 101.0295
29.113770 65.446 46.2555
29.296875 65.690 -8.4507
29.479980 66.592 -63.8751
29.663086 68.101 -121.6707
29.846191 69.885 176.5936
30.029297 71.556 111.3492
30.212402 72.929 44.0268
30.395508 73.986 -24.1872
30.578613 74.783 -92.6672
30.761719 75.379 -161.1992
30.944824 75.818 130.2763
31.127930 76.138 61.8263
31.311035 76.381 -6.4830
31.494141 76.589 -74.6674
31.677246 76.786 -142.8208
31.860352 76.968 149.0033
32.043457 77.123 80.8758
32.226562 77.250 12.9187
32.409668 77.364 -54.8520
32.592773 77.474 -122.5714
32.775879 77.568 169.6265
32.958984 77.629 101.7915
33.142090 77.668 34.1306
33.325195 77.736 -33.2472
33.508301 77.885 -100.5551
33.691406 78.110 -168.1993
33.874512 78.345 123.6345
34.057617 78.523 55.2010
34.240723 78.634 -13.0217
34.423828 78.737 -80.7829
34.606934 78.902 -148.3660
34.790039 79.133 143.6083
34.973145 79.359 74.7641
35.156250 79.500 5.2926
35.339355 79.534 -64.2567
35.522461 79.509 -133.4391
35.705566 79.501 157.7199
35.888672 79.534 88.7599
36.071777 79.555 19.2469
36.254883 79.475 -50.8215
36.437988 79.247 -121.0501
36.621094 78.893 169.0139
36.804199 78.485 99.5316
36.987305 78.082 30.2708
37.170410 77.680 -39.1022
37.353516 77.219 -108.5917
37.536621 76.647 -177.7601
37.719727 75.968 113.9716
37.902832 75.243 46.8692
38.085938 74.523 -19.3298
38.269043 73.795 -85.0757
38.452148 73.010 -150.4252
38.635254 72.188 145.0066
38.818359 71.466 81.3479
39.001465 70.984 17.7920
39.184570 70.711 -46.8081
39.367676 70.473 -112.5775
39.550781 70.148 -178.4300
39.733887 69.774 116.9026
39.916992 69.499 53.6902
40.100098 69.385 -9.0429
40.283203 69.310 -72.2593
40.466309 69.121 -135.8205
40.649414 68.821 160.9931
40.832520 68.558 98.2579
