* Generated by rew_pipeline.py (source UUID a5e9af94-77a9-4614-b030-74790d74babe, calibrated to its own SPL at 100 Hz)
* Measurement: L.nofdw.clean-fdw8
* Dated: 2026-Sep-12 16:09:58
* Note: ; Copy of L.0 10 sept 2026 Position MLP 4.18m from front wall 3.32m from R and L speaker 1.20m speakers to front wall marker: green 2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY 0.0001 ms (0.03 mm, 0 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.1 ppm
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.000000 47.295 0.0000
0.366211 48.860 -85.3671
0.732422 57.170 -169.7682
1.098633 48.207 -56.2175
1.464844 43.161 -23.2907
1.831055 54.567 -67.4908
2.197266 57.054 39.2167
2.563477 57.973 -141.8109
2.929688 57.171 -92.1328
3.295898 55.304 23.9133
3.662109 47.355 -33.0986
4.028320 55.787 159.4269
4.394531 34.709 -167.1763
4.760742 54.317 66.8878
5.126953 58.736 -91.7290
5.493164 49.138 -93.8239
5.859375 47.796 -84.3163
6.225586 50.140 -85.7706
6.591797 49.023 157.4501
6.958008 44.355 -140.5146
7.324219 56.670 -149.2494
7.690430 54.293 33.9651
8.056641 50.944 -66.1787
8.422852 51.970 153.1280
8.789062 50.462 59.4348
9.155273 55.006 -142.2624
9.521484 61.248 128.8305
9.887695 57.046 -33.1885
10.253906 61.069 157.5405
10.620117 54.261 33.4294
10.986328 47.824 -98.4498
11.352539 60.705 108.1072
11.718750 66.656 -11.3140
12.084961 61.154 -92.2818
12.451172 64.736 67.2915
12.817383 64.985 -48.3268
13.183594 68.247 -164.0883
13.549805 69.358 38.3312
13.916016 68.730 -88.2354
14.282227 69.949 133.5976
14.648438 68.144 5.5670
15.014648 68.731 -133.8911
15.380859 69.602 104.0953
15.747070 70.041 -39.6371
16.113281 71.185 -176.7641
16.479492 73.317 39.4870
16.845703 73.370 -100.2565
17.211914 73.513 115.3281
17.578125 74.503 -18.1280
17.944336 74.436 -150.7353
18.310547 75.021 73.7674
18.676758 75.968 -71.6362
19.042969 76.442 153.7455
19.409180 76.692 13.7797
19.775391 76.974 -123.2977
20.141602 77.043 96.1993
20.507812 76.850 -43.1793
20.874023 76.273 -178.3541
21.240234 75.720 49.4624
21.606445 76.304 -83.5726
21.972656 76.787 140.1873
22.338867 77.261 6.5018
22.705078 77.491 -129.9064
23.071289 77.789 90.8742
23.437500 77.511 -46.4849
23.803711 77.615 174.8562
24.169922 77.705 38.1358
24.536133 77.966 -94.2546
24.902344 78.239 126.3183
25.268555 77.102 -14.1104
25.634766 77.176 -152.1815
26.000977 76.775 70.8403
26.367188 76.153 -66.4527
26.733398 75.605 158.2748
27.099609 74.323 19.7522
27.465820 73.389 -106.2927
27.832031 72.540 124.2229
28.198242 72.078 -10.1789
28.564453 68.582 -145.3124
28.930664 65.253 84.0436
29.296875 65.938 -24.2057
29.663086 68.807 -133.2039
30.029297 71.642 101.7170
30.395508 73.784 -33.8690
30.761719 75.458 -174.0527
31.127930 76.088 49.7786
31.494141 76.869 -84.4875
31.860352 76.664 135.7189
32.226562 77.480 1.3750
