* Generated by rew_pipeline.py (source UUID f0175bf7-856b-4f82-b8d3-e215cf908451, calibrated to its own SPL at 100 Hz)
* Measurement: LR.filtered.clean-fdw8
* Dated: 2026-Sep-12 16:10:02
* Note: ; Vector average of L.filtered.clean-fdw8, R.filtered.clean-fdw8
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.000000 26.684 0.0000
0.183105 28.534 -34.8821
0.366211 27.046 -60.3504
0.549316 28.071 -103.5624
0.732422 27.810 -124.2935
0.915527 27.335 -169.1052
1.098633 28.451 168.0151
1.281738 26.782 129.4362
1.464844 28.676 98.3799
1.647949 26.904 69.7324
1.831055 28.413 28.9600
2.014160 27.629 7.4601
2.197266 27.766 -38.0704
2.380371 28.421 -58.9584
2.563477 27.084 -101.0005
2.746582 28.875 -128.1863
2.929688 26.933 -160.6455
3.112793 28.837 161.9052
3.295898 27.534 138.7242
3.479004 28.333 93.5436
3.662109 28.439 73.9286
3.845215 27.601 28.8819
4.028320 29.126 5.4506
4.211426 27.177 -31.4206
4.394531 29.341 -64.6568
4.577637 27.554 -90.6565
4.760742 29.036 -134.1441
4.943848 28.507 -153.4618
5.126953 28.343 159.3514
5.310059 29.423 139.2587
5.493164 27.695 97.6163
5.676270 29.919 69.3064
5.859375 27.753 39.1650
6.042480 29.869 -1.0172
6.225586 28.648 -21.3517
6.408691 29.314 -69.2998
6.591797 29.771 -86.8730
6.774902 28.545 -133.0810
6.958008 30.575 -156.2135
7.141113 28.231 168.1958
7.324219 30.832 132.9906
7.507324 28.920 109.9532
7.690430 30.510 63.1820
7.873535 30.193 46.8588
8.056641 29.763 -2.9465
8.239746 31.324 -21.2786
8.422852 29.125 -63.1867
8.605957 31.945 -92.0935
8.789062 29.441 -119.8024
8.972168 31.945 -163.0476
9.155273 30.753 -179.8209
9.338379 31.374 128.5564
9.521484 32.222 114.0101
9.704590 30.569 65.7913
9.887695 33.264 43.7359
10.070801 30.417 9.4005
10.253906 33.679 -27.8893
10.437012 31.591 -47.1903
10.620117 33.437 -98.1732
10.803223 33.393 -110.4223
10.986328 32.700 -163.8510
11.169434 34.940 -179.4487
11.352539 32.159 138.2237
11.535645 35.886 108.8157
11.718750 33.006 84.6873
11.901855 36.145 37.2008
12.084961 35.129 25.5826
12.268066 35.760 -31.1062
12.451172 37.342 -41.2289
12.634277 35.141 -91.7334
12.817383 39.051 -112.3651
13.000488 35.650 -143.2355
13.183594 40.119 175.4570
13.366699 38.239 163.4324
13.549805 40.544 105.4769
13.732910 41.645 100.5296
13.916016 40.530 42.8537
14.099121 44.945 31.5175
14.282227 41.463 -4.6244
14.465332 48.172 -39.0028
14.648438 46.605 -43.5826
14.831543 52.031 -106.3270
15.014648 58.197 -87.8102
15.197754 67.317 -178.9935
15.380859 68.860 95.9656
15.563965 69.770 30.3090
15.747070 70.857 -39.6737
15.930176 71.263 -106.1643
16.113281 71.980 -174.6876
16.296387 72.336 116.2535
16.479492 72.918 45.6321
16.662598 73.181 -26.1098
16.845703 73.519 -97.0708
17.028809 73.671 -167.8317
17.211914 73.886 123.5173
17.395020 74.080 54.9663
17.578125 74.285 -12.3422
17.761230 74.492 -80.2983
17.944336 74.639 -147.7298
18.127441 74.863 144.1514
18.310547 75.088 75.9990
18.493652 75.462 6.9895
18.676758 75.808 -62.5789
18.859863 76.197 -132.5855
19.042969 76.451 157.2439
19.226074 76.647 87.6226
19.409180 76.719 18.3852
19.592285 76.775 -49.9444
19.775391 76.835 -118.2966
19.958496 76.927 173.3716
20.141602 77.016 104.0940
20.324707 77.003 34.4616
20.507812 76.880 -35.3948
20.690918 76.602 -104.3001
20.874023 76.333 -171.8301
21.057129 76.144 122.0902
21.240234 76.197 56.5380
21.423340 76.363 -9.6155
21.606445 76.579 -76.5405
21.789551 76.704 -144.0988
21.972656 76.809 148.5097
22.155762 76.932 81.0247
22.338867 77.138 13.4719
22.521973 77.382 -54.8884
22.705078 77.583 -123.6378
22.888184 77.715 167.2933
23.071289 77.762 98.5870
23.254395 77.808 30.1184
23.437500 77.845 -38.1751
23.620605 77.903 -106.6119
23.803711 77.906 -175.1146
23.986816 77.898 116.7092
24.169922 77.891 48.9792
24.353027 77.980 -18.3001
24.536133 78.142 -85.8606
24.719238 78.328 -153.8683
24.902344 78.439 137.4445
25.085449 78.430 68.6739
25.268555 78.331 -0.0707
25.451660 78.182 -68.4698
25.634766 78.058 -136.8480
25.817871 77.947 154.7659
26.000977 77.876 86.3106
26.184082 77.807 17.9982
26.367188 77.784 -50.0200
26.550293 77.770 -117.8951
26.733398 77.753 174.3600
26.916504 77.648 106.6489
27.099609 77.449 39.5197
27.282715 77.206 -26.9180
27.465820 77.048 -92.6336
27.648926 77.065 -158.8026
27.832031 77.208 133.7111
28.015137 77.359 64.2843
28.198242 77.373 -6.5412
28.381348 77.218 -78.1167
28.564453 76.864 -149.6180
28.747559 76.374 139.5077
28.930664 75.750 69.4894
29.113770 75.046 0.5987
29.296875 74.248 -67.1977
29.479980 73.404 -133.3892
29.663086 72.572 161.9982
29.846191 71.873 99.2675
30.029297 71.415 37.5135
30.212402 71.216 -23.7883
30.395508 71.229 -85.7655
30.578613 71.329 -148.3557
30.761719 71.456 148.2423
30.944824 71.539 84.6662
31.127930 71.641 20.9730
31.311035 71.775 -42.6397
31.494141 72.031 -106.6811
31.677246 72.343 -171.5060
31.860352 72.693 122.7207
32.043457 72.973 56.2381
32.226562 73.208 -10.4352
32.409668 73.373 -77.0952
32.592773 73.527 -143.4475
32.775879 73.666 150.2603
32.958984 73.819 84.1730
