* Generated by rew_pipeline.py (source UUID 7acd2911-a65a-4614-adf2-ea034c40169e, calibrated to its own SPL at 100 Hz)
* Measurement: LR.clean-fdw8
* Dated: 2026-Sep-12 16:10:03
* Note: ; Vector average of L.nofdw.clean-fdw8, R.nofdw.clean-fdw8
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.000000 36.670 0.0000
0.366211 39.752 -45.2199
0.732422 44.792 173.7416
1.098633 43.739 -54.9923
1.464844 48.867 106.9570
1.831055 43.864 -80.0380
2.197266 45.481 23.6880
2.563477 45.530 -145.9789
2.929688 39.265 -75.8816
3.295898 49.401 119.7094
3.662109 46.918 -15.5379
4.028320 38.397 -43.7003
4.394531 50.399 -145.6422
4.760742 53.220 60.2805
5.126953 51.505 -107.5916
5.493164 44.275 104.9935
5.859375 45.253 32.2723
6.225586 45.069 -113.3561
6.591797 35.353 163.2631
6.958008 43.142 12.8819
7.324219 48.225 -177.8179
7.690430 47.821 31.3107
8.056641 46.206 -66.5910
8.422852 48.936 170.4316
8.789062 48.762 27.7446
9.155273 50.401 -103.6095
9.521484 54.892 117.5938
9.887695 57.073 -34.8990
10.253906 55.732 170.9976
10.620117 53.371 44.2631
10.986328 57.875 -70.6657
11.352539 62.165 153.1180
11.718750 64.241 14.1880
12.084961 64.258 -128.1123
12.451172 62.333 93.5086
12.817383 62.741 -31.9591
13.183594 66.085 -171.6643
13.549805 67.825 43.9092
13.916016 68.263 -91.9809
14.282227 68.741 134.0567
14.648438 68.613 -2.1897
15.014648 68.518 -133.2400
15.380859 69.602 94.8072
15.747070 70.680 -42.2196
16.113281 71.668 179.6321
16.479492 72.819 38.4973
16.845703 73.584 -103.8736
17.211914 73.940 117.2869
17.578125 74.269 -18.6499
17.944336 74.605 -154.5180
18.310547 75.098 68.9037
18.676758 75.856 -69.5988
19.042969 76.488 150.3768
19.409180 76.719 11.4452
19.775391 76.819 -125.5049
20.141602 77.011 96.6354
20.507812 76.890 -42.9485
20.874023 76.341 -179.4066
21.240234 76.190 48.8553
21.606445 76.563 -84.4294
21.972656 76.803 140.4271
22.338867 77.148 5.3103
22.705078 77.600 -131.7683
23.071289 77.782 90.5302
23.437500 77.892 -46.2688
23.803711 77.997 176.5696
24.169922 78.021 40.3724
24.536133 78.294 -94.7883
24.902344 78.590 128.1332
25.268555 78.463 -9.8335
25.634766 78.157 -147.0433
26.000977 77.932 75.8605
26.367188 77.805 -60.4601
26.733398 77.761 163.9632
27.099609 77.452 29.0603
27.465820 77.050 -103.2214
27.832031 77.214 123.0023
28.198242 77.384 -17.3371
28.564453 76.873 -160.5007
28.930664 75.751 58.4840
29.296875 74.239 -78.3597
29.663086 72.557 150.6840
30.029297 71.391 26.1216
30.395508 71.198 -97.1634
30.761719 71.418 136.8150
31.127930 71.599 9.4583
31.494141 71.994 -118.3342
31.860352 72.666 110.9146
32.226562 73.190 -22.3643
32.592773 73.514 -155.4757
32.958984 73.807 72.0305
33.325195 74.205 -60.7765
33.691406 74.723 164.4229
34.057617 75.107 28.1825
34.423828 75.459 -106.8926
34.790039 76.012 117.7347
35.156250 76.354 -19.7961
35.522461 76.334 -157.3960
35.888672 76.313 64.9066
36.254883 76.128 -74.4659
36.621094 75.483 146.7962
36.987305 74.681 10.3737
37.353516 73.863 -125.9149
37.719727 72.756 98.4217
38.085938 71.586 -34.0816
38.452148 70.628 -164.6977
38.818359 69.721 65.6493
39.184570 69.037 -63.5178
39.550781 68.472 165.7827
39.916992 67.824 36.6251
40.283203 67.674 -89.9616
40.649414 67.703 141.1304
41.015625 67.258 12.7839
41.381836 67.159 -113.2284
41.748047 67.447 118.4470
42.114258 67.739 -8.2181
42.480469 68.531 -134.2423
42.846680 68.902 97.1483
43.212891 69.101 -28.6268
43.579102 70.267 -160.6655
43.945312 70.960 57.0740
44.311523 70.978 -82.5270
44.677734 71.725 142.8740
45.043945 72.544 3.6519
45.410156 72.196 -136.3212
45.776367 71.593 88.5024
46.142578 71.482 -47.0847
46.508789 71.036 176.8027
46.875000 70.367 43.6891
47.241211 69.394 -90.9044
47.607422 67.358 136.8712
47.973633 66.145 15.2209
48.339844 66.836 -110.8590
48.706055 67.057 120.4731
49.072266 67.278 -2.8617
49.438477 67.728 -127.4783
49.804688 68.293 107.2311
50.170898 69.876 -24.3253
50.537109 71.314 -165.6480
50.903320 71.837 53.1147
51.269531 72.180 -82.8443
51.635742 72.722 140.0675
52.001953 72.625 0.0236
52.368164 72.095 -136.7712
52.734375 72.256 88.7902
53.100586 72.649 -49.1559
53.466797 72.466 172.5091
53.833008 72.136 36.7036
54.199219 72.035 -99.6990
54.565430 71.797 121.8975
54.931641 71.195 -16.0857
55.297852 70.507 -151.8053
55.664062 70.076 72.1285
56.030273 69.396 -66.3851
56.396484 68.330 158.5221
56.762695 68.187 26.2443
57.128906 68.263 -113.1105
57.495117 67.223 108.3136
57.861328 66.887 -22.0337
58.227539 67.837 -160.2034
58.593750 67.862 55.1856
58.959961 67.502 -84.7384
59.326172 68.043 135.9329
59.692383 68.590 -6.8476
60.058594 68.874 -147.1485
60.424805 69.678 74.5358
60.791016 70.972 -66.1283
61.157227 72.404 151.1368
61.523438 73.783 7.7772
61.889648 75.043 -135.3711
62.255859 76.209 80.7411
62.622070 77.112 -64.5132
62.988281 77.698 150.4837
63.354492 78.115 6.2540
63.720703 78.228 -137.7395
64.086914 77.984 80.5353
64.453125 77.965 -58.2311
64.819336 78.278 162.0120
65.185547 78.282 21.7607
65.551758 78.116 -115.4557
65.917969 78.300 107.7939
66.284180 78.514 -32.0091
66.650391 78.430 -173.2407
67.016602 78.111 45.8858
67.382812 77.542 -94.2596
67.749023 76.624 126.7734
68.115234 75.347 -9.6469
68.481445 74.103 -141.6305
68.847656 73.478 88.5671
69.213867 73.179 -42.8871
69.580078 72.839 -175.2290
69.946289 72.471 51.5566
70.312500 71.969 -81.7776
70.678711 71.597 145.8583
71.044922 71.242 12.3836
71.411133 70.441 -120.0086
71.777344 69.692 110.1468
72.143555 68.914 -21.5052
72.509766 67.617 -150.6865
72.875977 66.914 85.0449
73.242188 66.526 -41.2184
73.608398 65.819 -163.7795
73.974609 65.795 76.4438
74.340820 65.991 -42.8987
74.707031 67.455 -159.9812
75.073242 69.852 73.5532
75.439453 71.715 -58.4200
75.805664 73.294 168.5598
76.171875 74.696 33.7127
76.538086 75.855 -102.1078
76.904297 76.887 121.6245
77.270508 77.742 -14.9907
77.636719 78.431 -151.1661
78.002930 79.092 72.7367
78.369141 79.735 -64.2284
78.735352 80.286 157.6868
79.101562 80.627 18.8649
79.467773 80.694 -119.4978
79.833984 80.622 103.3038
80.200195 80.505 -33.4456
80.566406 80.275 -169.7480
80.932617 80.025 55.3129
81.298828 79.930 -78.9590
81.665039 79.885 146.2487
82.031250 79.768 11.4025
82.397461 79.663 -123.1555
82.763672 79.570 102.1202
83.129883 79.428 -32.5024
83.496094 79.295 -167.1548
83.862305 79.075 57.2336
84.228516 78.567 -78.3961
84.594727 77.871 147.8631
84.960938 77.191 16.5079
85.327148 76.720 -112.2456
85.693359 76.794 119.7342
86.059570 77.223 -10.9480
86.425781 77.645 -143.9074
86.791992 78.009 81.6632
87.158203 78.167 -53.6804
87.524414 78.142 171.5150
87.890625 78.107 36.7540
88.256836 77.979 -98.4584
88.623047 77.852 126.3950
88.989258 77.713 -10.3237
89.355469 77.127 -147.9090
89.721680 76.231 77.0298
90.087891 75.453 -56.5805
90.454102 74.482 171.0164
90.820312 73.736 43.7592
91.186523 73.857 -84.4162
91.552734 73.677 143.1086
91.918945 72.970 12.3629
92.285156 72.390 -117.0899
92.651367 71.672 113.1283
93.017578 70.981 -13.2339
93.383789 71.026 -138.2686
93.750000 71.481 93.9689
94.116211 71.951 -35.5282
94.482422 72.456 -166.0036
94.848633 72.904 61.9108
95.214844 73.051 -70.9901
95.581055 72.991 157.1348
95.947266 72.969 25.9196
96.313477 73.046 -104.8248
96.679688 73.471 123.8484
97.045898 73.878 -10.8903
97.412109 73.691 -145.8518
97.778320 73.389 82.4047
98.144531 73.240 -49.5234
98.510742 72.761 179.3267
98.876953 72.530 51.4821
99.243164 72.706 -78.4397
99.609375 72.590 150.5661
99.975586 72.573 21.1445
100.341797 72.684 -109.3543
100.708008 72.619 121.2164
101.074219 72.821 -6.4866
101.440430 73.190 -135.1642
101.806641 73.595 96.3244
102.172852 74.284 -32.7029
102.539062 75.149 -163.2952
102.905273 76.134 64.5359
103.271484 77.036 -69.7473
103.637695 77.663 155.0278
104.003906 78.102 19.5233
104.370117 78.339 -116.4513
104.736328 78.385 108.0535
105.102539 78.409 -26.9243
105.468750 78.360 -162.1011
105.834961 78.159 63.3421
106.201172 77.925 -70.0564
106.567383 77.698 157.4188
106.933594 77.482 25.8693
107.299805 77.322 -104.8799
107.666016 77.265 124.9065
108.032227 77.378 -5.3995
108.398438 77.594 -136.2721
108.764648 77.881 92.6662
109.130859 78.228 -38.7908
109.497070 78.557 -170.4451
109.863281 78.964 57.9315
110.229492 79.479 -74.5832
110.595703 79.997 152.0761
110.961914 80.529 18.0025
111.328125 80.940 -117.2500
111.694336 81.098 107.4745
112.060547 81.189 -26.9255
112.426758 81.329 -161.3616
112.792969 81.415 64.0555
113.159180 81.478 -69.9666
113.525391 81.618 156.3370
113.891602 81.843 22.3227
114.257812 82.091 -112.3451
114.624023 82.286 112.5120
114.990234 82.412 -22.9229
115.356445 82.432 -158.8268
115.722656 82.306 64.9865
116.088867 82.059 -71.2179
116.455078 81.671 152.7983
116.821289 81.147 18.0186
117.187500 80.658 -115.3239
117.553711 80.236 111.6749
117.919922 79.801 -20.8750
118.286133 79.466 -152.6926
118.652344 79.232 75.5305
119.018555 79.023 -55.8503
119.384766 78.944 172.9503
119.750977 78.922 40.6814
120.117188 78.809 -92.1248
120.483398 78.710 135.3356
120.849609 78.670 2.4569
121.215820 78.545 -130.8041
121.582031 78.323 96.3183
121.948242 78.098 -36.2246
122.314453 77.842 -168.6329
122.680664 77.548 59.8249
123.046875 77.343 -70.7530
123.413086 77.257 158.6635
123.779297 77.242 27.5535
124.145508 77.269 -104.3213
124.511719 77.263 123.5993
124.877930 77.302 -7.7759
125.244141 77.457 -139.2559
125.610352 77.585 88.5688
125.976562 77.709 -44.0150
126.342773 77.861 -177.7372
126.708984 77.872 47.9354
127.075195 77.812 -85.4387
127.441406 77.811 141.3820
127.807617 77.700 7.6879
128.173828 77.499 -125.5491
128.540039 77.409 101.1581
128.906250 77.311 -32.8192
129.272461 77.117 -166.2584
129.638672 76.937 60.8346
130.004883 76.679 -72.5574
130.371094 76.259 154.1021
130.737305 75.808 21.1420
131.103516 75.314 -111.5805
131.469727 74.772 117.2506
131.835938 74.417 -12.3813
132.202148 74.187 -142.1596
132.568359 73.971 88.4057
132.934570 73.950 -41.1600
133.300781 73.965 -171.9705
133.666992 73.943 57.4397
134.033203 74.062 -73.5180
134.399414 74.049 154.2385
134.765625 73.835 22.8523
135.131836 73.726 -107.7540
135.498047 73.642 121.4768
135.864258 73.629 -8.2997
136.230469 73.828 -138.3607
136.596680 73.940 90.8850
136.962891 74.022 -39.0056
137.329102 74.260 -169.2132
137.695312 74.514 59.6968
138.061523 74.827 -71.5975
138.427734 75.210 156.5984
138.793945 75.596 24.6303
139.160156 75.999 -107.6952
139.526367 76.305 119.3461
139.892578 76.535 -13.6567
140.258789 76.777 -147.3142
140.625000 76.905 78.2842
140.991211 76.953 -55.7507
141.357422 77.046 170.3021
141.723633 77.118 36.1656
142.089844 77.182 -97.7430
142.456055 77.238 128.2675
142.822266 77.211 -5.4740
143.188477 77.199 -138.8223
143.554688 77.187 87.1843
143.920898 77.043 -47.1217
144.287109 76.858 179.0888
144.653320 76.701 45.3722
145.019531 76.493 -88.3719
145.385742 76.219 137.9916
145.751953 75.847 4.3114
