* Generated by rew_pipeline.py (source UUID d6e13d27-c0b9-4485-a753-30852daa243e, calibrated to its own SPL at 100 Hz)
* Measurement: R.filtered.clean-fdw8
* Dated: 2026-Sep-12 16:10:01
* Note: ; Trace Arithmetic A times B A = R.nofdw.clean-fdw8 B = FRX-trimmed.clean-fdw8
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.000000 -77.818 0.0000
0.183105 -67.814 164.1062
0.366211 -63.213 -178.0664
0.549316 -62.240 -60.1294
0.732422 -58.794 -125.2086
0.915527 -71.235 68.9955
1.098633 -62.794 -148.1592
1.281738 -71.139 -35.2004
1.464844 -87.527 -96.7284
1.647949 -67.619 30.7714
1.831055 -62.627 95.5789
2.014160 -63.225 81.0703
2.197266 -73.680 -80.2151
2.380371 -61.043 -14.9977
2.563477 -61.414 -58.8763
2.746582 -65.946 -114.8521
2.929688 -66.407 -121.1156
3.112793 -65.440 -93.7721
3.295898 -70.918 58.7771
3.479004 -58.986 -3.9959
3.662109 -68.856 139.5750
3.845215 -65.895 56.5842
4.028320 -65.806 -158.2116
4.211426 -61.649 115.5276
4.394531 -67.515 -41.1367
4.577637 -64.514 77.5059
4.760742 -60.215 -169.0914
4.943848 -60.590 31.8838
5.126953 -60.367 -23.8558
5.310059 -71.194 -177.5953
5.493164 -76.953 156.3803
5.676270 -65.435 -58.2896
5.859375 -74.303 146.3493
6.042480 -64.520 59.5940
6.225586 -60.800 71.0537
6.408691 -58.907 -6.3095
6.591797 -78.672 30.6660
6.774902 -58.387 -161.6451
6.958008 -71.221 110.8701
7.141113 -66.195 122.8981
7.324219 -73.682 147.3942
7.507324 -62.841 4.7433
7.690430 -59.716 -154.2972
7.873535 -61.890 -153.1890
8.056641 -61.453 131.4263
8.239746 -63.849 -42.0188
8.422852 -64.123 -53.6679
8.605957 -61.872 -111.2475
8.789062 -60.690 -117.0350
8.972168 -64.239 108.3322
9.155273 -59.146 131.7608
9.338379 -57.368 23.7335
9.521484 -73.049 56.3371
9.704590 -70.168 -78.7342
9.887695 -61.395 126.2671
10.070801 -56.549 132.7591
10.253906 -57.268 -19.1849
10.437012 -61.651 57.5594
10.620117 -71.635 -161.8162
10.803223 -59.587 -52.3069
10.986328 -58.682 85.3100
11.169434 -61.386 73.4501
11.352539 -67.502 -42.5184
11.535645 -56.285 -21.8459
11.718750 -77.012 -117.5797
11.901855 -69.602 -130.0299
12.084961 -61.283 105.5117
12.268066 -72.667 -129.4014
12.451172 -71.564 -81.0040
12.634277 -63.224 -103.7595
12.817383 -59.022 162.6626
13.000488 -56.735 148.7726
13.183594 -59.258 -139.0589
13.366699 -64.879 150.5943
13.549805 -71.521 23.0257
13.732910 -60.734 -152.0670
13.916016 -56.741 -169.2492
14.099121 -76.544 2.1956
14.282227 -59.736 18.0218
14.465332 -57.861 17.4718
14.648438 -68.106 -113.2459
14.831543 -62.586 -56.5061
15.014648 -64.335 -154.1896
15.197754 69.359 162.8521
15.380859 70.026 96.4163
15.563965 70.643 28.7080
15.747070 71.146 -39.7516
15.930176 71.570 -108.5554
16.113281 71.987 -177.6618
16.296387 72.436 112.7532
16.479492 72.897 42.6372
16.662598 73.317 -27.7406
16.845703 73.657 -97.8910
17.028809 73.917 -167.3812
17.211914 74.134 123.8960
17.395020 74.344 55.6326
17.578125 74.550 -12.6763
17.761230 74.715 -81.3309
17.944336 74.819 -150.1987
18.127441 74.897 141.1374
18.310547 75.048 72.9447
18.493652 75.368 4.9373
18.676758 75.850 -63.6001
18.859863 76.366 -133.1512
19.042969 76.751 156.4776
19.226074 76.904 86.0242
19.409180 76.838 16.3691
19.592285 76.683 -51.9614
19.775391 76.624 -119.3116
19.958496 76.749 173.1470
20.141602 76.969 104.4250
20.324707 77.116 34.5946
20.507812 77.080 -35.3685
20.690918 76.877 -104.2643
20.874023 76.639 -171.3980
21.057129 76.532 122.8340
21.240234 76.604 57.1675
21.423340 76.745 -9.3630
21.606445 76.831 -76.7279
21.789551 76.839 -144.3256
21.972656 76.857 148.2532
22.155762 76.982 80.8260
22.338867 77.225 12.9006
22.521973 77.502 -55.6931
22.705078 77.723 -124.5870
22.888184 77.859 166.7869
23.071289 77.947 98.7363
23.254395 78.043 31.0930
23.437500 78.162 -36.6101
23.620605 78.275 -104.7080
23.803711 78.341 -173.1320
23.986816 78.362 118.4728
24.169922 78.382 50.4342
24.353027 78.454 -17.1785
24.536133 78.602 -84.5579
24.719238 78.807 -151.9795
24.902344 79.023 140.3595
25.085449 79.205 72.3700
25.268555 79.318 4.0522
25.451660 79.347 -64.4902
25.634766 79.298 -133.0337
25.817871 79.216 158.6956
26.000977 79.171 90.8413
26.184082 79.223 23.2595
26.367188 79.377 -44.3902
26.550293 79.572 -112.3354
26.733398 79.731 179.5159
26.916504 79.809 111.4988
27.099609 79.828 43.9165
27.282715 79.858 -23.2479
27.465820 79.968 -90.4262
27.648926 80.179 -158.2421
27.832031 80.460 132.8557
28.015137 80.754 62.7693
28.198242 81.008 -8.3250
28.381348 81.176 -80.1220
28.564453 81.214 -152.2720
28.747559 81.090 135.5918
28.930664 80.794 63.8327
29.113770 80.344 -7.2436
29.296875 79.795 -77.4818
29.479980 79.215 -146.9516
29.663086 78.655 144.0960
29.846191 78.131 75.4186
30.029297 77.630 6.9526
30.212402 77.143 -61.2165
30.395508 76.666 -129.0390
30.578613 76.183 163.3912
30.761719 75.651 95.9594
30.944824 75.016 28.7649
31.127930 74.259 -37.7934
31.311035 73.436 -103.2179
31.494141 72.681 -167.3410
31.677246 72.130 129.3383
31.860352 71.818 65.9192
32.043457 71.666 1.8055
32.226562 71.559 -62.9991
32.409668 71.410 -128.1284
32.592773 71.169 166.9162
32.775879 70.846 102.6853
32.958984 70.542 39.5408
33.142090 70.426 -22.9268
33.325195 70.591 -86.1131
33.508301 70.932 -151.3277
33.691406 71.245 141.4167
33.874512 71.408 73.2795
34.057617 71.447 5.7030
34.240723 71.513 -60.5328
34.423828 71.748 -125.9372
34.606934 72.132 168.1937
34.790039 72.481 101.1228
34.973145 72.634 33.1587
35.156250 72.564 -34.9285
35.339355 72.372 -102.6584
35.522461 72.202 -170.2772
35.705566 72.111 121.4751
35.888672 72.033 52.1675
36.071777 71.856 -17.8421
36.254883 71.505 -87.6493
36.437988 70.982 -156.3253
36.621094 70.349 136.6522
36.804199 69.690 71.2096
36.987305 69.065 6.8240
37.170410 68.498 -57.1326
37.353516 67.997 -121.1848
37.536621 67.564 174.3187
37.719727 67.195 109.3656
37.902832 66.907 44.3622
38.085938 66.769 -20.2368
38.269043 66.854 -84.5675
38.452148 67.114 -149.3669
38.635254 67.365 144.9159
38.818359 67.417 78.7101
39.001465 67.215 12.9513
39.184570 66.867 -51.7699
39.367676 66.542 -115.9131
39.550781 66.284 179.4015
39.733887 66.000 113.8435
39.916992 65.653 48.4529
40.100098 65.426 -15.5728
40.283203 65.580 -78.8093
40.466309 66.057 -143.3517
40.649414 66.457 150.1055
40.832520 66.446 83.2249
41.015625 66.040 18.6604
41.198730 65.688 -42.2171
41.381836 65.893 -102.2069
41.564941 66.446 -165.6998
41.748047 66.757 127.1261
41.931152 66.578 59.4224
42.114258 66.170 -5.3437
42.297363 66.188 -66.7007
42.480469 66.907 -128.9828
42.663574 67.732 164.8449
42.846680 68.060 96.7312
43.029785 67.814 30.5600
43.212891 67.552 -30.9314
43.395996 68.102 -90.8204
43.579102 69.314 -155.9671
43.762207 70.372 132.4345
43.945312 70.876 57.4576
44.128418 70.840 -17.3082
44.311523 70.548 -88.6883
44.494629 70.555 -155.4980
44.677734 71.281 139.2411
44.860840 72.426 71.4715
45.043945 73.408 0.7948
45.227051 73.953 -70.8918
45.410156 74.113 -141.6432
45.593262 74.157 149.5185
45.776367 74.404 81.8965
45.959473 74.958 13.5967
46.142578 75.661 -56.5822
46.325684 76.317 -128.3961
46.508789 76.839 158.9945
46.691895 77.232 86.1842
46.875000 77.531 13.2669
47.058105 77.744 -59.9733
47.241211 77.852 -133.7015
47.424316 77.831 152.2000
47.607422 77.682 78.1223
47.790527 77.439 4.5635
47.973633 77.156 -68.0730
48.156738 76.894 -139.6335
48.339844 76.698 149.7354
48.522949 76.593 79.6408
48.706055 76.584 9.5509
48.889160 76.658 -61.0576
49.072266 76.789 -132.5172
49.255371 76.953 155.1662
49.438477 77.141 82.3033
49.621582 77.359 9.3548
49.804688 77.618 -63.2934
49.987793 77.916 -135.4757
50.170898 78.231 152.7592
50.354004 78.540 81.2418
50.537109 78.825 9.7335
50.720215 79.083 -62.0798
50.903320 79.305 -134.5455
51.086426 79.464 152.1165
51.269531 79.518 77.9981
51.452637 79.438 3.5567
51.635742 79.227 -70.5216
51.818848 78.946 -143.6277
52.001953 78.691 144.3711
52.185059 78.533 72.9168
52.368164 78.442 1.1200
52.551270 78.298 -71.5203
52.734375 77.982 -144.7801
52.917480 77.455 142.0669
53.100586 76.778 69.7802
53.283691 76.087 -1.3740
53.466797 75.487 -71.9065
53.649902 74.945 -142.6357
53.833008 74.313 146.2288
54.016113 73.456 75.4359
54.199219 72.374 6.2862
54.382324 71.252 -60.2632
54.565430 70.364 -124.7397
54.748535 69.790 170.9575
54.931641 69.342 105.6736
55.114746 68.838 39.9841
55.297852 68.299 -25.0847
55.480957 67.853 -89.4812
55.664062 67.519 -154.0233
55.847168 67.170 141.0455
56.030273 66.763 76.5131
56.213379 66.456 12.7947
56.396484 66.403 -51.4686
56.579590 66.430 -118.0797
56.762695 66.165 173.2541
56.945801 65.395 105.1936
57.128906 64.355 41.5238
57.312012 63.922 -16.8740
57.495117 64.595 -76.8029
57.678223 65.476 -143.3216
57.861328 65.668 146.0583
58.044434 64.856 76.2095
58.227539 63.254 13.0781
58.410645 62.189 -39.3838
58.593750 62.988 -91.7225
58.776855 64.229 -153.6847
58.959961 64.666 139.3796
59.143066 64.232 73.8617
59.326172 63.575 14.0219
59.509277 63.713 -42.0970
59.692383 64.644 -101.7288
59.875488 65.496 -166.3301
60.058594 65.866 127.5199
60.241699 65.900 63.0557
60.424805 66.012 1.4230
60.607910 66.530 -58.8183
60.791016 67.430 -119.7003
60.974121 68.539 178.1396
61.157227 69.767 114.7193
61.340332 71.052 49.8379
61.523438 72.290 -16.5797
61.706543 73.390 -84.1263
61.889648 74.347 -152.1956
62.072754 75.221 139.5340
62.255859 76.077 70.9118
62.438965 76.920 1.5848
62.622070 77.705 -68.5781
62.805176 78.384 -139.3622
62.988281 78.946 149.5825
63.171387 79.403 78.4827
63.354492 79.767 7.3656
63.537598 80.023 -63.7927
63.720703 80.142 -134.8486
63.903809 80.121 154.5785
64.086914 80.014 84.9221
64.270020 79.933 16.2878
64.453125 79.980 -51.8293
64.636230 80.158 -120.2679
64.819336 80.363 170.5084
65.002441 80.476 100.7604
65.185547 80.446 31.2088
65.368652 80.319 -37.4657
65.551758 80.206 -105.0891
65.734863 80.206 -172.1966
65.917969 80.327 120.3252
66.101074 80.488 51.8903
66.284180 80.593 -17.5157
66.467285 80.590 -87.5246
66.650391 80.473 -157.6689
66.833496 80.273 132.4344
67.016602 80.032 62.9879
67.199707 79.789 -6.0324
67.382812 79.552 -74.8378
67.565918 79.283 -143.6362
67.749023 78.919 147.6216
67.932129 78.413 79.3582
68.115234 77.795 12.2231
68.298340 77.193 -53.3818
68.481445 76.778 -117.9307
68.664551 76.605 177.2777
68.847656 76.549 111.2630
69.030762 76.438 44.1831
69.213867 76.206 -23.0595
69.396973 75.914 -89.6860
69.580078 75.680 -155.6920
69.763184 75.542 138.2372
69.946289 75.419 71.5760
70.129395 75.204 4.5538
70.312500 74.875 -62.1322
70.495605 74.516 -128.0508
70.678711 74.222 166.4903
70.861816 73.982 100.8289
71.044922 73.695 34.8271
71.228027 73.300 -30.8913
71.411133 72.865 -95.6158
71.594238 72.531 -159.4795
71.777344 72.337 136.4846
71.960449 72.144 71.5919
72.143555 71.788 6.4339
72.326660 71.268 -57.5970
72.509766 70.796 -119.6282
72.692871 70.620 179.4801
72.875977 70.731 117.9094
73.059082 70.901 55.1280
73.242188 71.006 -7.8814
73.425293 71.129 -70.2047
73.608398 71.412 -132.1647
73.791504 71.843 165.2130
73.974609 72.269 101.6775
74.157715 72.607 38.0143
74.340820 72.944 -24.9934
74.523926 73.438 -87.6008
74.707031 74.128 -150.9450
74.890137 74.891 144.2320
75.073242 75.588 78.2007
75.256348 76.180 11.7020
75.439453 76.723 -54.7673
75.622559 77.284 -121.2384
75.805664 77.879 171.9596
